Author,Comment,LikeCount,PublishedAt
@CelineDept,This was harder than it looks.. 🙈😅,4928,2023-08-21T16:09:14Z
@aronbelay7537,Higgins,0,2025-02-06T18:36:06Z
@aronbelay7537,Higgins,0,2025-02-06T18:35:52Z
@lemmaseifu1033,take care guys. look out for the edge of the pool. specially the tall guy. Celine needs you man,0,2025-01-22T11:00:52Z
@SashaRadionov-l7h,Це все винувата футболка мессі,0,2025-01-02T07:34:18Z
@FRANCE_BOY.2,Michiel is the legend 🙌👏❤️,0,2024-12-20T15:01:53Z
@JoseLuisDavila-b3i,Si,0,2024-12-16T02:09:50Z
@apprajitvaibhav7354,Celine throughout the video : ⚽️🏊‍♀️❌️🤷🏻,0,2024-12-15T13:47:03Z
@laminekane4040,Michiel 😮,0,2024-12-15T12:40:06Z
@FootballClips_official501,100x video take for Michiel,0,2024-12-14T00:36:58Z
@AmerFatma-j5b,😢😏🤓🥶,0,2024-12-09T20:47:57Z
@AmerFatma-j5b,لول جابها😂,1,2024-12-09T20:46:56Z
@AmerFatma-j5b,😂😅,1,2024-12-09T20:45:16Z
@LéoFOCHESATO,Hello,0,2024-12-06T18:54:20Z
@Amir-i1z,IRAN🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷,0,2024-12-06T12:10:03Z
@dujesimic6647,He has best shirt. 🇭🇷🇭🇷🇭🇷🇭🇷,0,2024-12-04T17:56:57Z
@LochinJuraev-wd9qt,😮😮😮,0,2024-12-02T17:04:29Z
@dohaassaad9321,Michael always embarrasses Celine,0,2024-11-28T07:12:29Z
@thomascheng699,Can,0,2024-11-21T07:51:16Z
@thomascheng699,I love ur vid,0,2024-11-21T07:51:12Z
@pastyt8695,Michael has a lot of takes,1,2024-11-18T02:21:57Z
@StefanStanik-t2y,It Mičkel,0,2024-11-13T17:25:09Z
@debbievrijs8275,@celine Dept ke wou gewoon in het water springen😂,0,2024-11-10T09:19:17Z
@imbapi1Ramone,ALGERIA please 🥺🥺🇩🇿🇩🇿,0,2024-11-05T12:03:15Z
@ivanoanic8654,lets go Michael with Croatia dress🇭🇷🇭🇷🇭🇷,0,2024-11-04T13:59:35Z
@СрђанКораћ,CELINE🤕🤕🤧🤒 MICHIEL🤫🥳😉,0,2024-10-24T09:39:37Z
@luisfernandoarreola,Stupids and ass.     holees,0,2024-10-15T05:35:29Z
@Ranjeet-nu4gs,Celine just wanted to enjoy the pool,0,2024-09-24T16:20:30Z
@ЕВГЕНИЯТ-и9е,Михель бесит,0,2024-09-20T06:47:54Z
@HamzaAnsari-p9o,Siuuiuuuuuiiuuuuuuuuuuuuuuuu always,0,2024-09-20T05:02:50Z
@MasGiyanto-u1i,Messi or ronaldo,0,2024-09-16T06:03:38Z
@isaacbrunofalcaocosta1642,it becomes easier for him. I love it so much more,0,2024-09-15T22:35:11Z
@JhosueGil,Decime quién ande alegría sigan así de duro trabajen fuerte hagan sin camino,0,2024-09-14T20:41:53Z
@JhosueGil,Pero ustedes sí me han llenado de alegría me gustas así,0,2024-09-14T20:41:30Z
@Flower_Quenn,Hello goat,0,2024-09-13T17:37:59Z
@LeolukeSunny,Celine should have at least tried kicking it. She maybe would have got it😅.,0,2024-09-11T23:57:32Z
@yashmishra4700,"It&#39;s not her mistake, she&#39;s a messi fan😂",0,2024-09-08T13:49:44Z
@PiotrRyba-g4b,❤,0,2024-09-07T18:01:06Z
@htjrjtj4jj919,Hah women ☕️,0,2024-09-07T13:20:02Z
@AblaChakout,سيلين هي أضعف لاعبة في الكون,0,2024-09-06T13:04:26Z
@elenakeller6662,❤❤❤❤😂😂🎉,0,2024-09-06T08:15:27Z
@arvindersingh9527,He is a hacker,0,2024-09-03T12:20:54Z
@birdmanchhangte2273,Sooo nub,0,2024-09-02T06:29:01Z
@Pees-hf1dl,😂😂😂❤❤,0,2024-09-01T16:45:04Z
@eljefe_502a,😮,0,2024-08-31T02:54:23Z
@Avestakhani,Michiel is the best football player in the world😂❤,0,2024-08-30T09:22:04Z
@Yagmursahan432,Waow🎀💖,0,2024-08-24T18:14:50Z
@TTxWeghost31,Turkey Arda Güler🔥celine pls Arda güler video,1,2024-08-22T11:14:43Z
@Chandadevi0,Celine 3 Michiel 0,0,2024-08-22T08:49:58Z
@МикаэльАбдуллаев-ъ6ш,Вумен момент,0,2024-08-21T21:50:05Z
