Author,Comment,LikeCount,PublishedAt
@YouTube,wait can you show us like 100000 more times? we missed it haha 👀,32134,2024-08-09T15:57:38Z
@Natan1965-y5z,Как ты это делаешь,0,2025-03-20T16:07:12Z
@SugirtharajUsha,How you can chite like this 😢,0,2025-03-20T14:52:16Z
@yuliwibowo6329,Udah ke temuan,0,2025-03-20T13:16:37Z
@EbruUcar-b2k,Kulağından düşürdün parayı,0,2025-03-20T09:31:12Z
@Jmk-q9j,Nice❤😅,0,2025-03-20T08:34:28Z
@kaikingsleysworld8670,Not a trick bro I see it on your ear,0,2025-03-20T01:40:14Z
@DungTran-zl3ey,Cool,0,2025-03-20T00:45:26Z
@amans9482,I   also    no,0,2025-03-19T21:15:35Z
@AnnAdebayo,I saw that he put another money at is ear 😂😂😂😂😂😂😂😂,0,2025-03-19T17:22:30Z
@БариятГусейнова-м8ю,😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,0,2025-03-19T15:32:11Z
@عبدالحافظالمجيدي-ث3ص,"Hahahaha, écoutez bien 😊",0,2025-03-19T14:12:01Z
@Nudent-o2f,Your ear,0,2025-03-19T12:35:47Z
@Nudent-o2f,Your ear,0,2025-03-19T12:35:44Z
@matlogvideos6022,nakikita ko man,0,2025-03-19T11:38:19Z
@danrblx1232,Mo na lang ako sa mga😂🤣😂🤣,0,2025-03-19T11:08:27Z
@danrblx1232,Na lang ako sa mga 🤧🤒🥺😭,0,2025-03-19T11:07:54Z
@AngelAngelov-l9p,Le secret laisse derrière ton oreille,0,2025-03-19T09:10:21Z
@AngelAngelov-l9p,Non c&#39;est faux j&#39;ai vu le secret,0,2025-03-19T09:09:49Z
@AngelAngelov-l9p,😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,0,2025-03-19T09:08:39Z
@hadra1962,Adadi telingannya,0,2025-03-19T07:17:36Z
@امیرعباسخلفی-ب2ف,تو گوشش بود,0,2025-03-19T06:12:00Z
@AyseGuven-gs1cf,Cevap:(Cebinden para çıkardı),0,2025-03-19T05:28:39Z
@GabyuriApuad,🎉🎉🎉😢,0,2025-03-19T04:53:26Z
@Yusufatas306,Kulağında para 💵 vardı,0,2025-03-18T17:40:18Z
@VijayKumar-f3l3z,See the ear 😂😂😂😂😂😂,0,2025-03-18T16:37:54Z
@IsraaArfaoui-t8n,هاويني في وضنو,0,2025-03-18T16:00:27Z
@АлияАйдарова-и7ы,Қулақ жағыңда қыстырылып турғо ақша😅,0,2025-03-18T15:26:54Z
@cauanyliandrasilvaduarte3140,Eu  Faso menhor❤😂,0,2025-03-18T15:08:01Z
@aleksandrakubiak9406,😮😮😮😮😮😮😂😂😂😂,0,2025-03-18T11:35:57Z
@JitenderSingh-x2w,the  money  is  your    ear  this  is  a   not   masic    this  is   a   prank,0,2025-03-18T11:08:20Z
@heinrichperez8479,The money is in the ear,0,2025-03-18T08:31:02Z
@AdelToto-c5x,😂😂😂😂😂😂😂😂,0,2025-03-17T18:10:07Z
@Ovinash-t6n,I now,0,2025-03-17T17:06:10Z
@amenaakter-hk9dr,Money in her ear i see.,0,2025-03-17T15:45:45Z
@v5vivo431,Để ở tai,0,2025-03-17T15:30:47Z
@AmaniElbahri,انت ماهر في ذلك,0,2025-03-17T14:47:00Z
@AmaniElbahri,اعجبتني الحد,0,2025-03-17T14:46:47Z
@احمدعبدالله-ص7خ9ف,كانا على اذنه التنية,0,2025-03-17T13:09:11Z
@AliHanasg,Love,0,2025-03-17T12:49:50Z
@AliHanasg,😮😮😮😮😮😮😮😮😮😮😮😮😮😮❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-03-17T12:48:30Z
@BrendaVehkalampi,😂,0,2025-03-17T05:55:42Z
@RanitSarkar-m9w,Uske Kan mein Paisa tha,0,2025-03-17T04:38:38Z
@SarasMishra-z1j,See to ear,0,2025-03-17T04:18:03Z
@targetplay8082,show the word national😮😓🫵🏻,0,2025-03-17T03:42:59Z
@EvanSanchez-q6q,me doing that trick with 1 dollar bills cause im broke,1,2025-03-16T21:14:57Z
@EsmaYuusuf-m7g,❤❤,0,2025-03-16T18:04:53Z
@karimahadid5984,💪💪💪💪💪💪,0,2025-03-16T15:15:04Z
@Mmmmm634-i6g,في شي على اضنه,0,2025-03-16T13:24:30Z
@정주한-d3d,너무빨라요❤❤❤❤,0,2025-03-16T11:37:11Z
