Author,Comment,LikeCount,PublishedAt
@NileRed,"I&#39;ve given it a lot of thought, and I&#39;ve decided to move this video and most of the 1min+ videos from Nilered 2 over here as shorts. This is because my goal is to have all of my shorter content conveniently in one place, and I also want to avoid any confusion if I post any 1min+ shorts in the future.",9948,2024-12-08T19:31:20Z
@Cat_JPEG,The forbidden cheese pull,0,2025-03-20T20:53:26Z
@JamisonWalker-b9d,That is so cool🎉❤,0,2025-03-19T22:30:34Z
@vprs5234,eughhh,0,2025-03-19T21:33:42Z
@Blacksmith777studs,Looks like a ######,0,2025-03-19T08:29:31Z
@morganwiseman1,Very cool!,0,2025-03-19T01:55:45Z
@TheFrenchNaan,I thought that was Bakelite 😂,0,2025-03-18T14:05:49Z
@Mofrm6ix,Peter Parker taking notes rn,0,2025-03-17T18:47:28Z
@chipproductions1510,It looks like really REALLY chewed bubblegum. Even down to its fibers behavior.,0,2025-03-17T00:52:13Z
@PamelaPursley,That&#39;s freaking cool!!,0,2025-03-16T22:51:33Z
@PyroBear1776,Massive booger.,0,2025-03-16T04:20:43Z
@dauud-w5y,Its like a spider web but just not strong 🥲,0,2025-03-16T02:00:26Z
@noodlz-9000,It looks like wet toilet paper and chicken fat had a baby,1,2025-03-15T16:03:26Z
@rogerjohnsumalbag9051,Looks like spider man web formula,0,2025-03-15T15:05:15Z
@Kirankd44,Spiderman web fluid 😅,0,2025-03-15T11:35:53Z
@B4ZZB3E,Time for project spider man,0,2025-03-14T16:53:28Z
@amper_not_ampere,Forbidden grilled cheese,0,2025-03-14T14:37:24Z
@Roguestar3177,Bro made plastic toilet paper 😂,0,2025-03-14T01:53:17Z
@Akabajey5267,Gross? That looks cool.,0,2025-03-14T00:32:01Z
@epicmemefail,It looks like spider web,0,2025-03-13T22:47:33Z
@LatinaCreamQueen,I should call him....,0,2025-03-13T07:24:46Z
@drik9824,"<a href=""http://www.youtube.com/results?search_query=%23tapeworm"">#tapeworm</a>",0,2025-03-13T03:00:15Z
@bthobbs,I remember this lab in gen chem. Good times making Spider-Man web.,0,2025-03-13T01:27:09Z
@meatcrimes-42069,Bro peeled the water,0,2025-03-13T01:19:01Z
@Dragontamerrr1111,adylpoyl or whatever is so fun to say,0,2025-03-12T16:00:50Z
@worxxn,easier way to make this is to wet a tissue paper😂😂,0,2025-03-12T11:54:12Z
@BillieWilliams-l6m,S. N. O. T. 😮,1,2025-03-12T10:17:52Z
@transformerfoxyfloof8341,Reminds meof microwaved milk,0,2025-03-12T05:04:32Z
@buss3796,you ever drink water from the beaker when you&#39;re thirsty,0,2025-03-11T18:44:03Z
@osm1290,It kinda looks like mozzarella,0,2025-03-11T17:12:40Z
@Erdnuahsyek,"Off topic, but that is so cool how he has his channel on the glass. I didn&#39;t really think about that level of customization",0,2025-03-11T15:51:57Z
@thedeyfamilyvlogs8768,i hate my mind,0,2025-03-10T14:57:58Z
@Trillion_Titans_95_YT,Me: <b>finds an undiscovered chemical</b><br>Also me: <b>goes to a scientist and says tn name this</b><br>Scientist: hmmm... We name it oxjakxnakfnsonfksbfisbfiwbfiwbdibwdojadohsofhefjeojfsihfwihfieh<br>Nilered: <b>somehow pronounces it correctly</b> 💀💀💀💀💀💀,0,2025-03-10T09:18:25Z
@planui,Oh this reaction to do this at home maybe just liquid pen eraser and water,0,2025-03-10T07:48:26Z
@firesonic1010,Nasty? My man just made Spider-Man&#39;s webbing.,0,2025-03-10T07:04:08Z
@RuralTowner,I only just noticed he has his own labeled beakers.,0,2025-03-10T03:21:39Z
@light.commenter,Is it edible? It looks like cotton candy,0,2025-03-10T00:08:18Z
@nikkibraun3870,"IM THE GROOSEST, I PICK MY NOSE AND EAT IT",0,2025-03-09T16:42:35Z
@AaronDanielPDeRosas,(+100000000 EXP),0,2025-03-09T12:07:16Z
@mikokittenuwu4820,COOM,0,2025-03-09T10:27:27Z
@4amartemis,Nile casually making Spider-Man web fluid,0,2025-03-09T05:56:05Z
@Mars-d3s,Spider man,0,2025-03-09T04:13:04Z
@Sargentdonut-x17,Peter Parker (Tom): Thats a new way of making web fluid,0,2025-03-09T03:00:09Z
@AaronPoellintz-p7u,&quot;And now I&#39;m going to do something nasty&quot; What do you mean by that buddy.,0,2025-03-09T00:59:31Z
@za3144,Forbidden vermicelli,0,2025-03-08T10:39:10Z
@coldwntr,I can do the same thing with toilet paper and water😂😂😂,0,2025-03-08T08:45:59Z
@JamesHarris-xi4lv,SPIDERMAN GO HARD,0,2025-03-08T08:41:25Z
@ArchSingularity,Spiderman,0,2025-03-08T01:37:47Z
@Emerott,We did this in school. I&#39;m old.,0,2025-03-07T21:20:04Z
@ImaGeometryPlayer,bro i think what he meant gross is that looks like c-,0,2025-03-07T06:32:37Z
