Author,Comment,LikeCount,PublishedAt
@Stereowavey,“Mom! A basketball broke our roof again!”,0,2025-03-14T15:15:57Z
@PenniPainkiller-b9l,Windgill,1,2025-03-14T05:24:05Z
@Woodengamer-o1x,Where did that land,0,2025-03-09T18:53:56Z
@oanling917,He understands it now.,0,2025-03-03T00:02:33Z
@Hi_im_kleya,I went to windmill already,0,2025-03-02T14:48:51Z
@Ezéchiel-z5p,"Ce mec est incroyable, bravo",0,2025-02-28T16:58:17Z
@AlephNullification,the 2nd ball got sent to the stratosphere,0,2025-02-27T23:09:00Z
@DannaManese,Windmil.  🇵🇭,0,2025-02-24T14:19:09Z
@kedullahsevenfaruk,&quot;i understand it now&quot;,1,2025-02-21T15:55:03Z
@Zackarria688,That basketball left the atmosphere.,2,2025-02-18T21:34:20Z
@theDuckman9232,"How did you get the hoop up there? Wait, I understand it now",0,2025-02-17T21:58:20Z
@KANJI.1018,I don&#39;t need words anymore.,0,2025-02-15T15:12:14Z
@OfficialFBIagency,Bro became mahoraga,0,2025-02-15T07:46:18Z
@Mr1rickyr,Must be a hot day…. They have the fans on to cool off the earth,0,2025-02-07T16:32:02Z
@Sonicexe-h3u,well well well,0,2025-02-05T21:25:39Z
@KingCrownsTRF,Bro invented time,0,2025-02-04T14:39:33Z
@idk22158,Oh look there’s a basketball flying in the sky,0,2025-02-02T17:17:57Z
@tribe3828,Not born today. Let&#39;s not break the clip up over what took all day to do,0,2025-02-02T03:44:02Z
@peers1111,M V T<br><br>AM ON MY KNEES,0,2025-02-01T12:44:24Z
@justinfraziet6843,Another BRO... Copying the MENS tricks... 😂😂😂 get it???,0,2025-01-31T07:15:05Z
@sairevanth7838,Who kept it there🤔🤔🤔,0,2025-01-30T15:08:05Z
@世界之玉,好，现在该扣篮了！,0,2025-01-30T05:36:10Z
@spiralacc8692,how tf did the hoop even get there?,1,2025-01-29T22:02:53Z
@gazmendbalaj5626,Bro is lebron,0,2025-01-29T13:27:10Z
@DeepakBillore-p7t,Bro was like.. Michael who..?😂,0,2025-01-29T11:09:04Z
@abutalha484,"Eventually, Red bull company promoted😅",1,2025-01-29T07:53:40Z
@bubbybrister5631,Does anyone else&#39;s legs get weak when watching this?,0,2025-01-29T02:27:54Z
@arbaazmerchant6268,He got the safest task of redbull when compared to what other&#39;s did. But he shouted the most 😅,0,2025-01-28T11:12:28Z
@GamingFreak2707,Imagine get hit in the head by a random basket ball from the sky,1,2025-01-28T10:22:57Z
@YEKSIR5231,You,0,2025-01-27T19:48:10Z
@AmanKing-y9b,6kaaaaaaaa,0,2025-01-27T10:57:49Z
@lakshmiprasanna8483,Omg guy from dharr man,0,2025-01-27T10:19:13Z
@zod-krypton6383,1000s of attempts but showed here only 5 .,0,2025-01-27T10:08:17Z
@MikaYeet00,3rd times the charm ahh,0,2025-01-27T00:00:58Z
@youssefbrakez7732,Mahoraga,0,2025-01-26T18:59:27Z
@Boknows3416,How did it get there,1,2025-01-26T02:40:31Z
@PEANUHTBUHTTAJEYLLY,Other Companies: This product could bring people together<br>Redbull: Man VS. Wind Turbine,1,2025-01-26T01:21:28Z
@sonamgupta5415,Hat kalua,0,2025-01-25T18:05:55Z
@ChefLife-v6u,Imagine taking a walk and that basketball hits you on your head 😅,1,2025-01-25T17:46:59Z
@kingjs6971,Just got balls to waste,0,2025-01-25T01:16:06Z
@QUINIK420,Like he took the biggest crap ever in a toilet,0,2025-01-24T20:45:23Z
@AneeshChowdhury,Who will pay for damage,0,2025-01-24T18:42:14Z
@MatrixMaverick1980,Who put the basket there in the first place?,0,2025-01-24T17:25:24Z
@saradasarada4512,*When you understand the game you don&#39;t panic*🗿,0,2025-01-24T10:49:07Z
@ojasgogte3781,Dammm,0,2025-01-24T08:23:54Z
@KDeeksha-y2q,Bro how did  you fix the rim there¿,0,2025-01-23T14:06:56Z
@baker1352,Legend,0,2025-01-23T13:25:39Z
@saumaysharmagamer5213,Udhar basket jakar Lagaya Kisne,0,2025-01-23T11:31:08Z
@kwanbrown7023,Teach Ben Simmons,0,2025-01-23T06:50:58Z
@Monnomeer,🤯,0,2025-01-22T21:41:20Z
