Author,Comment,LikeCount,PublishedAt
@the.johnsonbrothers,Hey guys!!! Our first long-form YouTube video is finally up. Go check it out on our account!,28878,2023-11-27T23:05:14Z
@elazen6371,Yay!!!😂❤,0,2025-03-21T04:19:26Z
@arcgyrotingocia3186,damn they&#39;re a whole lotta man,0,2025-03-21T04:12:07Z
@jennylynasne,Hahaha,0,2025-03-21T03:59:08Z
@Memory_restaured,😂❤ Extra !!!,0,2025-03-21T03:33:03Z
@soledadmorarodriguez8174,Los amo.<br>jjjjjajjjjjjajjjjjajjjjjajjjjajjjjjjajjjjajjjjja<br>Soy Mujer pero si fuese hombre me uniría a la coreografía.<br>jjjjjajjjjajjjjajjjjajjjjajjjajjjjjajjjjjajjjjajjjjjajjjjja<br>No imagino a sus parejas mirando esto.  <br>jjjjjjajjjjjajjjjajjjjajjjjajjjjajjjjjajjjjjajjjjajjjjjjjjjjajjjjjja<br>Es el mejor musical en la playa y tiempo real.,0,2025-03-21T03:24:10Z
@charlierobyn2200,😂😂😂😂😂😂😂All beauty boys ❤❤,0,2025-03-21T03:20:08Z
@jpe1,"Ever since Trump started using YMCA at his fundraisers I’ve never quite trusted that straight people actually understand what the song is about, like they don’t actually <i>think</i> about the words, but I think the men in this video get it",0,2025-03-21T02:57:47Z
@cozyboy14,Thanks for this! My Aunt just passed away and this made a little sadness come out of me! 😊,0,2025-03-21T02:11:42Z
@bsflproductions,this is iconic i’m here for it boys!!! 😂❤,0,2025-03-21T02:06:32Z
@ramoncordoba3290,😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2025-03-21T01:34:52Z
@priscilaaquila39,❤ só homem lindo,0,2025-03-21T01:20:30Z
@Emily_Paris,Love watching guys get out there and have fun.  Let’s have more of that..,0,2025-03-21T00:27:06Z
@Currry3,I’m not a man but whenever I’m sad I watch this and I end up laughing so hard my cat hits me,0,2025-03-21T00:16:59Z
@joeymac3030,😂😂😂😂,0,2025-03-20T23:43:37Z
@theerasaknakpao479,I take all,0,2025-03-20T22:54:39Z
@To_Fu_X,True effect ❤ Wonderful,0,2025-03-20T22:53:02Z
@gisela6953,"Prefiero ver bailar a los hombres palestinos. Son masculinos de verdad, hermosos, sanos porque no beben y son pura masculinidad. Ya sabemos lo que dice la canción de Village People sobre la Marina.",0,2025-03-20T22:32:52Z
@doglover-n6y,The guy in the unicorn helmet is by far the best one lol😂,0,2025-03-20T20:26:46Z
@AnittaBump,What in the Barbie movie is going on here,0,2025-03-20T19:46:01Z
@dagdarosa9178,Good vibes ❤,0,2025-03-20T19:35:34Z
@EliGom-s8v,Beautiful ❤❤❤my frends,0,2025-03-20T19:14:12Z
@arielmora3297,Preñan?  🤤,0,2025-03-20T18:55:37Z
@felovenezuela,😂😂❤❤❤,0,2025-03-20T18:29:46Z
@mygardensandiegojavierbraz8543,Too much clothing,0,2025-03-20T17:50:29Z
@neilphillips153,Absolutely Brilliant Guys🔥🔥🔥🔥🔥🔥🔥🔥🔥❤️,0,2025-03-20T17:41:17Z
@DianelisNovoa,Youth...divine treasure...❤,0,2025-03-20T15:56:10Z
@deddysouw2397,Good friendship : ),0,2025-03-20T15:55:37Z
@marambaL,This month&#39;s internet bill is worth it,0,2025-03-20T15:50:59Z
@daytonbelt6635,i love the unicorn helmet,0,2025-03-20T14:22:11Z
@Aaaa-v5b4f,If I had a group like this my life is great already,0,2025-03-20T09:21:39Z
@preposterousme_00018,Why do I imagine them as the characters of the maze runner and Thomas is the one with the unicorn hat🥲,0,2025-03-20T07:48:35Z
@TSC-hr7ir,WELL DONE <br>😊😊😊😊,0,2025-03-20T06:19:04Z
@JohnAnthonyPerales,Brilliant 😂,0,2025-03-20T06:01:20Z
@coolaideevens8678,Lads,0,2025-03-20T05:28:37Z
@JoseJuanVega-f9w,&quot;He&#39;s probably out cheating&quot;<br>Him:,0,2025-03-20T03:48:15Z
@Fortnitgoat-t2v,For the boys only,0,2025-03-20T01:39:44Z
@mattysqueezesofficial,I need a guy friend group like this in my life. I’m so unhappy and need joy and laughter like this back in my life. My mental health just sucks rn,0,2025-03-20T01:22:20Z
@Johnpaul-r8w,Made my day,0,2025-03-20T01:15:10Z
@lisaoneal2401,😂❤,0,2025-03-20T00:58:48Z
@antop2038,Le jeté grand écart fantastique 😂,0,2025-03-19T23:50:40Z
@MegaMermaidgirl,i love this.   guy&#39;s know how to goof around and have fun.    probably on spring break,0,2025-03-19T23:25:10Z
@humeyrakacar-v8q,Hahahaha,0,2025-03-19T22:54:36Z
@steinkof,😂🙌🏽,0,2025-03-19T21:54:22Z
@Toawi,I watched this 10 Times and it still makes me smile 😊,0,2025-03-19T20:43:19Z
@Kevin-MichaelWolfer,"FINALLY!!! A significant number of people (in this case, all men) doing the &quot;YMCA Dance AND CORRECTLY DO THE &#39;C&#39; PART!...awesome guys!...",0,2025-03-19T20:41:41Z
@peppermintpatti5152,😊smiling big.,0,2025-03-19T20:11:23Z
@Lauravaldivia1,😂 Los admiro ❤❤❤❤❤❤❤❤❤❤❤,0,2025-03-19T18:39:06Z
@Wheelztotheworld,Thank you😂❤❤❤❤❤❤❤❤,0,2025-03-19T18:20:09Z
@LisaG442,Makes me happy 🤩,0,2025-03-19T15:34:43Z
