Author,Comment,LikeCount,PublishedAt
@aidan4246,Stupified,146,2024-10-17T02:59:22Z
@victorricardo9794,That poor halfpipe😢,0,2024-11-05T18:11:35Z
@kenfrievalt7826,So you like to spike drinks?,0,2024-11-03T17:59:12Z
@Human_Transmutation,vinegar is always going to work the best because it has a chemical reaction with the rust,0,2024-11-03T00:18:05Z
@crescentmoon256,where did you buy your pants,0,2024-11-02T02:05:38Z
@pechoja,"Thay us what my neighbor poured on my car to remove the clear coat, blister it and the  hood, roof trunk, and side mirror look luke a beater car. Monster drink",0,2024-11-02T01:11:06Z
@Zelolaj,What about cola?,0,2024-11-01T22:57:48Z
@redguydc,u didnt do both at same time,0,2024-11-01T22:23:48Z
@Alizium81,Коктейль Костылева),0,2024-11-01T17:34:02Z
@Dylan_thebrand_slayer_Mulveiny,"You pour it, you drink it.",0,2024-11-01T06:50:33Z
@nibinubtsjulia,"Hi, I came to spread the gospel, I&#39;ll try to be brief! Jesus is coming back, surrender to Him while there is still time, let him enter your life completely and your name will not be erased from the Book of Life. The only way is Christ, we just have to experience his love, accept Jesus as our savior and surrender to him. He will never fail you. The life of a Christian may not be easy, but it is wonderful and worth it. <br>&quot;For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.&quot; John 3:16",1,2024-10-31T00:11:41Z
@dennceybois3121,"that’s the size of the nails they crucified Jesus with, n yet He endured because He loves you n wants a relationship with you❤️",0,2024-10-30T17:07:42Z
@fastone7272,They said the same thing about coke and it wasn&#39;t true.😒,0,2024-10-30T00:56:58Z
@raironlima4698,"Comprovado, monster previne tétano",0,2024-10-29T23:50:48Z
@enigmasemisterios-r6i,Beber monster para tirar as coisas ruins.,0,2024-10-29T19:42:20Z
@rkgandham1688,Ok❤,0,2024-10-29T19:39:43Z
@E3litecompany,People see stuff on the internet and just take it and run with it lol,0,2024-10-29T07:07:52Z
@KunalKumar-jt1xl,Abe bhai,0,2024-10-29T05:33:21Z
@ExSilvally,I&#39;ll take 10 green monsters,0,2024-10-29T00:33:55Z
@s2ksavyy,Wow that’s terrible.. anyways I’m off to get me a Red Bull slurpee from Dutch bros,1,2024-10-28T23:26:02Z
@stevendiaz781,Amén,0,2024-10-28T22:48:20Z
@franky__ggan3680,Coca-cola works better,0,2024-10-28T21:52:36Z
@LoHye123,"So, commenter literally does not know what he is talking about.",0,2024-10-28T21:19:21Z
@atenon_31,Fanta work&#39;s better 😂😂,0,2024-10-28T19:56:46Z
@Jbsutt,"Im not sure what youre trying to prove, but vinegar is a base. When u add a base to a chemical reaction (rusting) it slows/stops it. Citric acid will react to metals.",0,2024-10-28T19:50:20Z
@Putnik0177,"Монстер, выглядит аппетитно",0,2024-10-28T16:21:24Z
@Tigz-the-cat,Boeing ahh nails,1,2024-10-28T14:31:33Z
@wjoming3,It looks boring but works so yeah,0,2024-10-28T08:27:57Z
@suefergusson5351,"Both look the same to me, and pleasant to watch without back music!!! But what a was of soda",1,2024-10-28T03:40:32Z
@Striker1244,Fake,0,2024-10-28T03:37:36Z
@ALDMJANI,Now imagine this happening inside your body,0,2024-10-27T18:09:33Z
@BladeAerialFox,the fact it worked at all is the scary part given you&#39;re supposed to drink that,0,2024-10-27T15:43:48Z
@greyfoxag,Monster fails again,0,2024-10-27T13:39:57Z
@thatguy7683,Good enuff,1,2024-10-27T12:42:47Z
@ChickenTarTareVal,Lime juice probably does better cause it&#39;s acid.,0,2024-10-27T08:39:43Z
@jaynotes722,Did you put salt in that vinegar? That&#39;s the only way to acid activate,0,2024-10-27T07:56:57Z
@tamizhazhagan4266,Finally what r u trying to say,0,2024-10-27T07:43:35Z
@Pabloignacioalvarez,You could have made the monster logo with 3 of those spikes<br><br>Opportunity lost i guess,0,2024-10-27T01:41:35Z
@neofantasticeodum6411,Vinagre ist verer 🤑,0,2024-10-27T00:21:23Z
@gharkoon4504,"If you ever are rusty while playing games, just drink vinegar.",0,2024-10-26T23:57:35Z
@waffle8364,looks like it doesn&#39;t,0,2024-10-26T23:30:30Z
@ZvraPN,@breakingvlad,0,2024-10-26T22:28:24Z
@z-rex8530,My mans got those fancy dollar tree tankards,0,2024-10-26T22:08:36Z
@asmae1988,Look what people drink 🙂,0,2024-10-26T21:47:12Z
@alejandroangulo327,"I think i saw an explanation before <br>These carbonated drinks can work in certain rusts, BUT if the carbonic acid is kept in the drink <br>And that mainly gets achieveved on a closed environment <br>Aka..in the bottle<br>Or any container sealed for that matter <br>Havent tried it myself, so cant say i back up the idea or deny its functionality",0,2024-10-26T21:28:23Z
@SahilGaikwad87,Now am not gonna drink that shit again,0,2024-10-26T20:43:59Z
@justShhhhhh,And that’s wat yall drinking 😂,0,2024-10-26T20:14:58Z
@ladynidragon,The vinegars cheaper,0,2024-10-26T17:12:08Z
@carloscv9892,CocaCola: - Rookies 😒,0,2024-10-26T10:49:37Z
@Mr.Combine_Soldier,Mmmmm nice mug cake,0,2024-10-26T05:49:59Z
