Author,Comment,LikeCount,PublishedAt
@WigoFellas,"🚨🚨🚨 Hey guys, If you speak English then I just made a new gaming channel called @WigoWho it&#39;s English only, Check it out.... or don&#39;t.... it&#39;s cool I swear lol",54,2025-01-23T14:41:30Z
@DANDYSWORLDFAN124-d9q,why do you scream like a girl,0,2025-03-17T22:49:17Z
@wadelinetoussaint516,The ahhhhhhh got me dying to risada 02 slowed,0,2025-03-16T02:30:50Z
@Amiira-u4t,😂😂😂😂😂😂😂😂😂😂,0,2025-03-14T10:10:31Z
@Thebattlecatsgamer0,The way he just screamed at the end😂😂😂,0,2025-03-14T03:46:34Z
@MagidAlghamdi,😲WigoFellas is 😡😡😡😡😡😡😡😡😡,0,2025-03-13T19:45:49Z
@MuslimaOrozalieva,😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2025-03-13T17:51:43Z
@Milenagevorgyan-p1u,😆🤣,0,2025-03-12T14:44:45Z
@carlospechmay8658,😂😂😂😂😂😂😂😂😂😂😂,0,2025-03-11T19:58:58Z
@潘宜芬-w4x,❤😂😂😂😂😂．．…．,0,2025-03-11T11:59:01Z
@centrogeneticosannicolas570,Jajajajajajjajajaj,0,2025-03-10T20:38:28Z
@LanceBobo,😂😂😂😂😂😂😂,0,2025-03-10T05:09:30Z
@SantiagoFlores-c9i,Dkrheofh😂😂😂,1,2025-03-10T01:48:33Z
@MikelML-n7t,Valentina 💗💗😍🥰,0,2025-03-09T20:49:13Z
@evelynnavea5117,:o WiigooooFelllllllaaaaaasss🥳🥳🥳🥳🥳🥳🥳😄😁😃🥳😀😁😃🥳😁😀😁😀😁😀,0,2025-03-09T18:50:10Z
@AmalyaHovhannisyan-r3p,😂😂😂😂,0,2025-03-09T16:52:10Z
@IWanttoDoMagic,The way he laughed made me think he was a clown or mickey mouse lol,0,2025-03-09T13:43:57Z
@Qiyw-z1c,Should I hate her for falling for it 4 times or should I hate him?,0,2025-03-09T05:55:39Z
@AchillesKadeCabigao,Legore de Los de el Khong phai cige,0,2025-03-09T03:56:04Z
@MusaTeymurlu,Çox gülməldi,0,2025-03-09T03:52:09Z
@JustinAstasie,Hee heew heeww haha 🙉🙉,0,2025-03-08T14:04:45Z
@kathlarano1355,It&#39;s so,0,2025-03-08T10:57:01Z
@CarmenRenataPinca,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2025-03-08T10:00:19Z
@JamshidIrismetov,😂😂😂😂😂,0,2025-03-08T08:54:30Z
@MariaLopez-be3ye,XD,0,2025-03-06T20:48:25Z
@HadichaMatkarimova-e4r,Omg😂😂😂😂😂mom😂😂😂😂😂,0,2025-03-06T17:02:38Z
@reddionisio3790,😂😂😂😂😂,0,2025-03-06T05:09:36Z
@Trinadyandebony,Haha,0,2025-03-06T03:21:48Z
@HectorMelendez-c4v,Noe gustó tu bideo 🙄🙄🙄,0,2025-03-04T05:58:32Z
@Nora-c7v,😂😂😂😂😂😂😂,0,2025-03-03T15:56:35Z
@MohammadkocharKochar,Hahaha🤣🤣🤣🤣🤣🤣🤣,0,2025-03-03T12:04:11Z
@JoseJose-y3z,Pobre viejita 😂😂😂😂😂,0,2025-03-03T01:59:16Z
@DinisOliveira-y2h,He are agril( *・ω・)ノ👁🫦👁,0,2025-03-02T20:30:20Z
@user-Katya_borovska,😅,0,2025-03-02T19:30:56Z
@RomeoFlores-l1c,😂😂😂😂😂😂😂😂😂,0,2025-03-02T18:59:16Z
@MD-1519,Как,0,2025-03-02T17:39:37Z
@JázminAnnaHullàr,🚨🚨🚨🛞🛞🛞🛞🛞🛞🚨🚨🚍🚍🚍🚍🚍🚍🚍🚍🚍🚍🚍🚍,0,2025-03-02T14:00:05Z
@fabiolaguachalla607,😂😂😅❤❤❤😊😊😂😂😂😂,0,2025-03-02T13:19:46Z
@sawawatanabe-z4v,おもろすぎやん😂❤,0,2025-03-02T12:37:34Z
@stefw2324,😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣как вы потом будите убирать🤣🤣🤣😃😃хахаээхэахааэххэахаэхахэ😂😂🎉🎉🎉🎉🎉🎉ну поздравляю,0,2025-03-02T10:44:59Z
@마카롱TV-t6s,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃어 🤣🤣🤣🤣 ㅋㅋㅋㅋ,0,2025-03-02T07:04:32Z
@江承翰-f5g,Omg😂,0,2025-03-02T05:32:59Z
@Амир-х4г9к,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2025-03-02T05:03:23Z
@flordemariaChavezcastillo,😂<br>😂,0,2025-03-01T22:48:31Z
@HoySun-f9s,😂😂,0,2025-03-01T22:15:37Z
@ترانه-ح6د,😂😂😂😂❤,0,2025-03-01T21:30:35Z
@karistogs,The 🦅🦅🦅🦅🦅🦅🦅🦅 at the end 😂,1,2025-03-01T20:30:31Z
@FitiaAndrianjaka-h1f,The laught💀💀💀,1,2025-03-01T20:07:26Z
@ardirahmawan4022,🗿🗿🗿😭😭😭,0,2025-03-01T14:00:14Z
@БогданНенашев-д3н,План скам,0,2025-03-01T12:36:11Z
