Author,Comment,LikeCount,PublishedAt
@Munnamunna22-w6y,❤❤❤❤❤,0,2025-03-18T14:13:35Z
@JngDilshan,කරන මිනිහ කිය කිය ඉන්නෑ😂😅 බන්,0,2025-03-17T08:41:17Z
@NargizaHamidova-vj3pq,😮😮😮,0,2025-03-16T10:18:08Z
@Dirk-van-den-Berg,One of his best sofar.,0,2025-03-11T19:49:44Z
@ВикторияАлексиева-л1м,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2025-03-10T08:27:38Z
@meme_20999,Fake,0,2025-03-08T17:31:41Z
@حمزهثامر-ت2ع,😂😂,0,2025-03-05T05:11:11Z
@GospelKidss,"✝John 8: 12 Then Jesus spoke to them again, saying: I am the light🌟🌅 of the world; whoever follows me will not walk in darkness, but will have the light💥💫 of life. Light means understanding, wisdom of the word of God (Bible).📗📚 Darkness means spiritual blindness. The person thinks🤣😆 that everything is fine, he can sin at will, he can live life only in goodness, there is no condemnation, there is no perdition, he will go to heaven anyway,😝😄 anyway, the evil spirits put a series of false thoughts in order to keep him in the same state as always, until the day (D) comes, when he will pass into eternity, and they will lead him to suffering.😵😭 Jesus paid a high price for you just so that this would not happen; but you have to do your part. Read the Bible, come to Jesus, attend an evangelical church.🏘🏫 Hugs!",0,2025-03-04T23:26:40Z
@get-used-to-disappointment,For god sake it happened again,0,2025-02-12T08:25:01Z
@angelopineda6890,He&#39;s in the world of art......😮😂😂😂,0,2025-02-09T00:59:58Z
@Sandlyte,"Isn’t the trick where you don’t actually draw it but you modify an online image, then edit it onto the ground? Finally, you use the trick where you just kinda skip a part. I forget what it’s called",0,2025-02-09T00:33:52Z
@lukekao8136,heehee,1,2025-02-08T19:17:15Z
@aaronbankhead3771,Fell into the Articles of Narnija,0,2025-01-31T20:49:40Z
@ligmabalz-kf2ck,Noone noticed the phone drop?,0,2025-01-24T12:11:36Z
@joshlay447,AWCY,0,2025-01-14T13:51:38Z
@aprendeconleonardo3903,Bro is gonna get forced to play basketball 💀,1,2025-01-10T01:23:02Z
@4everlifeful,I don&#39;t understand,0,2025-01-02T19:27:44Z
@дабейт,Даже белый медведь мог удержаться,0,2024-12-31T05:08:54Z
@edierwan1,BRO fell to the underworld,0,2024-12-30T17:23:58Z
@nyakuiralu419,I&#39;ll say it again. Never walk over paint that hasn&#39;t completely dry.,0,2024-12-28T12:04:13Z
@ThereaperFrrr,Grate: 👎<br>Great: ✅,1,2024-12-26T02:15:51Z
@iGOOgledno,Что за реакция 😳,0,2024-12-22T06:16:45Z
@bintudorcas-s9i,that was so good,1,2024-12-21T07:26:47Z
@RhythmGraddy,Why is the inside of the hole have an echo?,0,2024-12-08T07:12:12Z
@cherrydelarosa1188,Cliff,0,2024-12-02T09:24:20Z
@Weregoodand-2yu0,I ❤ how he makes things look so realistic,0,2024-11-30T14:56:01Z
@KD....,Meh. Mary Poppins did it first.,0,2024-11-19T02:02:37Z
@louaihaoues4039,وداعا يا فناننا 😢😢😢😢😂😂😂😂,1,2024-11-15T20:24:00Z
@enderkrack95here32,The people posing in the back😂,1,2024-11-04T15:32:33Z
@Split_shot34,She’s more confused than concerned,0,2024-11-02T06:12:03Z
@SyedAraf-s3g,WTF,0,2024-11-01T08:39:53Z
@iashablunt108,That&#39;s why you should never ever walk on street art,0,2024-10-29T20:13:33Z
@ryanmania-f5k,Cool 😢🤗🤗😵,0,2024-10-27T11:14:44Z
@ArfanArfan-y3n,❤❤❤❤❤🎉🎉🎉🎉,0,2024-10-18T11:21:02Z
@Minigamerbangla,New fear unlocked 🔓,1,2024-10-16T07:04:36Z
@Cute-z9n-w6v,He did very well and was very nervous.❤❤❤,0,2024-10-15T03:17:51Z
@Grshorts-u1f,😊😅,0,2024-10-08T17:58:16Z
@mr.perfectmadden429,"Look at the guys left arm it&#39;s a monster arm , it&#39;s definitely not a human&#39;s arm.... That is hella strange.",0,2024-10-02T22:26:12Z
@robertmwashighadi6291,Is this true😮😮,0,2024-09-20T13:03:44Z
@JeffreyZimmermannOfficial,WELCOME TO THE UNDERGROUND!<br>how was the fall?,0,2024-09-18T00:38:51Z
@NomzamoNdlovu-xs1uf,😅😅😅😅😅😅😅😅😅😅,0,2024-09-17T08:47:39Z
@GoodLandK2k,😂😂😂<br>😅😅😅😅,0,2024-09-15T07:15:41Z
@Priyanshiisokay,U great 😮,0,2024-09-09T17:14:52Z
@Gameshort101,😮😮😮,0,2024-09-08T13:10:59Z
@MiguelArboledaTorres,😊😊😊,0,2024-09-07T16:18:45Z
@1HoneyWorld,Macig,0,2024-09-02T08:02:49Z
@NiuTicun,Wait what?!!,0,2024-09-02T03:44:25Z
@impatient.,When you want a breakup-,0,2024-08-31T14:35:16Z
@AntoniaWong-xq2bk,What,0,2024-08-30T12:05:39Z
@MonalisaKlaasman,Was happened to to him 😮😮😮,0,2024-08-24T19:30:45Z
