Author,Comment,LikeCount,PublishedAt
@PeterMangin,"I’m taken. These feel staged, but they make a good point. Staged or not, I think these are great.",0,2025-03-21T03:53:02Z
@دالينعبدالله-ي5ز,M,0,2025-03-20T23:54:58Z
@icarusgod4630,Dul dul dul dul dul dul,0,2025-03-20T19:19:45Z
@aryamusicstudio9399,That another girl also deserves the present ❤,0,2025-03-20T18:22:25Z
@JelenaKazlauskiene-jt8ok,I cry,0,2025-03-20T18:16:54Z
@MehriAhmadi-x3e,😊😊😊,0,2025-03-20T16:38:03Z
@CORNELCornel-v7e,😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😢😢😢😢😢😢😢❤❤❤❤❤,0,2025-03-20T10:06:46Z
@คนสค-น8ม,❤❤❤😂😂😂🎉🎉🎉,0,2025-03-20T06:43:53Z
@JessicaLhill-c7x,This made me cry and smile 😭😭😭😭,0,2025-03-20T06:42:26Z
@ShivaQasedi,By giving,0,2025-03-20T05:27:39Z
@ReenalynMahor,😊😊😊😊😭😭😭😭,0,2025-03-20T02:59:47Z
@Onlyhonestyfirst,She needs to tell that guy kick rocks.<br><br>I don’t ever wish him to deal with something like that in his own life.<br><br>I know it’s a fake video to see who’s good at heart.,0,2025-03-20T01:02:36Z
@AhmadTaghinezhad,😭😭😭😭😭😭❤,0,2025-03-19T23:12:44Z
@AlyciaGrosse,❤,0,2025-03-19T22:20:54Z
@thesigncowboy4212,Stop with your fake bullshit,0,2025-03-19T21:44:06Z
@KahlaniWhite-b9p,😟🙏🙏🙏🙏🙏✨️❤️❤️,0,2025-03-19T18:18:42Z
@JúliaBeatriz-z8c,❤❤❤❤😊😊😊😊👏🏼👏🏼👏🏼👏🏼,0,2025-03-19T16:59:47Z
@Magdalena-qo9mz,❤❤❤❤😮😮❤😮❤😮❤😊❤😊❤🎉❤🎉❤🎉❤,0,2025-03-19T16:51:25Z
@NargesNikjo-y3g,نگاه نکنید زشته,0,2025-03-19T16:06:33Z
@BerkeShirzad,❤❤,0,2025-03-19T14:17:06Z
@VanesaEgrova-n9k,❤❤❤❤,0,2025-03-19T10:22:02Z
@elismeerimberikbaeva2445,🥹🥹😭😭🫶🏻Тибе,0,2025-03-19T08:11:55Z
@AKanani-n6b,❤❤,0,2025-03-19T04:59:22Z
@lorenacastano6118,❤❤❤❤😊😊😊😊😢😢🎉❤❤,0,2025-03-18T23:22:13Z
@josefinadelcarmenbarcelocedeño,Dios nos cuida amén😊,0,2025-03-18T22:22:16Z
@maypatus639,❤❤❤,0,2025-03-18T18:56:16Z
@ideinesks6753,❤❤❤❤,0,2025-03-18T18:37:37Z
@--auf6295,Why do u do that?At least give them a gift in the end,0,2025-03-18T18:28:48Z
@Vasil-z6q,😢🥹🥹🥹🥹🥹😭😢😭😢,0,2025-03-18T14:19:55Z
@eidsalharbi,Im sure that a disabled person like that would order a straw with that juice. It&#39;s also incredible acting you really did fool me.,0,2025-03-18T13:35:51Z
@SamilQuliyev-u3y,❤❤❤❤❤❤❤,0,2025-03-18T12:27:39Z
@essamfahim,Bro that&#39;s so kind of the waiter🎉🎉🎉🎉🎉❤❤❤❤😊😊😊😊😊,0,2025-03-18T11:52:00Z
@JosephineGallo-n9x,😢😢😢😢😢,0,2025-03-18T11:51:48Z
@VitoRamogida,❤❤❤❤❤,0,2025-03-18T09:43:18Z
@normaisarah1983,❤❤😊,0,2025-03-18T05:30:43Z
@MaggieDalumpines,😢😢😢😢😢❤❤❤❤❤❤❤😊😊😊😊,0,2025-03-18T05:29:25Z
@Миша-я6ю,❤❤,0,2025-03-18T04:00:57Z
@JanylykSubanbekov,😭👍,1,2025-03-18T03:45:03Z
@ranjan978,❤❤❤❤,0,2025-03-18T01:06:57Z
@raevschiradu8237,❤❤,0,2025-03-17T22:46:25Z
@fatemebateni2271,Why?!🤷,0,2025-03-17T22:40:03Z
@ROVEENAMUSHIANA,❤❤,0,2025-03-17T22:26:46Z
@EmaxHD-i8d,Bro aber die Frau im Hintergrund wollte helfen der Mann hat die nicht gelassen,0,2025-03-17T21:49:11Z
@MiriamCioica,😢🙏🙏🙏🙂❤️,0,2025-03-17T19:35:28Z
@EmirTalovic-qf5tv,Ja imam 9,0,2025-03-17T17:20:23Z
@EmirTalovic-qf5tv,19,0,2025-03-17T17:20:05Z
@Jerdefirjr,😢,0,2025-03-17T15:48:10Z
@MKthegamer5.o,First of all I was thinking that the boy was disabled but when I came to know he is okay I felt good and full respect to that girl❤😢❤😮😊,0,2025-03-17T14:31:36Z
@mariavilmasousa9893,😢😢😢😢😮😮😮😊😊😊😊♥️♥️♥️♥️♥️♥️♥️👍🌺🌺😇😇😇🥹🥹🙏🙏,0,2025-03-17T13:52:30Z
@Khadraxasan123Muxumed12,❤❤😊,0,2025-03-17T13:37:10Z
