Author,Comment,LikeCount,PublishedAt
@manikandanmanikandan4051,Moral of the story: Should not be over confident before winning the race 😂,0,2025-03-20T18:31:02Z
@RahimAhmed-e2b,Your kinda bad what she said  it hit her right back on her face,0,2025-03-20T18:16:50Z
@MasonLedesma,Biggest come back out there.,0,2025-03-20T15:48:48Z
@GaigeDavis-x6i,Scrambled Eggs,0,2025-03-20T15:36:50Z
@GaigeDavis-x6i,c the big picture,0,2025-03-20T15:36:21Z
@GaigeDavis-x6i,back on track,0,2025-03-20T15:35:09Z
@GaigeDavis-x6i,Goody 2 shoes,0,2025-03-20T15:30:38Z
@yousef_zizo,Who is kinda bad now ?😂,0,2025-03-20T09:59:34Z
@RandaGhazal-b2n,she went from “you’re so bad” to losing.,0,2025-03-20T09:40:30Z
@lovelybabelvlogs6397,So good quiz,0,2025-03-20T02:16:23Z
@etobulka,Real Madrid in a single Human!,0,2025-03-20T00:32:47Z
@LiamAli-k7o,Definition of speed vs acceleration.,0,2025-03-19T20:39:58Z
@t.ajoshua3671,"Ladies first doesn’t mean lady, be the first",0,2025-03-19T20:36:38Z
@Anna-j3x5l,Yk I kinda wonder the people that lost have they ever stole the egg?…..I know I would just dip,0,2025-03-19T16:30:23Z
@MicaiahBenElijah,So this is how Mark Zuckerberg met his wife.,0,2025-03-19T14:55:59Z
@sohinibhattacharjee3992,SLOW BUT STEADY WINS THE RACE... GOOD JOB BOTH OF YOU,0,2025-03-19T09:00:07Z
@SouminiNarayanan,Shw has over confidence,0,2025-03-19T05:57:48Z
@NghiaNguyen-rv5bd,One of the greatest comebacks I’ve ever seen.,0,2025-03-19T03:18:29Z
@MiAngelHarris-d5j,She sold,0,2025-03-18T19:08:46Z
@sirhanhilalnodjeng6414,the comeback tho,0,2025-03-18T18:53:06Z
@goldie1994,Epic Comeback,0,2025-03-18T14:44:09Z
@oOIIIMIIIOo,Why did she shut down?,0,2025-03-18T11:22:49Z
@Nerdy_GG,What an insane comeback,1,2025-03-18T11:20:15Z
@scarthelett4600,"John 14:8 – If God is all you have, you have all you need. <br><br>Psalm 46:1 - God is our refuge and strength, a very present help in trouble.<br><br>Romans 8:18 - The Pain You&#39;ve Been Feeling Can&#39;t Compare To The Joy That&#39;s Coming.<br><br>Exodus 14:14 - The Lord Will Fight For You , You Just Need To Be Still.<br><br>Jesus loves you all✝️💟<br>May God guide you throughout your whole entire life and lead you to the right path of life‼️",0,2025-03-18T08:40:28Z
@ProfMegax,He is a madrid fan 😂🤍,0,2025-03-18T06:47:27Z
@sunshine5752,This not a short this a medium,0,2025-03-18T06:03:07Z
@johnmajor4173,I so wanted him to win…and he won !!,0,2025-03-18T01:39:35Z
@sigma1328,"SGEG<br>You can hear him stop himself. We know what you were gonna say first brother, you are not alone.",0,2025-03-18T00:57:34Z
@2ved4,See her face at the end😅...,0,2025-03-18T00:17:36Z
@Black_Casper95,Best comeback of history,0,2025-03-17T22:39:32Z
@GrantBenedict-b7g,Bro made a come back,0,2025-03-17T20:41:08Z
@akoriamei4708,Smartest duo,0,2025-03-17T17:48:46Z
@MeryGeorge-ci3ns,Greatest comeback on the book of world history,0,2025-03-17T09:53:21Z
@zerokombatant6629,Dude with the comeback didnt even jump on the one the girl almost got,0,2025-03-17T05:47:40Z
@NoBody-e8w,Crazy comeback,0,2025-03-17T05:00:40Z
@rdtripler5604,"Now, that&#39;s a comeback....",0,2025-03-17T03:51:55Z
@Ohwowdoe,Looks likes she&#39;s really bad 😂,0,2025-03-16T23:59:34Z
@ashleyxeditss,Her: “Your kinda bad”<br>Him after winning a point: “i feel kinda bad”,0,2025-03-16T15:04:53Z
@amd_editz99,&quot;you&#39;re kinda bad&quot;<br>-him having the comeback of a century while going easy on her,0,2025-03-16T15:04:48Z
@brainthebrain601,"Seems like she felt guilty about the “you’re kinda bad” comment, then proceeded to give him the opportunity to win.",0,2025-03-16T08:27:31Z
@dragonsfanges101,I got most of these at the same time they did or sooner.,0,2025-03-16T05:49:25Z
@jenniferthreefrog,❤❤❤,0,2025-03-15T22:27:52Z
@leticialalaguerra2008,How about ya&#39;ll make fun of me and not argue over this little yourube short.,0,2025-03-15T21:47:41Z
@leticialalaguerra2008,"Bruh, yall are still arguing over this little youtube short.",0,2025-03-15T21:47:36Z
@Jeyden-f9j,Bro got Infinity aura with that comeback,0,2025-03-15T21:42:18Z
@mdayobami,W man 👏🏼,0,2025-03-15T21:01:31Z
@cbraazz,“You kind a bad” stupiiiiiiddddd 😂,0,2025-03-15T20:31:15Z
@Logan-dv1lc,Different strokes fo diff folks,0,2025-03-15T19:26:12Z
@moirangthemthomas5082,Bros comeback is crazy 💀 💀,0,2025-03-15T16:15:12Z
@shz8990,You r kinda bad … guess what the good one won at the end…,0,2025-03-15T10:53:49Z
