Author,Comment,LikeCount,PublishedAt
@AnthonyMckee-s8b,These ones are pretty easy,0,2025-03-20T10:28:28Z
@davnan73,Sore loser she dissed the question master at the end,0,2025-03-20T09:24:59Z
@Kjabstract,I was literally screaming spaceship,1,2025-03-19T23:01:40Z
@Catsquad247,Me DOWNTOWN!,0,2025-03-19T17:06:03Z
@SouvikPatra-f8y,What about her voice is it natural??,0,2025-03-19T08:38:51Z
@chrisbryan7375,This got me mad I knew the answers but could not do anything,0,2025-03-18T07:17:30Z
@priscillajimenez27,I couldn&#39;t guess the ship one lol<br><br>I said ghost ship 😅,0,2025-03-17T20:29:12Z
@Pr3ppyQueen_B,_______Ship<br><br><br><br>Me:GHOST SHIPPPPPP👹👹<br><br><br><br><br>The answer:👽💀☠️👽,1,2025-03-17T08:33:08Z
@GrandmaLoves2Scuba,Who else was yelling Spaceship? 😂,0,2025-03-17T02:53:50Z
@ikobengdioka7962,Not me screaming &quot;spaceship&quot; 😭⚰️🤣🤣,0,2025-03-16T23:07:58Z
@beepbopboop7727,So much fun,0,2025-03-16T21:11:12Z
@aDUCKYblox_1,bro no offence but they suck at this,0,2025-03-16T20:47:54Z
@SonahangRai-pq5ng,Is it about me? Relationship,0,2025-03-16T15:58:30Z
@vanishreegovindran3392,"<a href=""https://www.youtube.com/watch?v=fPW-zkcTRgM&amp;t=72"">1:12</a> sunny starscout , you &#39;re under arrest",0,2025-03-16T14:32:31Z
@2RAJ21,Sabash seriyan potti ..,0,2025-03-16T07:53:56Z
@CrystalWinter_bitch,when i saw the &quot;ship&quot; i went from &quot;ok cool&quot; to &quot;SHIPS SHIPS!GAY &amp; LESBIAN GAY &amp; LESBIAN!,0,2025-03-15T18:17:33Z
@DogDayEditsCG,My patience was KILLING me when they didn’t know downtown and spaceship😭🙏.,3,2025-03-15T18:14:06Z
@putraahmad-l9g,Good game😂,1,2025-03-14T04:53:54Z
@amandaandava,Lol,0,2025-03-13T23:00:42Z
@kiawegamer,"Finally I did majority of them, in other videos I only got 3 or 4 correct<br>Spaceship was the easiest for me for no reason, so I was like &quot;blank... space... SPACESHIP&quot;",0,2025-03-13T17:19:15Z
@MaríaPeña-k1x,Keueuueu❤ie,0,2025-03-13T15:40:02Z
@Sh4dow895,That&#39;s crazy in the title tbh,0,2025-03-13T13:49:15Z
@elfinthekitchen,Wooowwwwww they are fcking SLOWWWWWWW,0,2025-03-13T01:04:53Z
@DeEmperor1,I don&#39;t understand &quot;NAFISH&quot; and &quot;Sick Eagle&quot;,0,2025-03-12T19:25:01Z
@giraybudak1877,These guys are real dumb Its not even my first language but I can find faster than those 2 dumbasses,0,2025-03-12T09:48:24Z
@jadinkllz12,YEAHHHH FIVE BUCKS!,1,2025-03-12T05:24:16Z
@rainytreecat3992,"I got nine of them fastest, I win",0,2025-03-11T23:17:46Z
@thisusernameisamazing4184,Nah yall smarter than me because why the top comment say he was screaming downtown yet i was full well thinking uptown 😂,0,2025-03-11T20:30:32Z
@khatske,Those were good,0,2025-03-11T17:15:59Z
@SatyamSingh-yj4rx,Genius??😅,0,2025-03-11T15:07:56Z
@meghan2468,SPACESHIP!!!!!,0,2025-03-11T13:13:00Z
@masonseminario7435,“Underscore ship”,0,2025-03-10T22:04:20Z
@xdarnav_jain,"<a href=""https://www.youtube.com/watch?v=fPW-zkcTRgM&amp;t=66"">01:06</a> he&#39;s been waiting to say that all his life",0,2025-03-10T13:45:32Z
@AM-ug9ck,Shoulda been town center,0,2025-03-10T10:19:27Z
@Starlight_Skybright,&quot;she just wanted the video to be over&quot; you could tell she was annoyed by not winning 😂,0,2025-03-09T20:01:11Z
@Boghname-y9f,They got THE EASIEST ONE INCORRECT LIKE “SPACE SHIP” BRUH LIKE COMMON SENSE…,0,2025-03-08T23:14:53Z
@mohammadayesh1987,Lol,1,2025-03-07T21:51:09Z
@kennedyzell4054,I WAS SCREAMINGGGG DOWNTOWN,0,2025-03-07T20:21:10Z
@himanshujod7645,Sick eagle = seagull✅<br>                       Illegal ❌,0,2025-03-07T15:28:50Z
@diffdimgamerseven9986,"Wait, that&#39;s illegal",0,2025-03-07T07:58:15Z
@nai6474,This was so easy💯,0,2025-03-06T20:44:36Z
@NanoG930,I love 💕 the voice of girl❤,0,2025-03-06T16:09:56Z
@Springfieldcat,@,0,2025-03-06T05:16:43Z
@queenvic83,They&#39;re guesses can be be whack like <br>&quot;empty&quot; ship?!? Smh lol,0,2025-03-06T02:36:50Z
@NotHexaaaa,I totally thought that was censorship,0,2025-03-06T00:06:01Z
@Schrodingercat141,She is cute tbh 😍,1,2025-03-05T11:15:27Z
@celicaguy1,"Spaceship: That was an underline, not a space. I think my answer of “censorship” is more fitting, because part of the word was removed. Then again, asterisks in that place would be more fitting for mine.",0,2025-03-05T09:53:26Z
@Gvno347,I can&#39;t be the only one that was saying downtown downtown downtown downtown downtown downtown downtown downtown downtown downtown downtown because I mean there was pretty explanatory😂,0,2025-03-04T00:31:59Z
@AlienateAnimations,I turned into Benny from the lego movie at the end,0,2025-03-03T21:53:39Z
@callmecandiiiceee,ik GR when i see it ❤,0,2025-03-03T01:01:55Z
