Author,Comment,LikeCount,PublishedAt
@EzequielCarlosAlexandre,A saborosa cerveja choca😂😂😂,0,2025-03-21T01:11:06Z
@Echolol-t2m,😮😮 what,0,2025-03-20T19:49:25Z
@OLDISGOLD-e5b,"Mind blowing <br><br><a href=""https://www.youtube.com/shorts/gDagj2_nADc"">https://youtube.com/shorts/gDagj2_nADc?si=6njcEM07NX0k2AFI</a>",0,2025-03-20T14:44:21Z
@KalyanBabu-sq9if,Before package ❌<br>After package✅,0,2025-03-20T14:21:06Z
@videomaker2567,Hot water,0,2025-03-20T13:04:05Z
@brbizinha6729,Ahhh agora eu entendi 😂,0,2025-03-20T11:17:10Z
@علی-م8ذ5ف,باورم نمیشه 😮😮😮,0,2025-03-20T10:46:40Z
@walacyvieira4362,Chega no final da tarde não tem dedo que guenta na água quente 😂☠️,0,2025-03-20T03:14:31Z
@NoelleIsTheGeoArchon,American Kanji,0,2025-03-20T01:55:09Z
@Unfurtunate-123,"Easy to explain, the boiling water goes through the crack so it gets the bottle wet and the wrap so it sticks together",0,2025-03-19T21:31:30Z
@Deenlads112,Cool,0,2025-03-19T15:50:07Z
@ANIMAL-c8e,THANKS FOR 99 SUBSCRIBERS 😊🎉,0,2025-03-19T14:17:40Z
@HiddenMindStories,Hidden Mind Stories,0,2025-03-19T13:47:58Z
@Mypassion-js8kh,"<a href=""https://www.youtube.com/shorts/UzOY3Zl2jvk"">https://youtube.com/shorts/UzOY3Zl2jvk?si=eG6AO5J0oEct6wKp</a>",0,2025-03-19T13:27:49Z
@mieczysawmackowicz2760,To mieszani w g,0,2025-03-19T13:25:48Z
@AiMusicWorld-z3m,Please support me,0,2025-03-19T12:40:17Z
@user-mx2rq7cd8o,Это хороший соблазн но не любовь😝🦹🏼😎👋🏼,0,2025-03-18T18:25:56Z
@universal_podcast_05,wooowwww,0,2025-03-18T17:12:36Z
@Fani_sho1,"He&#39;s getting sweetened, he&#39;s gathering under hot water, it&#39;s It&#39;s sweet, it gets it and it collects under hot water, it&#39;s not interesting.😐",0,2025-03-18T07:02:12Z
@juaamy,CUMA DI 𝐀𝐋𝐄𝐗𝐈𝐒𝐓*𝐆𝐄𝐋 YANG SERING BANGET KASIH JP KE MEMBER BARU,0,2025-03-18T04:06:14Z
@battledata-c7q,Wow 😮❤,0,2025-03-17T21:51:52Z
@hakim.515,"<a href=""https://www.youtube.com/shorts/x0yfh8S5gwY"">https://youtube.com/shorts/x0yfh8S5gwY?si=X6tVTFyDG-UP_ODy</a>",0,2025-03-17T20:35:38Z
@jesusgustavoubaldogonzalez2928,Desperdicio de líquido vital por un vicio que mata,0,2025-03-17T15:08:56Z
@Michaelzanymaia-du6ok,Olá boa tarde pessoal isso aí é mito😊,0,2025-03-17T15:05:03Z
@shobaibbilal5624,Thats a total waste of water . Shit idea,0,2025-03-17T13:08:41Z
@JoachimBezalel,Oh thats how they put it on cans and bottles😮,0,2025-03-17T07:22:45Z
@emrantahsin,❤❤❤❤,0,2025-03-16T23:48:13Z
@NaturEcology,Tha Shaking. What was that for?,0,2025-03-16T22:48:00Z
@hobimusic575,"<a href=""https://www.youtube.com/shorts/7_bBeT32sFU"">https://youtube.com/shorts/7_bBeT32sFU?si=0nKabjKUdT7RRPjk</a>",0,2025-03-16T15:26:32Z
@O13A12A_CL.,お湯か　(=ﾟωﾟ)ﾉ,0,2025-03-16T09:32:51Z
@AaiyazKamal-b3u,Wow bhai😮😮,0,2025-03-16T09:04:20Z
@mohammadkarimy1680,❤🎉,0,2025-03-16T07:17:33Z
@Describe_Buzz,Yeah,0,2025-03-16T06:40:16Z
@Madagsakarboy,"Hi! your channel is very good, the video is also great, and your subscribers are also cool! I&#39;m subscribed to you!My bro Youtube channel: @BestStories_Making.",1,2025-03-15T16:47:00Z
@ng_bn,We learn each day,0,2025-03-15T08:14:09Z
@dark_devil826,Jai Shree Radhe Krishna,0,2025-03-15T04:47:23Z
@speedclips3D,no way this is real,0,2025-03-15T00:50:35Z
@newtestnew7756,ii,0,2025-03-14T10:02:25Z
@OmidMohammadi-n5c,❤❤,0,2025-03-14T08:14:34Z
@DeepakBobade-m5l,I think this black color on cover add Yellow flowers 🏵,0,2025-03-13T17:08:25Z
@Imkavya_1Rana,🚀,0,2025-03-13T16:15:01Z
@janitangkau87,Good,0,2025-03-13T15:47:00Z
@FengBridge_,😂😂😂,0,2025-03-13T15:00:17Z
@QaisarKhan-o1i,Anyone who likes such videos on our YouTube channel.,0,2025-03-13T11:32:39Z
@QaisarKhan-o1i,Hot water power 😮,0,2025-03-13T11:30:59Z
@Natannael-kb1vz,😮😮,0,2025-03-13T10:21:36Z
@Kend.Havasıı,porfect😅,0,2025-03-13T08:43:02Z
@gerardocornejo3013,Se desperdicia mucha agua,0,2025-03-12T19:48:25Z
@MargaretT.AP_ME_TO_GE,"If you don&#39;t understand we need more people like you:)<br>I love you 1%💛💖<br>I love you 2%💖💛💖💛<br>I love you 3%💖💛💖💛💖💛<br>I love you 4%💛💖💛💖💛💖💛💖💛💖<br>That mini stache was the cherry on top! Great♡♡♡💛♡♡♡<br>😍<br><br>💋💋💋❣❣👇🏻👇🏻",0,2025-03-12T17:05:10Z
@AhhhhhhhhhH-u6p,Wow Chinese Amarican company 💀,0,2025-03-12T10:24:05Z
