Author,Comment,LikeCount,PublishedAt
@ArabiMecherki,هل يعرف أحد أين تباع هذه لآلة🎉😊,0,2025-03-21T01:39:57Z
@VladStănescu-b7n,Nu😭,0,2025-03-20T18:53:43Z
@Dara-k5f9d,OH YEAH MORE BATTERY,0,2025-03-20T14:31:27Z
@MJMaila-xs3cj,Real?,0,2025-03-20T14:27:53Z
@eloysantoscolquemartinez8164,eres un insulto a tade,0,2025-03-19T21:13:33Z
@ChandrakantWadiyar-h6m,Galaxy Note 7 Also Explodes While Charging,0,2025-03-19T14:32:39Z
@filominaloncle2328,Le gros mhyto 😂,0,2025-03-18T20:42:34Z
@RaniH0,It&#39;s fake,0,2025-03-18T14:31:07Z
@riciaresthy,Sikepo,0,2025-03-18T13:15:28Z
@Mr.AjmerVlogg,Buying phone for the charger 👏,0,2025-03-18T13:10:09Z
@Adventures.With.Jonathan,It Looks Like A Pear,1,2025-03-17T23:32:43Z
@KhalidEbrah-e5k,اتمنى ايفون,0,2025-03-17T21:02:25Z
@ИльяБондарев-б6о,Сдать телефон сц на переработку ❌<br>Убить его аккумулятор ✅,0,2025-03-17T17:43:38Z
@AnantgurjarSumitgurjar,Chuha chuha 😂😂,0,2025-03-17T08:22:47Z
@anacleiaportella26,Estourou o celular e aca BOOOM!!!!! quebrou o iPhone dele explodiu máquina de bateria<br>Que gira,0,2025-03-17T03:13:01Z
@Jennie-sg5tv,No mates ese celular,0,2025-03-16T23:26:27Z
@CoffeeManiaTV,"Aaaaah yes, the classic &#39;2000%&#39; charged, gotta appreciate the details apple puts into the IPhone",0,2025-03-16T20:53:41Z
@Victoria-of1sd,Y yo queriendo un celular,0,2025-03-16T20:46:01Z
@rahulkrishnapandey9643,Bro has fake iphone,0,2025-03-16T08:44:26Z
@Ilyos580,Чего😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,0,2025-03-16T06:44:53Z
@OfficialBaconDominance,Apple iPhone❌<br>Pear  iPhone ✅,0,2025-03-16T03:11:04Z
@venozarama9094,"Oh my God, that is magic😮",0,2025-03-15T14:38:35Z
@Manish_raj_021,Please give me a i phone 😢,0,2025-03-15T08:30:33Z
@St4rTr3v1Ut10n,Jinkies!,0,2025-03-15T03:35:06Z
@andreaspe8544,😂,0,2025-03-14T15:14:12Z
@jeremy-q4z,broo..... youre grounded,0,2025-03-14T12:26:01Z
@harshmohata3741,Hey bro pls gift me an iphone,0,2025-03-14T11:58:48Z
@ಕಾವ್ಯ,ಎಲ್ಲಿ ಸಿಗುತ್ತದೆ,0,2025-03-14T11:29:38Z
@cjduenastolentino3284,Woot,0,2025-03-14T08:20:54Z
@AmirFar-z4w,I want 1 apple please,0,2025-03-14T07:46:38Z
@MartinAlanizMcLarenSpeed,product name?,0,2025-03-13T20:35:40Z
@nithinprakash8800,I like u r hair style,0,2025-03-13T16:20:42Z
@guruprasad1358,You slow down and the phone battery rotates the paddle. 😅,1,2025-03-13T14:39:27Z
@Ensarbey34,Victor abi bana da versen,0,2025-03-13T13:46:05Z
@alinandoetrama283,which is an experiment why does it have to be an expensive cellphone,0,2025-03-13T13:45:37Z
@maribelromero5179,Can I have the I phone,0,2025-03-13T00:07:37Z
@sylwiar.4079,Ja nie wiem ale coś nie wierzę temu,0,2025-03-13T00:07:15Z
@janethcalizaya2281,VECTOR,0,2025-03-12T18:47:09Z
@AstilloMamathalilov,😂 yiban,1,2025-03-12T14:19:23Z
@Guillaume0398,Dead internet theory,0,2025-03-12T13:28:11Z
@MohdKurban-n7l,Phak,0,2025-03-12T11:39:34Z
@ОляОсадчук-б6б,Ти що робив бомба телефон?,0,2025-03-11T18:39:57Z
@MohitPanwar-e5r,Video main subse acha kaam phone ne kiya,0,2025-03-11T16:05:51Z
@AliJurani-m5k,Be a Muslim please,0,2025-03-11T11:44:37Z
@Mewantsomenuggiez,Bro just wanted to charge his new phone,0,2025-03-11T00:14:32Z
@Sarvargayratov-d7t,10 marta qildim foydasi yoq<br>😢😢😢😢😢,0,2025-03-10T17:55:48Z
@Никита-х8ш3о,Not work,0,2025-03-10T16:44:07Z
@urlocalpalau,we got radioactive charger before gta 6,0,2025-03-10T15:41:02Z
@Dani_9813,Que mal se te da hacer videos y que bobo eres,0,2025-03-10T15:40:37Z
@Omar11-e5c,Wan?<br>Na wanna cook,0,2025-03-10T14:56:00Z
