Author,Comment,LikeCount,PublishedAt
@АртёмКлип-х5в,Fake,0,2025-03-21T02:16:47Z
@WillianGarciaHN,Yo escuché estrellita Donde estas😂😂,0,2025-03-21T01:56:06Z
@tatianacamacho1626,Es obvio que es edicion,0,2025-03-20T23:43:58Z
@IvanYTillEstanVivos,CAIA BN DURO JQKAJAJA 😭,1,2025-03-20T23:39:05Z
@cob4467,Get a life Son,0,2025-03-20T22:48:08Z
@DiadauiSami,😅😅😅😅😅😅😅😅x,0,2025-03-20T22:07:59Z
@elisav1469,Loco,0,2025-03-20T20:31:28Z
@mirib1040,Tomoror is coming the santer Claus,0,2025-03-20T19:05:00Z
@عسولهعسولهعسوله-ل3ظ,معقول خدعة,0,2025-03-20T18:36:29Z
@Дмитрий-й9щ9к,Интересно сколько потратил времени чтобы споймать все до последнего момента чтобы в стакан попал ?,0,2025-03-20T17:45:20Z
@ДАВІДКИРУТ,Капец зделал музику,0,2025-03-20T17:37:41Z
@FatmaShaabi-yn6dw,Why the cup move,0,2025-03-20T16:35:41Z
@Wenda-49m,ABCDEFG,0,2025-03-20T13:11:31Z
@Wenda-49m,"Or not Baa Baa Black Sheep Song, Now? 😖",0,2025-03-20T13:11:01Z
@HongLinLi-b4d,So cool!,0,2025-03-20T08:36:24Z
@JuliaRuiz-f3o,esta orrible tu música ni lo subas,0,2025-03-20T04:20:34Z
@水-u6p,すごい,0,2025-03-20T04:13:28Z
@vitoriacruz1501,Muito daora,1,2025-03-20T02:49:36Z
@BratyoBro,Barom,0,2025-03-19T23:37:49Z
@Jeff-uy8xg,I&#39;m guessing you&#39;re a federal employee that works from home?,0,2025-03-19T22:22:50Z
@gersonguerreropanta,Estrellita estrellita dónde estás,0,2025-03-19T21:01:10Z
@theking-rw4el,Good green screen bro❤😂,1,2025-03-19T15:59:05Z
@YcehhFdtzh,And❤❤❤,0,2025-03-19T15:54:12Z
@OKROSKA-PODPISHIS,A b c d e f g...,0,2025-03-19T15:34:24Z
@Leylapayamani,الان مامانت داره دنبال قابلمه ها میگرده😂,0,2025-03-19T15:28:38Z
@廖呂維-q4f,太神奇了❤,0,2025-03-19T13:43:19Z
@蔡建访-t2d,厲害👍🏻,0,2025-03-19T08:54:13Z
@蔡建访-t2d,厲害👍🏻,0,2025-03-19T08:54:11Z
@반정호-w6m,개척정신이 대단한 어메리카.,0,2025-03-19T08:30:41Z
@angelicanavaventura7269,Vieh,0,2025-03-19T07:39:37Z
@avaplantz7558,The ball when it hits all the pans sounds like twinkle twinkle little star,0,2025-03-19T06:55:47Z
@giftagifta02,hanya cita dan malam ✌️,0,2025-03-19T06:18:00Z
@musicadeagora4299,Maré eu tô preocupado e com o tubarão,0,2025-03-18T22:35:04Z
@MarcoSestigiani,Non è possible 😅😅😅😅💪💪💪💪💪💪,0,2025-03-18T19:19:25Z
@yulisau6461,A qué aburrido adiós,0,2025-03-18T17:40:50Z
@pksinha25,ABCD 🔠,0,2025-03-18T15:55:36Z
@amanmahour2828,Twinkle twinkle little star 😂,0,2025-03-18T12:55:50Z
@EvelonessE,Звуки мяча для пинг понга:❎<br>Фнаф:✅,0,2025-03-18T10:45:44Z
@AliceMupfiga,Twinkle twinkle-wait no <br>A B C D E F- I don’t understand😅😅😅,0,2025-03-18T09:59:00Z
@katianerodrigues2855,Linda e já te falo 🤩🤩🤩🤩,0,2025-03-18T09:54:16Z
@ponchikpro5002,😮😮😮😮🎉🎉🎉🎉❤❤❤❤❤,1,2025-03-18T09:23:06Z
@宝隔,一闪一闪亮晶晶,0,2025-03-18T09:05:18Z
@ヒロキン-d5t,すごい,0,2025-03-18T05:14:28Z
@ASMRKID27,twinkle twinkle little star,0,2025-03-18T01:52:56Z
@HahaNoComment,Dont know why it sounded like the Corn intro at the start lmaoo,2,2025-03-18T00:16:35Z
@LucianaAbigailGimenez-g6q,Is it me or did I understand when the ball hit the pots I understood that the melody said little star where are you?,0,2025-03-17T22:47:22Z
@jacielmoraleshernandez5237,Estrellita donde estas,0,2025-03-17T22:02:41Z
@aboamr7079,ABSDEFG,0,2025-03-17T20:07:49Z
@TuấnPhương899,A B C song 😂,0,2025-03-17T19:59:41Z
@xahidhasan6090,The guy in the greendress is working really hard 😂😂😂,0,2025-03-17T19:27:44Z
