Author,Comment,LikeCount,PublishedAt
@Jaxm144,Bro really said gimme that thang😂,0,2025-03-21T02:32:08Z
@rezlaso2742,The baby got that sugar rushh 😂😂,0,2025-03-21T02:18:07Z
@butterflysvideos,The life of sugar,0,2025-03-21T02:09:12Z
@gravitygabri3l,Exactly what the food companies want and that&#39;s for your kids to be addicted to processed sugar. Gut only recognizes natural foods from earth and not from a lab. Want sugar? EAT WHOLE FRUITS.,0,2025-03-21T01:46:22Z
@Lilly-e9s,☻,0,2025-03-21T01:20:33Z
@SpaceCadet2212,"As adorable as this it, it truly showcases the power sugar has",0,2025-03-21T00:57:22Z
@aanaMingione,He said <br><br>I NEED IT NOW,0,2025-03-20T20:07:37Z
@kabeerlatane9963,Baby yoda,0,2025-03-20T19:28:40Z
@xxjonasx100,"I don&#39;t know what&#39;s funnier, the baby fighting over the lollipop or the comments. 😂😂",1,2025-03-20T19:03:00Z
@AliciaTrejos-g1t,😂😂😂😂❤,1,2025-03-20T18:50:55Z
@buffyme2477,😂😂😂😂😂😂😂😂😂😂😂😂😂,2,2025-03-20T16:14:51Z
@gaetanemcgraw5567,Sugar is additive.,0,2025-03-20T12:25:37Z
@dagofrens2926,LevelUP~！,0,2025-03-20T11:10:11Z
@ryletik4565,Bro this ice cream is has testosterone in it💀🙏,0,2025-03-20T10:20:19Z
@rejoicexorse,"Only if he knew it would be that great, he wouldn&#39;t have let go of the popsicle after trying it😭🫠",0,2025-03-20T09:29:58Z
@lalaninosa,Bro that ice pop touch bros soul fr😭,0,2025-03-20T08:23:18Z
@ayukmartha2549,Don&#39;t be shy have some more,0,2025-03-20T08:21:51Z
@David-q4r2j,Ayee i didn&#39;t say i was done😭🤣,1,2025-03-20T05:23:20Z
@AngelFrancisc-d5z,Bro is carzy for ice cream 😂,0,2025-03-20T05:18:11Z
@MmmMan-y8l,ITS THE YODA GRAB😂😂,0,2025-03-20T05:08:42Z
@GodThoughtsTV,"Luckily it didn’t fall lol, he definitely didn’t mind ruining the experience for the both of them lol",0,2025-03-20T02:48:22Z
@clipax9409,&quot;GIMME THAT SHI-&quot; 😂,0,2025-03-19T22:56:03Z
@babygabe071911,the white his eyes lit up😂😂😂😂😂😂😂😂,0,2025-03-19T20:36:29Z
@thelittleal1212,Ranked up to Lv 2:<br>-new item Unlocked<br>-taste buds Ascension,1,2025-03-19T18:49:04Z
@Guh_race,Bro&#39;s like: gimme that stuff 😂😂,1,2025-03-19T17:39:44Z
@manojbaskaran2853,Power of sugar 😅,0,2025-03-19T15:46:56Z
@craigwilson2976,OMG this is so beautiful,0,2025-03-19T12:54:29Z
@PatrickOkon-s4q,That’s a comrade there,0,2025-03-19T12:05:09Z
@JasperLee-rf1le,Lil bro like &quot; GIMME THAT SHIT,0,2025-03-19T11:27:07Z
@donnyadlawan8666,Zhrug😂🤣,0,2025-03-19T09:10:30Z
@donnyadlawan8666,😂🤣😂🤣😂🤣😂🤣,1,2025-03-19T09:10:12Z
@happy-is4wh,Fight 😂🥊🥊🥊,0,2025-03-19T08:27:41Z
@MgoolDi,There&#39;s more than a milk ...,2,2025-03-19T07:46:15Z
@Anonymousanime47,Goku after seeing food,0,2025-03-19T07:08:02Z
@lynnwilkinson2430,"So, do you think he likes it??? 😅😂❤",0,2025-03-19T06:39:12Z
@merrida-o2i,katniss when she realized the bread gale had was real and not plastic:,0,2025-03-19T06:23:03Z
@HoneyLove40,So cute 🥰 😂,1,2025-03-19T05:41:25Z
@UCANTSEEME5,Baby: GIMME IT NOW<br>DAD: Laughing Aa hell nah,0,2025-03-19T05:17:00Z
@mariamdjama2698,Baby was ‘ let me see that again ‘ 😂😂😂😂,0,2025-03-19T04:49:40Z
@fsavant,That moment of processing 🥰,0,2025-03-19T00:43:58Z
@OliverTBarclay3rd,He was like: &quot; Daddy im hungry! Where&#39;s my milk?! And what is <b>That thing?!</b> Don&#39;t you dare- ..mmm!! That&#39;s pretty good. Gimme dat!! You won&#39;t need it! Besides im helping you keep your good health!!!&quot;,0,2025-03-18T23:15:17Z
@h4m0udy,&quot;Ey bring dat back &quot;,0,2025-03-18T19:54:46Z
@kth69696,GIVE IT TO HIM 😤😤,0,2025-03-18T19:42:03Z
@JustLau_.,"omg, the way he raised his eyebrows LOL",0,2025-03-18T18:44:53Z
@jamesmartin9401,"&quot;There was a great revelation, and the assembled host did rally mightily to claim the treasure that was so revealed.&quot;",0,2025-03-18T15:57:34Z
@TrevorC.Productions-jo2lr,The first thing humans develop a taste for is sugar.,0,2025-03-18T14:29:20Z
@tasneemhussainneha6170,&quot;Now give me that shit&quot;,0,2025-03-18T14:16:44Z
@Muhammadaayan455,The baby&#39;s like:hmm  interesting 🧐 huh 😍 give me give me that,0,2025-03-18T14:09:31Z
@dhiyaneshwarVlogger,What&#39;s that 🤔,0,2025-03-18T13:11:54Z
@GODOHMAZI-O,:)),0,2025-03-18T11:33:14Z
