Author,Comment,LikeCount,PublishedAt
@BreeMcLaughlin-o5s,Id trip over my own feet and fall straight on my face I&#39;m a dumba$$,0,2025-03-21T02:43:38Z
@PedroCarrascosa-e2e,Es el lobo de dead rieles 😂,0,2025-03-21T00:50:21Z
@JoMe-z3n,Bro went from Mexican to white? 😂,0,2025-03-20T19:44:09Z
@RamonPolla,Topo,0,2025-03-20T10:18:57Z
@DivineMboungou-s9n,Wow trop fort,0,2025-03-20T08:21:45Z
@ayaami1279,🤬🤬🤬🤢🤢🤢🤢🤢🤢🤬🤬🤬,0,2025-03-20T08:20:12Z
@JoseHernandezGonzales-l1h,😂,0,2025-03-20T06:56:29Z
@gritty160,Douch,0,2025-03-20T00:25:40Z
@Darkslide2AR-FE,ever since I seen Salt Papi do this everyone seems to do it now.,0,2025-03-19T22:02:53Z
@HuntRider-t7o,Wtf did I see😐😑😐,0,2025-03-19T20:25:44Z
@KenmarvinRuiz,Salt papi is still the best in this.,0,2025-03-19T15:01:49Z
@ghostofuchiha001,johny bravo,0,2025-03-19T11:30:44Z
@alexanderquintero727,Así corre el poli de lluvia de hamburguesas jajajaja,0,2025-03-19T06:24:34Z
@Esmeralda-e1o4p,Pov: roblox with 1 FPS,0,2025-03-19T00:09:44Z
@Nanorte,Revelaram o segredo do mestre André 😂😂,0,2025-03-18T18:23:08Z
@TGG_STARR,FLENT LOCK’ WOOD,0,2025-03-18T17:31:52Z
@loricole1880,Why do I look at this guy and think of that part in A Christmas Story when Randy goes “I can’t put my arms down!”? 😂,0,2025-03-18T17:28:30Z
@azharkarimbadrutamam145,"Try to fly bro, believe yourself. <a href=""http://www.youtube.com/results?search_query=%23yolo"">#yolo</a>",1,2025-03-18T17:06:12Z
@derekcamp8270,Cringe,0,2025-03-18T13:45:40Z
@asieresteban723,Bro had airbag inside him😭😭🙏,0,2025-03-18T07:15:02Z
@MarshaMota,bro that crazy,0,2025-03-17T22:23:56Z
@ugodeclanuzor5821,"i wouldn&#39;t have exposed this, you could still milk it for a while.",0,2025-03-17T21:44:11Z
@yanaderbina2552,"Фигасе, человек-кобра)))",0,2025-03-17T18:15:46Z
@NabilZoori,999999999999999999999999999999-aura,0,2025-03-17T17:03:53Z
@manfredbiersack3767,Das macht er gut😊,0,2025-03-17T14:34:45Z
@KARLjrYAKZGOON,Dude looks like a video game!! Props,0,2025-03-17T11:29:05Z
@DaneloeDrakeford-m7g,Bro he is buff,0,2025-03-17T04:34:42Z
@joshmcdonough4717,Bros got a built-in wingsuit.,0,2025-03-16T23:10:54Z
@RafaelSantana-m8e,É do posto Ipiranga?,0,2025-03-16T21:27:55Z
@JazzLionsMedia,"I&#39;ve heard of the <i>&quot;moon walk&quot;...</i>   But what is this, some sort of <b><i>&quot;goon walk&quot;?!?</i></b>  hahahaha.  Funny tho.",0,2025-03-16T20:31:41Z
@Shxrky_TRYHARD,He is Actully running guys cause u can see a red guy looking back at him but when is showed him “exposing himself” the red guy was gone,0,2025-03-16T19:37:27Z
@MDRAFI-fe4sg,bro trick us 😂😂😂😂,0,2025-03-16T15:38:39Z
@BoituBoitumelo-zp9gz,Cobra in human form😂😂😂😂,0,2025-03-16T14:57:21Z
@jermdoe123,The fact that he can turn his  lat spread on and off like that.  Well done sir well done,0,2025-03-16T13:12:18Z
@ronnielbanhao9603,👍,0,2025-03-16T11:52:08Z
@michaelbergmark3549,Getting old,0,2025-03-16T07:07:40Z
@digicustoms7699,Clown?!,0,2025-03-16T02:32:22Z
@zhmk82,Nobody even looks at you😂😂😂,0,2025-03-16T01:14:09Z
@Bread_dont_eat,Anyone who saying 14 and younger ahouldnt be here ima be real like yall in 2nd -3rd grade,0,2025-03-15T22:37:17Z
@hitt9480,Das ist schon eckelhaft und unangenehm zu sehen,0,2025-03-15T20:56:18Z
@MateusMedeiros-c7m,THE CREW MORTORFEST 😂😂😂😂,0,2025-03-15T20:08:41Z
@АртурИбрагимов-п4и,Шмаль башню плавит тихонько протикает😅😅😅,0,2025-03-15T18:57:03Z
@Tushe666,Больше не умеет нихрена😂,0,2025-03-15T15:22:29Z
@MOSA_TAFA,Know first who you are talking to 👑.    نحن العرب_We Arabs,0,2025-03-15T15:16:26Z
@KirstenGlasz,wtf is he doing💀,0,2025-03-15T14:50:01Z
@NotInterestingFacts-04,bro scared of motion❌<br>motions scared of bro✅,0,2025-03-15T14:36:36Z
@TheDanteBoots,if bro flapped any harder he&#39;d take flight.,1,2025-03-15T13:49:41Z
@maksmaks8995,Індюк,0,2025-03-15T12:12:24Z
@geditrucking5021,HI,0,2025-03-15T11:00:03Z
@NATURALGAMING07,Oh no bro,1,2025-03-15T09:05:33Z
