Author,Comment,LikeCount,PublishedAt
@effectsroom,Hey! Guys It&#39;s really feel good to see that you all guys love this video so do you wants to see more like this ?,2111,2023-02-22T03:22:05Z
@SwalihathFathima,We want more .......😊,1,2025-02-26T02:15:27Z
@Malikaashraf-i7i,frictionless,0,2025-01-28T13:52:46Z
@mmgaming2649,That blue ball is the F*<b>****</b> imposter🤨🤨😶‍🌫️,0,2025-01-26T13:12:05Z
@Irshad46-jr4cq,I feel like a rotary piston,0,2025-01-22T16:15:31Z
@priyanshuverma8100,And the gravity 🤕🤕,0,2025-01-18T07:56:31Z
@DazzlingDuo-1816,❤❤❤❤,0,2025-01-16T12:38:34Z
@smitharay643,"I&#39;m studying SHM right now, and this video is a boon.",0,2025-01-08T11:02:37Z
@mokka_commentry,Already watched this. Left a like 1st time..,0,2025-01-07T14:21:46Z
@dipalibadgujar5610,Wowwww😊,0,2024-12-29T06:56:41Z
@Sangeetha67-g3w,Thanks,0,2024-12-06T13:36:08Z
@RajeshreeGadhavi-c6l,Amazing!!,1,2024-12-06T13:21:56Z
@asanimator1,"Wow good job,",0,2024-12-04T16:22:58Z
@12asanthoshd12,Phase difference bw two balls must be π/2 to get circular motion,0,2024-12-01T06:07:55Z
@MaazSiddiqui-u6u,👇🏻who also noticed the blue ball,0,2024-11-30T18:23:36Z
@harshithaharshi9031,Periodic motion 😮,0,2024-11-30T15:17:25Z
@jowshya9622,Suggested by my physics mam🙂,0,2024-11-23T14:29:11Z
@shilpasethi7913,did not understand but very satisfying,0,2024-11-22T07:08:37Z
@atom1243,This is not a SHM as acceleration isn&#39;t proportional and opposite to the equilibrium position (centre). Get yo&#39; facts right jack!!!,1,2024-11-18T05:41:40Z
@DURAIMURUGANDuraimurugan-k2b,Put music in all video,0,2024-11-08T14:05:31Z
@octane5253,He run out of pink marbles,0,2024-11-08T03:59:08Z
@Rajesh-t6p4r,Volume button press maat kar bhai 🤡,1,2024-11-06T11:02:53Z
@MotivationalSpeaker-ro6ko,All motion is shm it like  water and jug,0,2024-11-05T07:54:29Z
@ImDrunkAsHell,at the end it looks like a break dance ride,0,2024-10-30T18:24:11Z
@Multi_song9999,Kya se kya ho gya dekhta dekhta 😅😅,0,2024-10-28T17:05:28Z
@HarshKumar-mx4ly,"Just beautiful , beauty of physics .",0,2024-10-20T06:21:12Z
@pReEtPaNdAy,Is it only me who is rising up the volume,1,2024-10-14T18:18:01Z
@qasirhafeez6056,I think this is free oscillation?,0,2024-10-10T20:12:47Z
@WaziraShah,Now i  get why circular motion is a periodic motion. Truely a visual can teach u way more than a hundered words.,0,2024-10-07T14:56:29Z
@imtiazahmed-gx5wz,Explain plz,0,2024-09-28T16:18:05Z
@PrayagJ-nv9xy,Ager yeah balls takra hlgayi toh,0,2024-09-22T14:16:48Z
@thegoof2763,THE BLUE ONE RAAAAGKOGSBSJLBSJBHSVJHAGT D<br>AHKV A,0,2024-09-22T09:05:26Z
@ZEUSFF30,Yes,0,2024-09-19T15:58:22Z
@vincenzobonadonna4556,"I make mandalas, I always try to articulate the balance of circles, this visual represents partt of what I try to convey.",0,2024-09-13T10:53:16Z
@Ap.0101,Feels like a circle to me,0,2024-09-10T14:06:05Z
@shadowbunnyboi,the silence is loud,0,2024-09-09T17:27:00Z
@arnavthescientist1149,SHM is UCM viewed from vertical,0,2024-09-01T16:35:00Z
@maithili98-q8r,Why bud this is giving me anxiety 😭,0,2024-08-31T01:59:01Z
@EdoWit-th5gn,UE5?,0,2024-08-30T10:59:23Z
@KobianoRoll,More balls more balls,0,2024-08-27T01:41:03Z
@sochan1379,my poor adhd is viewing this,0,2024-08-23T02:03:09Z
@Stronger27M,why kill yourself when you have this,0,2024-08-23T00:27:12Z
@dipnarayansahu0525,So smooth videos.<br>I like it.,1,2024-08-20T18:16:29Z
@StinkySeaGoat,The flowers in Chernobyl:,1,2024-08-08T20:12:10Z
@darthskywalker2467,This would be way better with sound,0,2024-08-06T21:59:18Z
@O-GUARDIÃO-DA-LUZ-1,"<a href=""https://www.youtube.com/watch?v=yQ2YZQhvc2c&amp;t=207"">3:27</a> poh pior que isso é bem algo que o nick falaria na zueira kkkkkkkkkkkkkk",0,2024-08-06T14:57:44Z
@Pikachu.9502,the blue ball,0,2024-08-03T05:26:28Z
@Thundertsukiofficial,"Hmm, go down the",0,2024-08-03T02:50:18Z
@МарияФомина-ф3р,"Чаша Чаша Чаша в омске на 2 в омске 3 в конце июля в августе на работу и все будет хорошо и все 3 на работе с тобой согласен им у меня есть возможность не быть в курсе и я не знаю что я не хочу в этот раз с в этой ситуации ходить и на работу работу 4 376,8 и не 244 на 52 42 и не не надо хватает денег на 856455 на телефоне в в и 86533йц1213ш89х97867цйц2у346 86533йц1213ш89х97867цйц2у346 86533йц1213ш79х9786721ц2у346 86533йц1213ш79х9786721ц2у346 на меня меня телефоне меня телефоне",0,2024-08-02T06:38:53Z
@janecatungal5391,12 ball,0,2024-08-02T04:12:53Z
