Author,Comment,LikeCount,PublishedAt
@mommyGlove,kk,0,2025-03-20T01:58:53Z
@cumunist2120,Wooo epilepsy test,0,2025-03-19T05:59:34Z
@dejanaera2276,HELICOPTER,0,2025-03-15T23:54:35Z
@СафияИскендерова-ш8ж,Как у тебя так получилось🤟👍✌️,0,2025-03-09T05:49:59Z
@Epiccheeseboi,GYRO GYRO GYRO ZEPPELIN AAAAAAAAA,0,2025-03-06T01:06:02Z
@MasonReath,"Arigato,gyro",0,2025-02-28T01:47:08Z
@Moonlight-q8i3v,That light said “ I’m in Spain but without the a”,0,2025-02-18T02:32:28Z
@ASTER-LIGHTBRUSH,what’s the song,0,2025-02-17T04:31:20Z
@ayufmaa,boss music in roblox be like 💀,0,2025-02-11T12:20:30Z
@minosprime-b1f,GYRO GYRO GYRO ZEPPELIIIII,0,2025-02-11T01:24:14Z
@The_Voidness,this sounds like rotten girl now this aged so poorly,0,2025-02-10T00:04:55Z
@firepuptheslimepup-r5m,The thing: ⚡<br>The song: I WILL NEVER SIN AGA-,0,2025-02-09T14:36:20Z
@reilaynesantosmoraes4911,🎉crvhr,0,2025-02-09T13:50:17Z
@PFM_Glitcher,middle of the video: <b>bloodbath starts playing</b>,1,2025-02-05T06:26:17Z
@abemoore3121,I&#39;m pretty confident,0,2025-02-04T04:07:11Z
@SejalSah-m4x,O my god  bhia😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0,2025-02-03T09:21:43Z
@liliadanosos9430,Storm Beethoven ⛈🌩⚡,0,2025-02-03T00:11:20Z
@charliehall7433,Wow os amazing 😂😂😂❤❤❤❤❤🎉🎉🎉😊😊😊😊😮😮😮😅😅,0,2025-02-02T16:58:16Z
@dev1l1034,What the song?,0,2025-02-02T10:21:28Z
@sprunkijc2284,Chidisimooooooooooo,0,2025-02-02T06:30:30Z
@archmountwalker,Wow 🤩🤩🤩🤩🤩🤩🤩🤩🤩,0,2025-02-02T06:02:15Z
@nicolkakerkova6037,1💜🤍,0,2025-02-01T22:06:44Z
@DeontayWalker-t8x,It was no instrument it was just some type of thing that pumps electric and he cut the music button clit,0,2025-02-01T15:45:04Z
@Cojetidotoho-y3x,Pls do fpe song plss,0,2025-02-01T10:51:19Z
@ПУРПУЛЕЗКА,bro maded phonk💀💀,0,2025-01-31T18:25:55Z
@ZuzaWcisło,Wow,0,2025-01-31T11:26:23Z
@janicegoulart2761,Quanto que custa isso que eu compro de qualquer jeito,0,2025-01-31T01:52:28Z
@Sprunks2763,eurodance fans:,0,2025-01-28T00:33:02Z
@LeoninoRosal,G,0,2025-01-23T12:42:13Z
@tugbaelci4064,😢,0,2025-01-22T14:02:13Z
@NeetuVishnoi-e2e,&quot;Meri pen to tu le gyi &quot; was epic 😂😂😂😂,1,2025-01-22T09:57:43Z
@ToyBinsGamerBG,Beethoven virus sounds good,0,2025-01-22T05:44:37Z
@mariadocarmooliveiradoss-hb5ik,Mano gostei muito  entt  e em geasado,0,2025-01-21T18:24:08Z
@EmersonnunesAlves,😮🙏🏿💥💥💥💥💥💥,0,2025-01-14T18:32:50Z
@SIg-j6m,This should be a phonk song wow😮,0,2025-01-13T21:40:52Z
@abdelilahelhakkaoui7904,Un,0,2025-01-13T18:49:00Z
@ofeliapopoca,Where can I buy this? My 3 yr old is obsessed with it. What is it called?,0,2025-01-11T20:39:15Z
@JoseSifontes-b7b,😢😢😢😢😢😢no❤😮,1,2025-01-11T20:10:25Z
@lawmteagg,Do it without the spinning thing,0,2025-01-11T05:33:23Z
@MarisaNunes-j9g,😭😭😭😭😢,0,2025-01-11T04:42:56Z
@АндріанЧорний-ю1ю,😢😊,0,2025-01-10T17:12:13Z
@S1LLY_S0N1C_LOV3R1,Beethoven,0,2025-01-09T16:47:55Z
@HenryCassio,Beethoven vírus hits hard😭😭😭,0,2025-01-07T19:44:59Z
@jeremyhaymore8961,Does anyone realize that’s Cappy from Friday night Funkin?,0,2025-01-07T03:15:44Z
@domoniquemckinney8007,When you try to defeat God,0,2025-01-05T20:46:33Z
@hotelanubhab758,It sounds like a boss battle music,0,2025-01-05T13:25:01Z
@austinefienamokwu533,Yyyyu😂😂😂🚁🚁🚁🚁,0,2025-01-05T09:49:54Z
@KhairanAkbar-u5p,😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱,0,2025-01-04T10:15:50Z
@smolbeanroblox,hey music fbi? Copyright this,0,2025-01-03T09:36:08Z
@ゴジラ_特異点,Todler with a fork be like:,0,2025-01-03T04:30:13Z
