Author,Comment,LikeCount,PublishedAt
@lespacedunmatin,"It’s not how you start, it’s how you rebounce?",0,2025-01-25T22:19:27Z
@tims5268,Whites win again!!!,0,2025-01-24T13:55:26Z
@timharrod,"It doesn&#39;t matter what you eat for breakfast... the important thing is to eat eggs over easy, hash browns, wheat toast and coffee.",0,2025-01-24T11:36:10Z
@MikahTheMan,Yeah let’s try this hypothesis again but this time with Monopoly except someone sit out of the game for 50 rounds then have them jump in and see how far they get.,0,2025-01-24T01:04:34Z
@MrArbaras,"To me, this really is a great analogy for balls rolling down a slope filled with obstacles, terminating in a single-file line.",0,2025-01-23T22:06:33Z
@MrH2S,"Great video, and yeah it´s all about a bit of luck, being at the right time at the right place, SUCCESS is also about persistence and Being so Motivated that you wake up with a big SMILE every day :)",0,2025-01-23T19:52:32Z
@pioj,"I am the banana at the start of the race. Yes, I said banana.",0,2025-01-23T13:45:43Z
@RegisLAraujo,"It doesn&#39;t matter where you start, because, if you&#39;re white, you&#39;ll probably win...",0,2025-01-22T13:56:46Z
@az6970,What song is this?,0,2025-01-22T09:48:09Z
@phillipi6,não importar se a gente vai primeiro ou segundo o importante é aonde a gente encaixa as bolas,0,2025-01-19T03:09:31Z
@sahtimestari,I started smoking today.,0,2025-01-18T18:10:01Z
@iammichaeldavis,It&#39;s also more or less a tie at the end: we all go in the grave. Might as well enjoy the time you have while you have it,0,2025-01-18T15:32:13Z
@kari3670,"The REAL message is: no matter when you start, where you start, how large and heavy you are, how lucky you are and what colour you have: we all end up in the same shithole.",0,2025-01-17T05:50:15Z
@freedomjunkie7843,"I don&#39;t care about starting anything, I just want to know where I can get one of these!",0,2025-01-13T09:11:47Z
@enigma1863,"You’re born last, you die first😅",0,2025-01-13T05:23:19Z
@hiddenscorpiusXI,I keep hitting every goddamn peg,0,2025-01-12T14:47:26Z
@jamiedorsey4167,Try to compare your self less with your peers and more with your past self.,0,2025-01-12T13:55:36Z
@jamiedorsey4167,"A lot of life isn&#39;t a zero sum game where only a few can win.<br>We can&#39;t all be Bill Gates, but we all can improve on the starting hand we were dealt. Don&#39;t measure your success against others, someone will always be doing better. Measure it against your past self.<br>Luck matters, but is out of our control. The choices and efforts we make put us in positions to take advantage of whatever luck may come our way. There&#39;s a lot of luck in poker but there&#39;s a reason the same people win more than others. They avoid the situations with bad probabilities and maximize the situations with good probabilities.<br>As Wayne Gretzky said, &quot;You miss %100 of the shots you don&#39;t take.&quot;",0,2025-01-12T13:53:54Z
@therealking6202,"It doesn&#39;t matter if you start from a standstill, only if someone rolls you really fast to catch up... Christ this is pathetic.",0,2025-01-12T04:48:38Z
@faek28_zero.028,"Oh, I&#39;ve understood, u just need to don&#39;t have obstacles on your way",0,2025-01-11T22:14:41Z
@VelhaGuardaTricolor,"If you were born white on a rich country and from rich parents your probability of having a decent life is thousands of times greater than if you were born black in a 3rd world country from very poor parents.   So despite the deep philosophy and knowledge of the 3 balls experiment here might lead you to believe, where you start in our extremely unfair and unjust society matter a awful lot.",1,2025-01-08T22:36:34Z
@JojoCat2008,"Most importantly, it&#39;s about where you would end up.<br><br><br><br>Sometimes, Fate can be a bitch. Other times, you can be lucky.",0,2025-01-08T03:49:02Z
@OneAndOnlyZekePolaris,They all start in different speeds too. So yes it does matter.,0,2025-01-08T00:08:40Z
@pichanao1069,"&quot;it doesnt matter where you start<br>the most important thing is to not be black&quot;",0,2025-01-07T15:25:46Z
@KonsolKombat,"How cute other balls pushes the white one to win, i know sounds weird but maybe even that balls knows becoming 1st not important, only important thing is BEING TOGETHER ALWAYS!",0,2025-01-06T14:31:43Z
@coolbeans7096,Ahh so it matters WHERE i start and how lucky i get! Noted.,1,2025-01-06T06:19:30Z
@griffca4814,Why is it made of chocolate?,0,2025-01-06T04:20:45Z
@speicaldark,I think a lot of the comments missed the point.  It&#39;s not about which ball arrives first.  It&#39;s about all three of them reaching the end.  The only way to reach the end is to start now.,0,2025-01-03T17:01:22Z
@VKURDR,"Everybody deals with obstacles differently, some bounce back better than others, and some will struggle with one thing for a bit longer than another. I think the most important thing is not whos first, but that we all make it to the end.",0,2025-01-03T00:39:10Z
@GRAHAMAUS,"&quot;now&quot; is a possible answer to &quot;when&quot;, so you say it doesn&#39;t matter when you start, they you say it does. Dumb.",0,2025-01-02T06:01:13Z
@leodegas7731,"The white ball is bigger so probably heavier.  Like in life, any one can be a winner, but if you start out with more favorable genetics or born into a better circumstance or country, your likelihood for winning in life goes higher.  <br><br>Life is skill, being ready, opportunity and luck. Most of all attitude. Imho",0,2025-01-02T03:05:34Z
@alhar3402,Bicara tentang kehidupan,0,2024-12-29T15:00:08Z
