Author,Comment,LikeCount,PublishedAt
,"🍄‍🟫 ‼️ The mushroom I collected in the video, Caesar mushroom, is an edible mushroom that I have information about. Please do not consume mushrooms that you do not have information about for your health. ‼️<br><br>🍄‍🟫‼️Videoda topladığım mantar, Sezar mantarı, hakkında bilgi sahibi olduğum yenilebilir bir mantardır. Lütfen sağlığınız için bilgi sahibi olmadığınız mantarları yemeyiniz. ‼️<br><br>La seta que recogí en el vídeo, la seta César, es una seta comestible de la que tengo información. Por favor, no comas setas de las que no tengas información para tu salud.<br><br>O cogumelo que colhi no vídeo, o cogumelo Caesar, é um cogumelo comestível sobre o qual tenho informações. Por favor, não coma cogumelos sobre os quais não tenha informações para sua saúde.<br><br>Гриб, который я собрал в видео, цезарский гриб, - это съедобный гриб, о котором у меня есть информация. Пожалуйста, не ешьте грибы, о которых у вас нет информации, для вашего здоровья.<br><br>ビデオで私が採ったキノコ、シーザーマッシュルームは、私が情報を持っている食用キノコです。 くれぐれも情報のないキノコを健康のために食べないように。<br><br>영상에서 채취한 버섯인 시저버섯은 제가 정보를 가지고 있는 식용버섯입니다. 건강을 위해 모르는 버섯은 절대 먹지 마세요.<br><br>Il fungo che ho raccolto nel video, il fungo Caesar, è un fungo commestibile di cui ho informazioni. Vi prego di non mangiare funghi che non conoscete per la vostra salute.",4401,2024-10-19T09:42:40Z
@trawma.hm37,Hello! Cool sound? )What microphone do you use? Thanks?,0,2025-03-20T09:23:49Z
@mariapardo4860,I ADORE YOUR VIDEOS !!!!❤,0,2025-03-20T02:13:41Z
@11a-g7x,baranvtekler,1,2025-03-19T10:51:32Z
@MeteZapir,"Adam yemekleri dağda yapıyor,mantarı dağdan topluyor.Bizim evde mantar hazır bunu yapamıyoruz.BU NASIL İŞ BÖYLE",0,2025-03-19T05:36:47Z
@maryalice5,Oh we trippin 🎉🎉🎉🎉😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉,0,2025-03-18T22:52:20Z
@Zam_I_Am,Im getting hungry after this,0,2025-03-18T16:36:24Z
@Beanssss101,That looks delicious. Only like if you agree<br>👇,0,2025-03-18T14:12:26Z
@umudayolculuk7233,Oruç lu olanlara bir dakikalık saygı duruşu,1,2025-03-18T11:58:01Z
@MariamVheta,😅 No Women No Cry 😊,0,2025-03-17T07:03:19Z
@9ABabapirolar-n7h,abi oruç kafa canım çekti,0,2025-03-14T10:23:34Z
@RailQasımlı-l7i,Abi çok mütiş ötesi videoların var artık abune oldum😊😊😊❤❤❤,0,2025-03-12T16:51:30Z
@yasarkenolenbiri1702,Bi evlenelim,0,2025-03-12T15:35:52Z
@İclalSu-p8t,Abi adam hiç erinmiyo ya pesss 😂😂,0,2025-03-12T10:42:51Z
@DesaRadu,Noo the skin is the Best part 😭,0,2025-03-11T22:14:41Z
@nikkifrey9573,Youre an awesome cook.,0,2025-03-10T06:33:17Z
@gurandosyugagameroom,happy food,0,2025-03-09T07:10:10Z
@levent.1978,👍🏽☀️,0,2025-03-08T12:45:41Z
@TuralSeyidov-e4d,Ağac göbələyi yer😅😅😂,0,2025-03-06T10:48:31Z
@alp677,Şu ana kadar en iyi yemek,0,2025-03-05T15:17:06Z
@HanadyAbdlki,😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋,0,2025-03-05T12:39:25Z
@Gamer-r7e3z,Bu adam dünyanın en iyi chef bile yaklasamaz çünki dünyanın en iyi şefi o,0,2025-03-05T10:05:30Z
@jennifertomlinson7726,Tell us more! Do you go on adventures alone?,0,2025-03-05T04:13:00Z
@alaamal-homsh,شكلو عربي❤,0,2025-03-04T15:22:13Z
@MC_CR7_DT,Ramazanda karşıma çıkan videolar...,0,2025-03-02T20:34:29Z
@yeniyazar15,Abi karadenizin neresindensin,0,2025-03-01T14:21:21Z
@Freedome-h9z,🤢,0,2025-03-01T14:09:16Z
@SyReX123-tg6pn,Abi ellerine sağlık Allah bizede nasip etsin inşAllah,0,2025-03-01T13:11:20Z
@UmaMahat-k9n,Fair ingstantint,0,2025-03-01T04:01:06Z
@FlorimSabani,Para jok.sucuk cok,0,2025-02-26T20:08:40Z
@allelbenziada6599,J&#39;aime pas les voir avec calquent d&#39;outre moi je touche pas les piedis,0,2025-02-23T21:35:59Z
@allelbenziada6599,🥒🥒🥒👈,0,2025-02-23T21:35:21Z
@sniper_awm7,🍄💀☠️,0,2025-02-23T14:33:14Z
@PradeepKumar-iq8ug,y kay hai,0,2025-02-23T08:38:07Z
@saraswatinayak115,🍕🍕🍕🍕🍕🍕🍄🍄,0,2025-02-22T15:33:50Z
@Jay__vc,Where did he find that stuff? He did didn’t show that?,0,2025-02-21T22:28:55Z
@roxanastoica9578,😮😮😍😍😍🫡🫡🫡😋,0,2025-02-21T19:49:35Z
@RukshaniMadushika-yi6zm,🍕🍟️🍔🌭🍕🍟️🍔🌮🥙🌯,0,2025-02-19T13:37:37Z
@AhenKlc-cg5xf,"Abi hem yetenekli, hem eli lezzetli Bir de kaslı ufffff!🤌🏻🤌🏻",0,2025-02-18T09:19:55Z
@GHOSTrage21,Canim çekdi,0,2025-02-16T23:25:07Z
@ChrisChristopher-v7x,👌,0,2025-02-16T13:21:20Z
@MommadadLokmuan,Hi❤❤❤❤,0,2025-02-16T01:59:20Z
@ibiskurt12,Mantarı nerede buldun,0,2025-02-14T23:16:02Z
@snip_clips,❤❤,0,2025-02-14T17:35:56Z
@STRANGEMINDS-uw5ir,You my good sir is my heroe.,0,2025-02-13T21:08:56Z
@hamzastars177,abi inşallah mantar zehirli değildir,0,2025-02-13T16:47:26Z
@MukeshRam-u3l,Iske upar condom lagaya hay😉😉😉,0,2025-02-13T13:29:26Z
@Bdeep1,🎉he lives a healthy &amp; Stress free lifestyle 🎉🎉,0,2025-02-12T19:12:11Z
@nour_syr_t7,The sound of the river is a psychological comfort 🌊⛰️🩵,0,2025-02-12T14:09:52Z
@arianlorenz2087,wich place?,0,2025-02-12T08:48:35Z
