Author,Comment,LikeCount,PublishedAt
@Itzkitchka,those who say the sheep and the Shepard couldn&#39;t see it from their direction are sheep themselves,1,2025-02-28T20:06:22Z
@Adonis.God.Willin,❤😮,0,2025-02-23T18:33:27Z
@Thatgirl1976,They wouldn’t see the illusion from the way they’re coming,0,2025-02-09T21:57:28Z
@alessandroricci7294,"Only they were on the wrong side of the paint. The illusion will work not &quot;even from our point of view&quot;, but only from it.",0,2025-02-03T22:22:20Z
@petelazzaro7656,Why are all the sheep dressed up as goats?,1,2025-01-31T01:33:31Z
@tom0968,"It &#39;ONLY&#39; works from this (the camera&#39;s) point of view... there is no way the sheep left the road because they thought it ended with a drop. The drawing was great and the illusion very convincing, but only, (as with all other illusions of this type) from one particular angle. Looking at the drawing on the road from the Sheep&#39;s point of view doesn&#39;t even come close to resembling a drop. So, either you&#39;re trying to fool us or you have been fooled by the maker(s) of this video. But I find the entire illusion well done and entertaining..✌🏽",0,2025-01-29T08:15:11Z
@judithshipstad6920,"The sheep don&#39;t even see that from their angle, so what&#39;s really going on?",0,2025-01-20T08:10:17Z
@Stop_The_Insanity,Omg!!!!! Id be tricked!!!,0,2025-01-09T17:09:45Z
@cephasrocks8516,I’m so glad to see how many people picked up on how ridiculous this is.,0,2025-01-08T14:15:51Z
@shivanthisathanandan9606,Wow sheep are scared about that art.,0,2025-01-02T16:54:03Z
@cheeseburgers82,Bullshit rhis optical illusion xan only work one sided and rhats rhe side of camera the side where ahesp are cant see it someone scared the sheep fake fake fake,0,2024-12-26T08:23:43Z
@DigitalEpisodes,wow,0,2024-11-29T03:25:42Z
@aleblanc5119,I&#39;m going to go ahead and call BS!,0,2024-11-28T18:13:23Z
@juicearth999,Fooled rhe creator of the vid,0,2024-11-22T08:25:44Z
@kwamekwarteng9899,😊😊😊😊😊😊😊😊😊😊,1,2024-11-16T13:27:55Z
@angieconstruction8327,Wow he so good at that,0,2024-11-13T02:28:12Z
@Dahbear_,This is fake since our perspective is normal for the sheep it would be a stretched out chalk draeing the guy most likely called them or thr sheep go there regularly,0,2024-11-12T01:03:17Z
@TalentUnleashed-d9l,hahahaha,0,2024-11-08T15:41:41Z
@HarryMarsee-fw9ot,Sheep?????? Since when can ANYONE confise goats with sheep?,0,2024-11-04T21:10:39Z
@Flexy_girl-uy6ji,That’s so c😮😮l,0,2024-11-01T14:28:45Z
@OktawianLeonarczyk,Fake,0,2024-10-31T19:09:25Z
@mamigeyming3451,He said f word 😮😮,0,2024-10-16T10:06:14Z
@EdgardoValentinoDOlaes,The flock are not sheep but they are all goats.,0,2024-10-06T08:54:27Z
@Nagpurkar9222,Ship brain 🧠🧠 very smart 😅😅😅😅😅😅😅😅😅😅😅 broken bridge 😅😅😅😅,0,2024-10-01T12:19:47Z
@Growguruwithavyansh,What is this 🙏 Wow🙏,0,2024-09-29T03:36:01Z
@CalebBago,WOW 😮😮😮,0,2024-09-17T07:16:20Z
@tylerfb1,"No, it wouldn’t look at all like that from their perspective",0,2024-09-16T06:35:53Z
@sdmackpictures,This is exactly what media does to humans.,0,2024-09-12T18:06:43Z
@PandaLife-lp8kn,"Like sheep we all have gone astray.  <a href=""http://www.youtube.com/results?search_query=%23woke"">#Woke</a>",0,2024-09-09T20:28:08Z
@PandaLife-lp8kn,Litteral scape GOAT!,0,2024-09-09T20:26:46Z
@StansTv-u6m,That&#39;s a Genjutsu,0,2024-09-04T11:34:29Z
@pitolove3846,&quot;ONLY SHEEP FOOLED.... Are YOU!!&quot; --US GOV&#39;T Politicians.,0,2024-08-28T23:07:50Z
@upendarbandipelly9086,👌riyaana,0,2024-08-07T11:42:44Z
@olive_and_aloe,Nobody wants to fool me because I’m a boy😊😊😊😊,0,2024-07-26T14:33:56Z
@NoAvatar-fl1sp,Dam,0,2024-07-23T10:56:56Z
@ImJackAndYouDontKnowMe,"Someone with a brain for art needs to figure out how to make an illusion like this somehow work both was. It&#39;s been done with 3D objects, so you could imagine it&#39;s doable with 2D drawings.",0,2024-07-21T16:35:32Z
@RodriguezCarlitos-hd7ti,"So, kind of like &quot;COVID.&quot;",0,2024-07-21T11:41:20Z
@SathishKumar-rx9ry,Super cute🎉🎉🎉🎉🎉🎉🎉🎉😊😊,0,2024-07-15T13:45:41Z
@PahranaAndGoomba,Erm actually the sheep went left in their perspective 🤓☝️,0,2024-07-11T15:43:46Z
@evilanteater96,What’s the purpose of such a bizarre set of random deceptions.,0,2024-07-10T23:53:31Z
@Kimian111,This is such B.S.  The sheep are goats.  The only way this looks like an illusion is where the camera is.  So many flaws in this.  The goats were not looking at his drawing.  Lying videos are pissing me off.,0,2024-07-08T14:02:18Z
@shrekssecretadmirer1065,Guys they can&#39;t see the optical illusion from where they are,0,2024-07-08T03:13:17Z
@ContemporaryLyricsClub,Dude,0,2024-06-26T23:35:46Z
@SahhamShaukathali,😮😮😊😊😊,0,2024-06-26T15:02:28Z
