Author,Comment,LikeCount,PublishedAt
@samsinger8070,She looked like she was about to murder him and kiss him with her mouth opened very very wide at the same time😂,0,2025-03-20T08:07:00Z
@sharlenehetrick6054,Just their faces at the end just saying NO WAY 😂,1,2025-03-17T16:12:44Z
@funbee378,I SCREAMED WITH YOU 🗣️🔊‼️,1,2025-03-16T03:55:45Z
@MP-hy9sh,Their reactions at the end got me dying 😮😂❤,0,2025-03-15T16:58:53Z
@D.A.Dances,It’s so good that I feel like it’s not your real😂,1,2025-03-15T00:57:48Z
@pinktaytaylover,You’re the first person I’ve ever seen such the box,0,2025-03-10T22:36:26Z
@pinktaytaylover,You’re the first person I’ve ever seen such the box,0,2025-03-10T22:36:20Z
@VeronicaGarcia-co1mm,How did she beat it,0,2025-03-10T22:24:07Z
@lifeisgelato01,Nice cut,0,2025-03-10T15:09:25Z
@harps-and-murf,The way they were so excited 🥹🩵🩵,0,2025-03-10T00:45:37Z
@Lina_Lola_Love,What is her face😂,0,2025-03-09T08:12:09Z
@pjones1192,"Your literally the first person to get it,love you guys❤️❤️❤️",0,2025-03-09T03:57:07Z
@gustavopacheco4512,It&#39;d be way cooler if they posted the entire video without cuts just to &quot;prove&quot;.,0,2025-03-08T03:09:18Z
@frogorf3784,There’s like a million cuts 😂😂😂😂,0,2025-03-07T07:52:43Z
@Bellabearcute,I literally didn’t know when did it when I see him tick-tock never🎉🎉🎉🎉🎉🎉🎉🎉,0,2025-03-06T23:28:07Z
@jessicaculp3829,Y&#39;all&#39;s joy for each other is so lovely ❤,0,2025-03-06T06:16:30Z
@raydefern,😮😮😮😮😮😮😮😮😮😮😮😮🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊,0,2025-03-05T02:21:41Z
@Sweetsparkles67,She&#39;s so pretty,0,2025-03-05T01:58:28Z
@ambam1278,Did anybody realize it was a five and six and that’s 11 but they put 10,1,2025-03-05T00:21:30Z
@sanskrittiii,literally thought that&#39;s charlie puth,0,2025-03-04T06:07:39Z
@Mars145,"They cut it for each turn, suspicious, they could’ve rolled infinite times but I hope it was all in one turn 😅",1,2025-03-03T20:33:56Z
@sarahabjia-dj2lz,oh my god😂😂😂🎉,0,2025-03-03T14:02:45Z
@yobankaortiz6901,Love the enjoyment.😊,0,2025-03-02T19:46:21Z
@nottoday9713,This is how my husband and I felt the first time one of us shut the box! Like the exact same reaction it is so beautiful to see that it is a universal feeling.,0,2025-03-02T18:01:56Z
@alijakajtazi5423,Omg 😱,0,2025-02-27T20:47:24Z
@jakewillis-y1k,"me and my family play this all the time at our cabin, the way to play is you roll a number and can shut 2 or 1 numbers, they just have to add up to the number you roll, they don’t have to be the ones you roll, so if you roll a seven with a three and four, you could put down 1 and 6",2,2025-02-27T16:25:48Z
@vasaviarvapally5439,That is such a luck.. wow!! I am impressed,0,2025-02-27T13:26:33Z
@Eric_Uthman,Fake button ↩️,0,2025-02-26T18:12:26Z
@xmsdec,What is this game call? I really wanna play it,0,2025-02-26T15:53:19Z
@AlexTang-h4g,I love the funny reactions,1,2025-02-26T14:50:04Z
@Kai_Mx,"Clearly edited. The camera cuts after every roll, which make me believe you just rolled the dice until you got the number you wanted and then spliced it together",0,2025-02-26T14:41:18Z
@KM-vz9df,"In the version I played, the rules say that when your final tiles add to less than 6, you only have to roll the one die.",0,2025-02-26T13:11:00Z
@SillySkuffy,Why do you cut the video so much just pick up the dice,0,2025-02-26T09:07:56Z
@jongarcia982,More video cuts than Biden challenging Trump to the debate,0,2025-02-26T05:38:14Z
@patrickcho9429,I can&#39;t believe she did that!,0,2025-02-26T00:29:02Z
@kevinwaldroop8081,OHHHHHHHHHH OHHHHH <br><br><br><br><br><br><br><br><br><br><br><br><br><br>Don&#39;t even put it down 😂😂😂😂😂,0,2025-02-25T22:53:11Z
@No_Name__02,She really waits for him to count for her …. wtf,0,2025-02-23T21:22:00Z
@jezaylanic6359,She looked like she wanted to hug him. That&#39;s adorable lol,2,2025-02-23T17:05:22Z
@danjacques77,Fake ... fake ... fake ... stupid reactions at the end.,1,2025-02-23T00:08:38Z
@BukurimRafuna,Play guess who next,0,2025-02-22T21:46:53Z
@SantiagoReyes-d3t,Cooooooooool,0,2025-02-22T20:58:07Z
@nokubongangcobo9224,I was literally celebrating with y’all! 🥺🙌🔥 wowowowow!,2,2025-02-22T18:36:23Z
@softballpey3231,Yesss,0,2025-02-22T02:12:26Z
@glencookson3203,Im so late lol,0,2025-02-21T16:26:49Z
@aldendomino3523,Who can&#39;t add that fast,0,2025-02-21T14:05:42Z
@user-li1yu3sy9t,mackenzie! you should definitely try out for a role in a horror movie 😂😂😂 cuz that scream is blood curdling,1,2025-02-21T08:35:02Z
@KaylaMarieQ,Too many cuts,0,2025-02-21T07:44:38Z
@Harper-u5v,Her reaction at the end,0,2025-02-20T23:05:01Z
@kirstinator,Love it!,0,2025-02-19T21:29:15Z
@MagdaMatusiak-xk8je,Good day🎉,0,2025-02-18T01:25:07Z
