Author,Comment,LikeCount,PublishedAt
@NightmareSans01,We getting kidnapped with this one,0,2024-12-01T19:40:28Z
@enzoriooos,tinha que ser br,0,2024-12-01T13:47:36Z
@kieungan1087,JOKER?,0,2024-11-30T07:29:58Z
@dizzyjapancat2018,Whata hell 💀,0,2024-11-29T21:34:10Z
@lockworx,the joker: <b>fails to bet batman</b><br>coringa (BR):,0,2024-11-29T17:59:03Z
@riyadadam215,I can’t believe it,0,2024-11-29T17:39:26Z
@DominicFoster-e1x,Are you still in the mafia bosses car?,0,2024-11-29T16:11:26Z
@Bill_CipherAndHenchmaniacs,&quot;Batmobile lost its wheel and joker ran away&quot; IT WAS TRUE,0,2024-11-29T15:06:52Z
@Tanish_The_Gamer29,Mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango mango 🫡🫵💀💀☠️☠️👍😅,0,2024-11-29T08:49:13Z
@Vivan255,real joker before GTA 6,0,2024-11-29T02:42:13Z
@yusufsyazwan72,JOKER stealing the Batmobile so batman need to chase him by his FEET . lol . good joke JOKER 😂🤣,0,2024-11-29T01:44:11Z
@SaidMohamed-g9k,bruh,0,2024-11-29T00:20:09Z
@Fzn20M,🙋🏽🤚🏼🇧🇷,0,2024-11-28T22:57:50Z
@parenaton,"Ти апаздал бетмен, я...",0,2024-11-28T22:21:47Z
@CanalRafael-b2b,Video is Brazil okay,0,2024-11-28T21:19:19Z
@1414-x2q,a,0,2024-11-28T19:02:27Z
@Pedro_Lima_YT,foi aqui no brasil,0,2024-11-28T18:25:05Z
@RizhaanCassim,You suck at edits,0,2024-11-28T17:31:08Z
@MichaelEbrahimi-re2np,joker be like this is mine,0,2024-11-28T17:05:14Z
@WDofRA,"Here&#39;s how to bake a cake<br><br><br> Ingredients<br><br>3 eggs <br>1 1/2 cups of water <br>a box of cake mix<br>1/3 cup of cooking oil <br> baking pan<br>1 mixer bowl<br>Mixer or by hand<br>cake toppings can be any kind <br>Measuring spoons and cups<br><br><br>Thx for reading this now scroll for the steps on how to bake it<br><br><br>1- Take mixing bowl open box of cake mix and pour it in the mixing bowl<br><br>2- Take the three eggs crack them and put them in the mixing bowl <br><br>3- Take 1 1/4 cups of water and put it in the mixing bowl and also pour in 1/3 cups of cooking oil<br><br>4- Mix with mixer or with hand <br><br>5 pour the mix in the pan<br><br>6 Put the pan in the oven for  350 for 25 to 30 minutes<br><br>7 after baked let it cool down for atleast 10 minutes <br><br>8 after it cools you may decorate with any cake decorations to make it look cooler<br><br>9 GIMME A PIECE OF THAT CAKE NOOOOOOOOOOOOOOOOOOOW",0,2024-11-28T14:56:39Z
@diorrnxtdoor,these editors have the most ass english ever 😂,0,2024-11-28T14:29:34Z
@LUGVR_gorila,bro really said time to get revenge,0,2024-11-28T14:24:20Z
@ShadhuliSha,Omg,0,2024-11-28T13:49:43Z
@RithulRanjith406,Song made mad me,0,2024-11-28T13:45:22Z
@SouemSeng,☠💀🚗,0,2024-11-28T13:12:58Z
@FirstDeadlySin,What kind of ass is that?,0,2024-11-28T11:33:21Z
@Aulia_rahma632,WAT,0,2024-11-28T10:46:05Z
@robertcarter8169,Batman: joker did you steal my car,0,2024-11-28T10:20:57Z
@Richyftbl,The fact that it is even real is crazy☠️,0,2024-11-28T08:52:15Z
@zinura_marat,&#39; &#39;,0,2024-11-28T08:32:06Z
@rhodaventura7979,joker whyyyy,0,2024-11-28T08:13:37Z
@lamnhat4116,Why so serious BHUXCHBHISADBJSBDHIDWBCHJDBVHUFBVHDKXSD,0,2024-11-28T08:05:18Z
@MarsheMelli,WHY SO SERIOUS (beatboxes)🎀😔,0,2024-11-28T05:21:55Z
@knoxx-o6r,halloween costume<br>be like in australia,0,2024-11-28T04:42:09Z
@radhienismartinez4668,If you can hear it we can hear it😏,0,2024-11-27T23:39:35Z
@MatthewXpham,BRO IS CLOWN DRIVE WHY SO SERIOUS 💀,0,2024-11-27T23:13:37Z
@AVeryNormalDude,is nobody going to mention the TURBO on the side of the car??,0,2024-11-27T22:24:35Z
@666-GT,Bro stole it 🤡🤡🤡,0,2024-11-27T22:03:14Z
@Venti-Barsabatos,Bro really want “YOU WON’T NEED THIS BATMAN!”,0,2024-11-27T21:57:36Z
@GooseGuy2.0,That got me,0,2024-11-27T21:13:44Z
@monkeyflapsvr,Stop stealing peoples vids you could be claimed for copyright,1,2024-11-27T20:21:05Z
@esc_l0n,slop,0,2024-11-27T19:37:08Z
@Mr_one_gloveYT,Bro was <br><br>🤡👍,1,2024-11-27T19:34:29Z
@christophermiller4005,I just got a job as a car tower and i have a scientist friend who loves batman so he boght a batmobile then I decided to dress up as joker to tow his car and the one rcordin is him...gues he needs practice to bea good camera man even though hes a scientist,1,2024-11-27T19:00:52Z
@vrcupp,💀,0,2024-11-27T18:57:47Z
@ColtonCarey-qc8yl,Why so serious hmhmhmhmhmhmhmhmh,0,2024-11-27T18:49:43Z
@braxtonsp,bro is skibiding riding,0,2024-11-27T18:40:50Z
@alexjohns7261,Nah joker be impersonating Batman with this one🗣️🗣️🔥🔥,0,2024-11-27T18:28:55Z
@Edits_emergência,Brazilian Joker Stole the Batmobile SUCK IT UNITED STATES,0,2024-11-27T18:22:29Z
@alexgamingx9317,Bro stole the batmobile,1,2024-11-27T18:15:23Z
