Author,Comment,LikeCount,PublishedAt
@egemenler,🥶🤕🤕🥶🥶🤕😨😰😨😰😱😱😭,0,2024-11-29T15:33:53Z
@egemenler,🥶🤕🤕🥶🥶🤕😨😰😨😰😱😱😭,0,2024-11-29T15:33:53Z
@うさおちゃんねる,雪玉ｽﾊﾟｰﾝｯ!が良い音過ぎるw,0,2024-11-24T23:15:02Z
@犬丸-j3r,フリップ高ぇーー！,0,2024-11-23T12:03:31Z
@tomo5441,ハイ。自己満足の世界。,0,2024-11-23T05:26:47Z
@Sigmaboylowkeyhitshard,Space cadet doing a bit weird hmmm,0,2024-11-21T02:02:35Z
@SereneRottweiler-dc7fx,"So much talent on display in this video, WOW!!!!",1,2024-11-19T15:54:55Z
@janedoe2817,Some people are so talented.,0,2024-11-19T09:37:19Z
@samanthafoxon746,Dude perfect,0,2024-11-17T13:36:48Z
@tori-konketu,respect,0,2024-11-17T07:52:06Z
@湊窪,シャトル投げてた男の人の表情がいいな,0,2024-11-17T01:02:21Z
@えんじ-n9r,どんなことでも極めるとこんなにもかっこいいのか,0,2024-11-16T19:48:32Z
@よしき-f3q,スケートの状態でのムーンウォークカッコいい!,0,2024-11-15T13:19:06Z
@mikes2622,Somehow flipping bottles isn&#39;t as impressive as everyone else.,0,2024-11-12T16:18:24Z
@Пабг-д7т,Я бы не хотел с пацаном в снежки играть 😂,1,2024-11-10T11:39:50Z
@善人藤平,ハルキ004ですヒーロースキン下さい,0,2024-11-10T03:52:52Z
@andreasiven21,but yet humanity cant even be human anymore :D,0,2024-11-09T13:10:00Z
@こんにちはゆっくり霊夢だよ,ふりすびーすこ,0,2024-11-09T10:30:12Z
@fishtaro745,原爆GO,0,2024-11-09T08:38:38Z
@brianhall3517,Bro said hehe,0,2024-11-08T21:47:53Z
@SaMa-x9h,保険が入らないようにして死ぬより、絶望を乗り越えて、大成してお金持ちになって、再婚して、毎年幸せアピールの年賀状送りつけた方がいいだろ…,0,2024-11-03T09:15:56Z
@Jvc70,¿Han pensado en que si no existiera la gravedad nada de esto se podria hacer?,0,2024-10-30T16:58:01Z
@44-oz4gc,新しいアベンジャーズ,0,2024-10-30T10:58:16Z
@Asik-1ooo,"Извините меня пожалуйста, но этот кал - поц... 😡",0,2024-10-28T15:25:05Z
@tyu_05ib,Is there a video of Wolf Dogs Nagoya！?,0,2024-10-27T22:35:32Z
@バブリシャス,バドミントンのバックハンドはそこまで凄くないよ,0,2024-10-27T09:29:12Z
@EdjaLmaPimenteLfrancoLealfranc,Eu não sei qual escolher  todos forao maravilhosos,0,2024-10-24T00:22:53Z
@deanalape4783,For the color guard (rifle)….great job!! When i was im we did a 360 spin it was awesome!! That was fun to watch and now i miss the old days 😢,1,2024-10-23T21:31:15Z
@robertcleland9255,😎 cool😮😮😮,0,2024-10-22T17:02:17Z
@ИринаПанцир-и8у,Подборка супер💥👍🔥✌👏🙏,0,2024-10-22T13:42:39Z
@Taehyunnnnie,That&#39;s insane 😮,0,2024-10-22T08:11:16Z
@luxray8968,The guy with the snowball is the reason I don&#39;t do snowball fights. 😭,0,2024-10-21T21:12:25Z
@Imjustaboy0,"What is the theme song of your life? <br><br>👇",0,2024-10-21T05:40:45Z
@MFlexman,Rifle girl is pretty common. This is DCI color guard training.,2,2024-10-21T02:00:46Z
@andreouellette4764,Amazing but the girl diver is incredible ❤😮,0,2024-10-21T00:16:26Z
@AllisonCast-x8p,So satisfyinnnnnnnggggggggg😅,0,2024-10-20T16:17:23Z
@serpilcebe9131,rahmetli kucağına oturtmayı severdi,0,2024-10-20T13:42:42Z
@kristapaulson5286,😮😮😮😮😮😮😮🎉🎉,0,2024-10-20T12:21:01Z
@devd8612,😊😂🎉,0,2024-10-20T05:53:51Z
@martaceliaeldedal6088,❤❤❤❤❤❤❤❤❤😊😊😊😊,0,2024-10-20T02:22:20Z
@cathyyoung3285,I remember my drum and bugle Corp rifle spinning days.  Good times,1,2024-10-20T00:29:10Z
@JamesSmith-pc6bh,That dive was incredible!,0,2024-10-19T18:07:46Z
@edwinmaerzluft1172,Incredible work by the amazing people that did and do these stunts ❤,0,2024-10-19T15:04:05Z
@ReginaGraham-gp8zc,The year 2016 was in rotc and we start tryout for our expedition team and it took one hit of that rifle for me to loss it 😂😂😂 and I was staff sergeant at the time my xo took me in the armory to talk to me about it but I was already crashing out😂😂😂 god I missed rotc,0,2024-10-19T13:57:58Z
@adamwildfong,Those are sick,0,2024-10-18T22:40:08Z
@Alycia-h8z,Botava no currículo,0,2024-10-18T17:00:33Z
@cynthianip4160,I can&#39;t wait we finally got snow I&#39;m gonna ice skate,0,2024-10-18T06:36:30Z
@Chamonix.frequently,All things I&#39;m not talented enough to do😂,0,2024-10-17T20:04:13Z
@boom_kaboom,Just average game characters,0,2024-10-17T12:07:12Z
@MariaBaciu-v8j,Recspect,0,2024-10-17T10:11:01Z
