Author,Comment,LikeCount,PublishedAt
@ritheshfernandis1526,Resonance,0,2025-02-20T09:15:20Z
@thushankalana4940,Great lesson and great explanation ❤😊,0,2025-02-15T07:27:28Z
@talen8969,Hes hitting it from the side its fake,0,2025-02-04T22:59:28Z
@Rkbrooks00725,What’s the frequency of a ping-pong ball?  find that answer then try it again and see what happens,0,2025-01-27T03:32:35Z
@JuelzIAMJALB,Exactly what I been trying to configure who to create the Arch tec textile texture to the phaser Steele arch sound frequencies in squeleching the near 0 expression of innovating carpentry in the serpent&#39;s structure apple board micro board with some Android computing in the vibrating of Steele to bounce of Steele at a power silencer suppression expressing dB decimal intervals that would shatter n break metal n do the reverse deflector bounce is power full sounding alike alocstion ping sting Ray beamer reverse to forward the shmelting but the sonic boom sonar proCisioning that will be the next 6g sound frequency sound barrier breaker conjuction debt relay boxed input outputting LOL,0,2025-01-26T23:02:27Z
@JuelzIAMJALB,Remind me of bounce of towers dish off,0,2025-01-26T22:58:11Z
@JuelzIAMJALB,I see distor a line string in vibration that invisible laser precision wit no ilde throttle or provision involved ment more aerodynamics tethered data computing wit logical structure fills,0,2025-01-26T22:57:49Z
@epiclife777,He passed the vibe check,0,2025-01-21T14:34:31Z
@anvitchavan344,Legends noticed nasa&#39;s laboratory🎉,1,2025-01-21T02:14:53Z
@argthepirate,Unlike how you say this thing instead of saying how it prevents the transfer of energy in that direction,0,2025-01-20T04:06:15Z
@Waelly17,"Oh ill share my own, some part of my skull or bones near my ears are tuned to Bb and F# because i can FEEL those pitches and they vibrate my skull u like any other",0,2025-01-20T02:09:06Z
@r.a.6459,"The resonant frequency of a human eye is about 18 Hz. An infrasound with that frequency can cause us to see things that aren&#39;t actually there, dark shadows, and the feeling of being watched.",0,2025-01-16T16:31:07Z
@Caparzo27,Skulk Sensor,1,2025-01-12T12:24:16Z
@chadmorgan6862,Resonance is a monster jiding in all things waiting to be excited.,0,2025-01-11T02:32:32Z
@kukulkan1717,law of resonance,0,2025-01-07T13:33:50Z
@mattmurphy6250,People are like this,0,2025-01-04T15:05:50Z
@VidyaVriksha-q5d,Am I correct that this frequency is called resonant frequency,1,2025-01-04T10:00:02Z
@Trentcast,"This is called phase alignment. If you were to invert the polarity of one of the tuning forks, you’d get pure silence!",0,2024-12-30T13:17:52Z
@Mr.Stamps-g2z,"What if you go higher, like 280hz",0,2024-12-28T10:03:52Z
@rodneysammons5544,"Want to have bliss and joy in your life, there are many changes to be made but vibration is the starting point.",0,2024-12-23T01:31:39Z
@derekderek2570,I get wireless now,0,2024-12-19T03:43:55Z
@DarrinSimmons-l3b,Its cool that the waves seem to exert the same force on the ball despite the tuning fork closest to the ball not being directly impacted.,0,2024-12-08T14:49:28Z
@RaffTail,This is why you sing in the same frequency at a crystal wine glass to break it,0,2024-11-17T01:02:03Z
@HMD_ARMY,We can not hear sound in space because there is no medium to travel,0,2024-11-16T16:28:12Z
@sairajdome,Imagine frequency get&#39;s match with your house walls and it collapse ☠️☠️ <br>New fear unlocked 🔓,1,2024-11-15T17:36:50Z
@piyasaha5357,Thank u this video helped me understand sooooooo quickly &lt;3,1,2024-11-14T11:34:17Z
@BSNCRvideo,Mission Projact ufo,0,2024-11-06T05:03:28Z
@allea3461,is there any tutorial how to make this?,0,2024-11-05T14:29:16Z
@suranramdass1885,"&quot;Everything is energy,Frequency and vibration.&quot; Albert Einstein",0,2024-11-03T21:23:37Z
@rockyrafty,Technology that was used to build the pyramids,0,2024-10-29T18:17:37Z
@bensandivar9362,This is how they built the pyramids,0,2024-10-25T10:48:01Z
@Buck0613,The resonator helps but still cool,0,2024-10-25T09:19:20Z
@bullfrogo3311,so its gay?,0,2024-10-23T17:04:20Z
@monicahasiu5605,"Wow, so interesting 😍❤️",0,2024-10-22T16:09:34Z
@NZ369.21,This is a great visual explanation of why you attract certain type of events and experiences based on your own frequency.,0,2024-10-22T16:03:43Z
@Vea._07,That’s like free energy that someone can make or use in a engine if someone is smart enough to use the right frequency and material that’s very excited too sound🤨,0,2024-10-21T14:17:12Z
@Ed_TCG,Isnt this how signal propagation works too?,0,2024-10-21T10:38:18Z
@ricecooker3k,is this how radio works,0,2024-10-21T09:34:47Z
@tepytepytepy,Does this physics is used as a mechanism for something?,0,2024-10-15T15:59:08Z
@MT-qi9dj,つまりあのピンポン球の固有振動数が260ヘルツってこと？,0,2024-10-05T16:29:16Z
@morpheoist,that pingpong ball is a bit heavy😅,0,2024-09-30T12:28:32Z
@Rose_Sif,Egypts secret….,0,2024-09-27T18:15:19Z
@nathan-498,What generates the differential in hz emitted from particular objects?,0,2024-09-27T05:21:06Z
@U3X6785,Cancer has its own resonance. If we can locate a resonance of a cancer cell could we not destroy that cell with a similar method??,0,2024-09-26T07:37:27Z
@CharlesAnchondo,I have that jacket,0,2024-09-23T03:25:52Z
@Zedmouse2000,Real life skulk sensor,0,2024-09-21T17:05:01Z
@defensegeneral9893,Isn’t that how antennas work,0,2024-09-21T09:12:18Z
@harishchandrasekar8716,understanding well! thank you,0,2024-09-20T15:14:55Z
@samsonfpv8902,What’s the max distance this will work at?,0,2024-09-17T05:13:37Z
@stevemckennon7678,Svd John Keely. Sympathetic Vibratory Physics,0,2024-09-17T04:53:09Z
