Author,Comment,LikeCount,PublishedAt
@denismagicshow,"Please SHARE this video to your friends, LIKE it and write a COMMENT! I&#39;ll be sure to reply 😊<br>If you love my videos you can SUPPORT ME ❤️ (link in the channel description)<br>🍩 PayPal: denismagicshorts@<a href=""http://gmail.com/"">gmail.com</a>",111,2024-01-31T12:01:16Z
@JánosLászló-y8o,Ijeténiscsinátam,0,2025-03-19T11:31:55Z
@eduinmunoz4481,Good job 🎉,0,2025-03-19T00:58:28Z
@Maninawig,"New: Fanta Zero, air flavoured.",0,2025-03-18T08:53:50Z
@XXX-nm7nw,А чому не шипить  при відкриванні 🤔,0,2025-03-15T11:50:00Z
@BobonazarDusqulov,Bravo.,0,2025-03-13T19:22:31Z
@damodharr_viss,you are genius bro😊😊,0,2025-03-09T17:38:23Z
@cas_lovesjake8219,I&#39;m still not sure i fully understand this one...,0,2025-03-09T08:55:54Z
@umairshahid4955,Lovely ❤ satisfying,0,2025-03-08T07:14:56Z
@MyoNayAung-b2e,Good bro thks,0,2025-03-07T18:24:41Z
@Rizwan-nr9bw,Excellent 🎉😅,0,2025-03-06T20:43:37Z
@piotrlakota9449,Dobre,0,2025-03-06T06:18:14Z
@saboosisiram2487,Good 👍 😅😅😅😅,0,2025-03-05T08:24:52Z
@francescotabolacci2603,Che faccia da idiota ahahahaahah,0,2025-03-05T00:40:04Z
@francescotabolacci2603,Ma faccia meno da cojone grazie,0,2025-03-05T00:38:59Z
@mikekim913,이건 할수 있겠다.,0,2025-03-04T00:23:51Z
@ZendegiZiba-yp3nv,❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉😊😊,0,2025-03-03T23:09:57Z
@نجاحاحمد-ص4ح,رائع جدا 😮,0,2025-03-02T22:48:13Z
@archetype555,And nobody understands anything,0,2025-03-01T21:38:39Z
@Kaal.Kaal-oj1t,😁😁😁😁👍,0,2025-02-24T20:31:26Z
@EloyCavazos-d1w,😂,0,2025-02-22T15:56:51Z
@elsagopar9218,Gran truco ‼️👍🏻👍🏻👍🏻,0,2025-02-17T23:33:59Z
@VVNA-r3z,Wait- actually lo-key smart,0,2025-02-10T06:42:31Z
@khalid.mm.n,😂😂 ذكاء,0,2025-02-09T08:38:44Z
@alvaromiguel6580,"Legal, mas porque ele faz essa cara de bobo em todo vídeo, desnecessário.😊",0,2025-02-09T03:11:19Z
@letygarciareyes5358,😂😂😂👍🤭❤💗🙌,0,2025-01-28T22:57:23Z
@mohmdibrahim,Good job,0,2025-01-26T06:49:44Z
@donrane,Pfffffffffffffftytty. Work on the deaf only ?,0,2025-01-25T10:51:49Z
@Janibek-f4c,Керемет 😅👍🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿,1,2025-01-23T10:15:43Z
@vshah1010,"This is good. My drink will have to be sugar free.<br><br>It seems like a good idea is to throw the bottle in the trash when you are done. That makes sense. People won&#39;t want to examine the prop if it is in the trash.  <br><br>Also, the bottle should be almost empty after you &quot;drink&quot; it.",0,2025-01-18T19:04:21Z
@ABAT58,"That was very genius. To be honest, I wouldn’t be able to guess how it can be done. Thanks for revealing the truth.",0,2025-01-18T05:16:53Z
@khatske,Loved it,0,2025-01-16T17:36:21Z
@Real-Time-AI,Still i didn&#39;t understand the last part 😅,0,2025-01-06T04:00:12Z
@عليمحمود-م2ص,😂😂😂😂😂,0,2025-01-05T17:17:05Z
@РизагулОралгазыкызы,Мен болсам бәріне сеніп қалам😂,0,2024-12-28T03:16:12Z
@РизагулОралгазыкызы,😂👍👍👍👍👍,0,2024-12-28T03:15:49Z
@mgaci9107,Excellent ❤,0,2024-12-27T19:59:22Z
@carloseeu,GREAT,0,2024-12-13T20:36:59Z
@Aaaaaa-ss7xw,انت تبذل الكثير من الوقت والجهد مبدع,0,2024-12-12T13:33:26Z
@Dileepkumar-zt9ef,❤❤❤❤❤❤🎉,0,2024-12-10T19:49:47Z
@XusanMamadaliyev-xd2sr,😆😆😆😮😮😮👍🏻👍🏻👍🏻👍🏻👍🏻🥂🥂🥂🥂,0,2024-12-10T12:28:34Z
@Brick_RBLX,He looks so happy 😊,0,2024-12-09T02:14:39Z
@mjhashemi5352,you look like Iranian people.,0,2024-12-08T17:37:06Z
@abdelaliaitallal4033,😂 good,0,2024-12-04T07:53:42Z
@TarikDjili,مطلعتليش🤷🤷,1,2024-12-02T21:16:43Z
@Colberthypolite,Brilliant!!!,0,2024-12-01T05:14:45Z
@Colberthypolite,That&#39;s genuis,0,2024-12-01T05:14:25Z
@AboAli-cs2cf,تم❤,0,2024-11-27T22:27:18Z
@preetech627,Mentalism secret pls,0,2024-11-24T19:25:41Z
@gustavoortega7441,🎉 excelente,0,2024-11-18T17:10:57Z
