Author,Comment,LikeCount,PublishedAt
@Nic,"Longer Glitch Video here!! <a href=""https://www.youtube.com/watch?v=pD05MLqwN4Q"">https://youtu.be/pD05MLqwN4Q</a>",8284,2023-04-06T19:32:40Z
@MoHa_Player,ERROR,0,2025-03-20T11:16:10Z
@IndependentedeRua-il7hr,helllo gay,0,2025-03-18T15:49:31Z
@ZhielbertMauiePausal,that is edited,0,2025-03-18T04:27:44Z
@huima3000,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2025-03-16T02:46:45Z
@EvanChavez-v8b,IA,0,2025-03-15T23:14:13Z
@Money065-p7g,Thanks For no clip to Backroom🎉🎉🎉,0,2025-03-15T13:20:20Z
@markcosta6579,So true,0,2025-03-12T19:55:21Z
@CristinaContinedo,𝙒⃥𝙃⃥𝘼⃥𝙏⃥?⃥!⃥,0,2025-03-12T10:44:07Z
@Sink-c2p,How to enter the backrooms:,0,2025-03-09T02:39:12Z
@VenRoot,EA at it again,0,2025-03-07T12:10:09Z
@CheeseIs_Life-f5n,"As a gamedev, I would like to clarify, these are not bugs. They are features.",0,2025-03-07T01:46:33Z
@BrendaPerez-be9kh,Que  pasó 😅,0,2025-03-06T20:38:11Z
@عمادالاسعدي-ن1ز,that is not a video game that is real life,0,2025-03-06T05:55:36Z
@JonatanSciega,Dude this guy is really good at what he does 😂😂😂😂,0,2025-03-05T16:58:21Z
@Davi-r6v2c,What music is this in the background,0,2025-03-03T19:59:23Z
@GamingKids2721,"Bro, what kind of games do you have be glitching like that",0,2025-03-02T21:53:30Z
@cintiareis8867,The&#39;s music from Brazil,0,2025-03-02T18:46:41Z
@josephbarraza4368,Not the Team Fortress 2 error im already getting PTSD,0,2025-03-02T18:30:06Z
@kilotron702,GOATED audio,0,2025-03-01T23:05:56Z
@sadiazerouali,Il est en train de glitcher ou quoi mets la musique elle fait peur un petit peu,0,2025-02-28T23:54:37Z
@wowhaha92710,the ball: 😎😎😎<br>meanwhile the guy: Q̵̡̥̰̰̻̣̔͂͑͆̃̏͂̚̕͝͠͝J̴̡͍͖͇̩̤͈̱͂́̉͑̉̐̍͘ͅÎ̵̧̱̼̹̽̈́̓̈͋Ḝ̵̨̩̹̄R̸̮̣̭͔͒̀̔̐͝J̸̧̻͕̖͇̃̓̅̄͛̃̕͘͠͝Ḓ̷̡̰͙͈̀̀̈́̌̎̚͜J̵̪̿͋͠N̵̩͑̀̃͗͊̋̒̂̎̀̕̕E̷̳̟̣͖̯̍͐͊̿͆̅̋̏̚Ǐ̵̡͚̠̱̰́̽̈͑̈́͝Ų̸̢̳̜͇̻̫̝̿̓̆̍̈͒̚̕ͅE̶̡͍͎̤̺̼̭̬͆̾̀͋̈́̉͘͠͝K̵̟͚̖̮͇̃J̶͍͎̟̤̮͈̤̔D̵̨̯̟͙̼̖̲̘͍͇͎̑̈́͂́̕̕͘͜W̴̧̨̪̣̘͕͍̞͖̘̮̊Ṕ̵̨͙͚̬̬̱̹̅̉͒̒̄͆̕͝Ö̸̢̮͇̤͎̦̾̀̏͛̈̈́̏͝,0,2025-02-28T03:29:16Z
@darkmakesamv2489,W,0,2025-02-28T02:32:19Z
@MBMI_ARTs,HIS MOM: wtf happen to you?,1,2025-02-27T21:13:18Z
@GVD-18,Backroom,0,2025-02-26T12:37:47Z
@AntonioShen-g9f,One more short before bed the short:💀,0,2025-02-26T08:38:24Z
@GanemZaarora,Gmod be like:,0,2025-02-25T18:49:54Z
@sheenaoliver2269,"Oopsie,  a Daisy",0,2025-02-25T17:55:51Z
@SkyMasula,When my wifi shut down💀💀,0,2025-02-25T01:30:01Z
@corniestols,What ping does he have,0,2025-02-24T17:46:59Z
@AnthonyGabriel-q4s,😄,0,2025-02-24T10:09:30Z
@ВолодяФедоров-г1р,Мне одному слышна уходи на войну,0,2025-02-23T23:30:06Z
@lorenzoathaide5744,Bolinhas limpas!!!!!,0,2025-02-22T16:44:00Z
@israelsalcedo473,Im done,0,2025-02-22T11:53:18Z
@SofiaTiffanySalamat,Magic,0,2025-02-22T01:10:30Z
@ShaysAnimates,PS1/ N64 graphics be like,0,2025-02-21T17:28:36Z
@Claywill56669,I hate wan games lag fr one wan u die to someone and they call u trash 🗑️<br>Gets me so maddddddd and u tell them im lagging and they say for sure that get in my skin so much,0,2025-02-21T15:11:43Z
@Glitch90-l3l,WHO SUMMONED ME?,0,2025-02-20T22:13:58Z
@mehraddeylami4113,T_pose TTTTTTTTT,0,2025-02-20T20:18:05Z
@reinam5037,That felt weird,0,2025-02-20T13:19:58Z
@chewiesecretchannelwowsocool,That&#39;s a stretch,0,2025-02-19T21:23:20Z
@Smilek-q8e,"List of all errors in this video<br>1.Breaking the glass<br>2.Breaking a Man<br>3.A Parallized Person<br>4.Pixel Textures<br><a href=""http://5.no/"">5.no</a> textures<br>6.A man instead of a tennis ball<br>7.The disintegration of man into tennis balls<br>Bottom line:7 mistakes in this video",0,2025-02-19T18:51:09Z
@RhysContreras-v3l,Me gusto tu edicion bro👍,0,2025-02-18T23:33:16Z
@pubggene,When you have 1fps in pubg,0,2025-02-18T14:48:40Z
@ElizeteNunes-wj8xk,Do no jogo de boa tonada a internet cai,0,2025-02-18T00:55:00Z
@Lethalvr19,Hello neighbor be like:,0,2025-02-17T19:20:43Z
@orbitmortgages9206,😂😂😂😂😂😂,0,2025-02-15T20:56:37Z
@PixelAnomalies,Accurate :D,0,2025-02-15T17:43:12Z
@李璇-y5j,😐🤨？？？,0,2025-02-14T22:31:12Z
@tomaszrabiniak7527,Pov my ps1 💀💀:,0,2025-02-10T22:10:32Z
