Author,Comment,LikeCount,PublishedAt
@ZachKing,Doodlebob approves this video ✏️,22849,2024-03-15T11:43:48Z
@ComplexJonez45234,&quot;What a twist&quot;,0,2025-03-19T11:36:31Z
@D.RUTVIK,The rendering was nice 👍🏻,0,2025-03-17T11:13:38Z
@Zachkoehnen7,The person that wanted a picture tried to steal the money,1,2025-03-09T15:39:00Z
@tocasmia,Its cute!,0,2025-03-09T12:58:59Z
@adaml8762,"You are extraordinary, magnificent quite an illusionary ❤️🧡💛💙💚🩷💜🤍🩶🖤🤎",0,2025-03-06T21:50:24Z
@SimonettaVannetti,Sensazionale!!!!!🤩 mai visto niente di così incredibile!!!👏👏👏😅 bravissimo!!!👍orso bianco❤❤❤,0,2025-03-04T16:12:58Z
@sx20Ramar,Good editing! 😮,0,2025-03-03T19:34:14Z
@user-cl2jt6hb5c,He draw a bear in real life 🗿🗿,0,2025-03-01T03:00:26Z
@uddiptayt,Please support,0,2025-02-25T02:12:45Z
@TheMsiaddict,That cheese is a bit loud 😂,0,2025-02-24T10:56:55Z
@StudioGTGA,Detected,0,2025-02-23T01:30:43Z
@SunitaPeters-z5j,❤❤❤❤❤❤😊😊😊😊😊😊,0,2025-02-22T22:03:21Z
@AJPLAYZ-28,AWWW I FEAL BAD 😢😢😢😢😢😢<br>EDIT: the bear is cute😊,0,2025-02-22T00:15:38Z
@NoNameNiGGaz,I like ur content keep going,0,2025-02-21T21:28:37Z
@coreybyrnes1332,The polar bear is so cute❤❤❤❤❤😊😊😊😊😊,0,2025-02-16T12:13:57Z
@larapearlclover6050,Haha 👇 if you love Zach and his magical stunts,0,2025-02-16T10:38:45Z
@ASJerin-lifestyle,Nice video,0,2025-02-11T15:51:25Z
@projectpranktv1878,That’s pretty cool lol,0,2025-02-10T15:04:06Z
@SantoSupiriano-d6k,I would pets it if its real,0,2025-02-10T04:39:39Z
@balsaboss4832,So sweet bear😂❤❤❤,0,2025-02-07T18:42:14Z
@PickleMuncher-iy6zn,I dont think you guys understand how HARD it was for zach to make this he had to get a polar bear in perfect sync with the drawing fair play zach✊,1,2025-02-06T21:43:30Z
@HunterTyler-l8s,Zack just draw a polar bear,0,2025-02-05T13:32:58Z
@otkirbeksaidov4317,Is it really.,0,2025-02-05T05:46:20Z
@GospelKidss,"🤫🤔Proverbs 11: 4. Riches are of no use in the day of wrath, but righteousness delivers from death.👺 12: 4. A virtuous woman is a crown to her husband,🤷♂ but she who shames him is like rottenness in his bones.😧 14: 1 Every wise woman builds her house, but the foolish one tears it down with her own hands. 14: 12. There is a way that seems right to a man, but its end is the way of death.😵🤮 14: 27. The fear of the LORD is a fountain of life, to turn one away from the snares of death. Read the Bible! One day we will all be judged by God for everything that is written in it.📗📘",0,2025-02-04T23:12:43Z
@Luisegab87578,Cute,0,2025-02-03T14:52:43Z
@am_vloge,Edidng 😂😂he,0,2025-02-03T05:12:18Z
@bbjjbvbbv670,Ligit,0,2025-02-02T12:13:14Z
@bbjjbvbbv670,But ligit how did you do it?,0,2025-02-02T12:13:06Z
@AhenKlc-cg5xf,Camdaki yansımaları takip edin 😉,0,2025-02-01T10:38:43Z
@MyHanLe-xy4rj,"<a href=""https://www.youtube.com/watch?v=oG45ZbYePtY&amp;t=10"">0:10</a>",0,2025-01-31T04:25:08Z
@Bablusingh-123,Super ❤❤❤❤,0,2025-01-29T19:14:42Z
@HybridsofWonder,Haha 😂,0,2025-01-29T16:34:53Z
@peterGraumüller-x4f,😮😮😮😮😮😮,1,2025-01-29T12:58:36Z
@Keshav18080,Who let bro cook..,0,2025-01-29T05:00:27Z
@吳俊傑-w3g,無所不用其極？奇蹟都是騙人的😅,1,2025-01-28T20:35:32Z
@吳俊傑-w3g,電腦合成的😂😂,1,2025-01-28T20:33:04Z
@abbasdursun9415,if they put age limit on social media like ( under 30 cant have any account) than nobody gets millions of likes because all this millions of people who likes this stupid things under 18 😂😂😂,1,2025-01-28T18:46:40Z
@MamaHannah-j7q,How do you do that,0,2025-01-27T17:23:40Z
@pirenty11,C H E E Z E,0,2025-01-27T15:43:29Z
@austinscibby3770,"Dude, how did you get a polar bear before you edited the video? And how did you make him friendly?",0,2025-01-27T06:09:42Z
@yopekok5448,I like to see how the first timer do.,0,2025-01-27T02:14:02Z
@V_Plushie-q4w,The polar bear looks cute,0,2025-01-25T13:35:07Z
@NoahSimmonds-o3r,It&#39;s okay not as smooth as your golden gat bridge one,0,2025-01-24T10:13:35Z
@hamidrezamaleki7174,😊,0,2025-01-22T23:37:39Z
@BarbaraWalker-j4e,Too cute❤,0,2025-01-22T16:20:14Z
@JOOGSTERNo1,We all love that Pilar bear,0,2025-01-21T23:29:06Z
@HayloTvT-e2l,Is he real just asking,0,2025-01-21T16:29:22Z
@GrzegorzSzewczyk-d1n,😂😂😂😂😂😂😂😂😂😂,1,2025-01-21T09:57:37Z
@Pushkar.kulkarni2515,Power of editing 😅😊😂❤,0,2025-01-21T04:03:46Z
