Author,Comment,LikeCount,PublishedAt
@astrodax2753,"It&#39;s not whoever vs whoever at this age. It&#39;s the manarism/enthusiasm. There are actually studies on how babytalking and smiling to babies change their mood completely. You can see how his face changed as soon as his brother started talking, not on sight",0,2025-03-21T03:06:05Z
@Lara7_77,ياروحي🥹🫰🏻🤍,0,2025-03-21T02:23:51Z
@chilindrina8,I&#39;ll make your daddy smile!,0,2025-03-21T02:14:37Z
@GregJoshuaW,It&#39;s in the heart. And brother..... damn.,0,2025-03-21T01:40:46Z
@hjaso6589,😅🥰🥰🥰🥰🥰😋❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,2025-03-21T01:32:50Z
@RavenousFallen,Need to act more surprised and happy.,0,2025-03-21T01:17:09Z
@Narges-j7f9k,the father😭😂,0,2025-03-21T00:05:49Z
@farrahlipsham5533,Baby was just mirroring! 😂 Dads are just as loved and important ❤❤❤,0,2025-03-20T23:41:15Z
@masonramos4631,Pov; you work a lot just to pay all the bills because nobody else in this house works. Lmao 😅,0,2025-03-20T23:36:40Z
@monikhutchingson5887,Brother won definitely ❤,0,2025-03-20T23:26:12Z
@ScaryPoppins,Dad didn&#39;t even act like he was excited to see baby.  Id look like that too.,0,2025-03-20T23:13:51Z
@mczysa,Mom:😊❤️<br>Dad:😒😐<br>Big brother:😊❤️,0,2025-03-20T23:07:02Z
@YossarianMilo,Puts they&#39;re childrens faces on the internet for clicks!!,0,2025-03-20T22:28:42Z
@julietaechague1944,❤,0,2025-03-20T21:53:56Z
@JekaReber,Con su hermano!! 😊,0,2025-03-20T20:42:36Z
@dertraurigerest,Do you also hear &#39;cats in the cradle&#39; playing in the distance?,0,2025-03-20T19:16:23Z
@irvinesongsong,"trick: just keep moving in front of baby, and they will remember you...",0,2025-03-20T18:12:57Z
@YouTubeCancelCult,how fake,0,2025-03-20T17:57:38Z
@mariafernandezporcel749,❤❤❤❤❤😂 .Que bello .,0,2025-03-20T17:30:00Z
@mikeg3439,"This reminds me of my dog when my grandson comes over.  My dog loves me, sure, but he doesn&#39;t love me like he loves his &quot;dog brother&quot;.",0,2025-03-20T16:47:17Z
@lanna4925,Mom1st.  brother2nd and dad3rd the baby didn’t even say anything about  dad,0,2025-03-20T15:30:10Z
@LalithaK107,They offered to take him but dad didn’t try,0,2025-03-20T15:07:11Z
@DonnaHubbard-v4f,Dad didn&#39;t reach for baby,0,2025-03-20T14:42:14Z
@sugadev,"Little baby won, letting father alone😂",0,2025-03-20T13:26:32Z
@r4ymaster,"This doesn&#39;t mean anything, the baby is just reacting to their emotional reaction, it&#39;s natural.",0,2025-03-20T12:50:47Z
@AuraArteon,Bhaichara on Top 😎,0,2025-03-20T12:23:33Z
@leebruno106,So sorry dad,0,2025-03-20T12:19:19Z
@ГРАНЁНЫЙ-м6й,У меня тоже такие внуки и ещё внучка,0,2025-03-20T11:48:09Z
@nirmalakujur6389,So cute baby god plz plz plz give me baby blessing amen hallelujah ❤❤❤❤❤God plz plz plz listen my prayer amen ❤❤❤❤God plz plz i request u plz,0,2025-03-20T10:45:06Z
@sarahawkins1917,Mommy,0,2025-03-20T08:29:04Z
@soryiz,j&#39;ai regardé la vidéo au moins 7 fois 😊 j&#39;adore le frere a la fin il a tout gagné le sourir le rire tout 😊,0,2025-03-20T07:25:12Z
@DinaBae-u1i,So cute baby girl❤,0,2025-03-20T07:08:46Z
@phanhiennguyen3140,Very very beautiful,1,2025-03-20T05:18:49Z
@justprayniki,"Was that the &quot;I&#39;m not looking at you, I&#39;m looking past you&quot;,stare?",0,2025-03-20T05:12:53Z
@serentachaney9965,Too cute! ❤,0,2025-03-20T05:05:45Z
@DariahJaffar,Brother . Duh 😂,0,2025-03-20T05:01:01Z
@bluangelspirit1111,Big brother! 👍😂,0,2025-03-20T04:47:04Z
@banksiasong,"Babies mimic what they see and hear. <br>Hardly high science, even for americans.",0,2025-03-20T04:24:55Z
@marthapineda1393,Big brother for the win 😂❤,0,2025-03-20T02:44:49Z
@SophieLoveOfficial,Big Brother won fs❤,0,2025-03-20T02:33:20Z
@BypassClick,Hello baby❤,0,2025-03-20T02:26:27Z
@nikocoklat2,Dad is the one who put food in the table,0,2025-03-20T02:12:55Z
@annisapujifatmala9051,True,0,2025-03-20T02:06:52Z
@miltonespinace9592,Papa ponte a trabajar en ganarte al bebé.,0,2025-03-20T01:48:54Z
@여해-y3u,He looks like Putin😂,0,2025-03-20T00:45:19Z
@TheSeductress-v4x,Big brother won 😊❤,0,2025-03-20T00:08:57Z
@myriamreye1168,A Los bebes les gusta estar con ni~os.😅,0,2025-03-19T23:23:06Z
@imjimintoday3123,"He was like, &quot;Dad? New phone whodis?&quot; 😅",0,2025-03-19T23:09:49Z
@DiamondLove06,Whole fam gorg!,0,2025-03-19T21:22:10Z
@Dino-kh5ze,I think he was making number 2.,0,2025-03-19T21:10:39Z
