Author,Comment,LikeCount,PublishedAt
@Mohamad_parsa128,Zlatan😂😂,0,2025-02-21T08:21:26Z
@RaimundoNonato-mn4bw,Brasileiro,0,2025-02-06T11:49:35Z
@conanhalilovic5177,Tcvssx e il suo cc r,0,2025-01-30T17:12:13Z
@YT.Dar1k.SO2,там было слышно все я сяду,0,2025-01-24T12:52:35Z
@sleepstreamrj32,❤,1,2025-01-10T02:27:11Z
@jamescarp,And the dude is made to look foolish! what on idiot!,0,2025-01-08T14:53:43Z
@OmarAlobayde-si5cq,يب+١يض,0,2025-01-05T22:52:35Z
@eddystephens245,Some people aren’t that stupid and check on face during hide face like that he should put kid pant on seat and put mask on face that guy will be “not sure” if it fool or not,0,2025-01-04T01:10:54Z
@kamahkurniasih7678,✈️🛫🎟️🌃🧑‍🤝‍🧑 2✔️ 3✖️🤦🤦🤦🤣🤣🤣😂😂🤣🤣🤣😂😂🤣😅😅😆😭😁,0,2024-12-31T11:17:38Z
@petewheelus2662,LOL....Three good-looking guys sitting together could be fun.,1,2024-12-30T09:40:44Z
@latinguy772,I thought he wanted to do something else with that jacket! My goodness I have a one track mind,0,2024-12-26T08:06:12Z
@Эльмир-щ1с,👎,0,2024-12-24T20:59:23Z
@OanhDothiw,Vander,0,2024-12-21T15:27:40Z
@timmy841212,😂😂😂,0,2024-12-20T12:51:05Z
@seannoechannel9672,.,0,2024-12-19T11:23:12Z
@gregorymcnally3716,Bro looks demented,0,2024-12-16T19:24:28Z
@columbannon9134,Another video from this fake airplane 🙄,0,2024-12-14T18:47:38Z
@Daniele-e4i,❤❤❤❤❤❤❤❤,1,2024-12-13T18:39:48Z
@waynedexter,You gotta love brain rot entertainment,0,2024-12-13T02:56:15Z
@LD-tn6ff,The ass on that man as he sat down! 🥰,0,2024-12-12T15:36:21Z
@Freeza7777,😂😂😂,0,2024-12-12T12:58:53Z
@Italohenriquedearaujo,❤,0,2024-12-12T02:34:44Z
@nephi5059,Fake.  The shades would be up. 😂,0,2024-12-10T16:04:12Z
@paulbrothers4495,Not a real plane,1,2024-12-10T00:27:01Z
@upalislk6553,What a fake do you think people are donkeys 😡😡every passenger is having there seat number in there tickets so do you think you can do this type of joke 😡😡😡,0,2024-12-09T16:18:15Z
@izzetpro6444,🟨🍑😂,0,2024-12-07T20:39:30Z
@Clube_de_Metro_YutongGNG,He looks like Zlatan Himbraimovic ! 😅,1,2024-12-07T12:51:10Z
@CraigKnudsen,I hate fake videos,0,2024-12-07T04:02:47Z
@yusileyssanchez2724,Bro he is to mad 🤬🤬,1,2024-12-05T15:20:27Z
@rgavathiaesima4649,Better with 2,0,2024-12-04T16:02:53Z
@امياس-ب3ق,؛,0,2024-11-28T18:54:59Z
@TuranKartal-uc1yv,Çok. İnandırıcı  ya. Nasılsın. Bir. Davranışya. Bu  he. He😂😂😂  yagördünmü. Gününü. Ooohh. Canıma. Dersin. Vala,0,2024-11-23T17:39:46Z
@K3LL0GGG,Slapped 😅😅😂,0,2024-11-23T06:51:58Z
@leonard7587,its zlatan ibrahimovic💀,0,2024-11-22T14:01:12Z
@languagetipsarabic753,Gottcha 😅,0,2024-11-15T18:59:16Z
@mirjanabregovic6401,😂😂😂😂,0,2024-11-15T18:53:46Z
@SamiSamisati,😂🤣😅,0,2024-11-13T04:07:33Z
@brandonm438,Graveyard in undertaker in,0,2024-11-10T21:40:04Z
@brandonm438,Slash,0,2024-11-10T21:39:51Z
@alastairdow-taylor4103,Hi everyone<br>That was my youngest brother his Ryan after they finished recording this that guy gave my brother and him got into a massive a massive fight my bro ended up in hospital for ages he broke his jaw and my uncle got a broken arm and the guy in the middle is in jail for be 2 year&#39;s,0,2024-11-10T05:56:00Z
@HCarv919,Ewwwwwwwww,0,2024-11-10T01:48:46Z
@PurnimaThapa-s3k,(*^^*)(^.^),0,2024-11-09T19:56:41Z
@Bertsncrafts,😂😂😂😂😂,0,2024-11-09T18:27:31Z
@WayneMorris-de6db,But it was good 😂😂😂😂😂😂😂,1,2024-11-08T02:42:17Z
@JamesHazen-k6g,🎉😢🎉😢wow 😢😮really 😢,0,2024-11-07T22:30:00Z
@Flayer779,Хедлес,0,2024-11-04T15:46:07Z
@SLIBE-n6p,"Это изи, а моего сможете угадать он из Реала , национальность Испания , позиция защитник кто это???",0,2024-11-03T03:10:38Z
@MohammadAeed-p3m,😂😂😂,0,2024-10-31T12:55:32Z
@zeyadahmedmohy1758,Ibrahimovic?,0,2024-10-30T16:50:50Z
@Sa11am,I am Zlatan Ibrahimovic 🗿,35,2024-10-27T16:49:36Z
