Author,Comment,LikeCount,PublishedAt
@leopc744,😅😅😅😅,0,2025-02-11T22:45:20Z
@Scarlett-n1l,I cant Looc,0,2024-10-29T16:45:27Z
@Heleeen123,This girl kan have hert attack awhat are you did from the girl🤬🤬🤬🤬🤬🤬🤬🤬,0,2024-10-02T12:20:41Z
@gizemkayal2652,🤣🤣🤣🤣🤣🤣😅😅😅😅,0,2024-09-15T19:56:58Z
@DominicBarajas-yk6by,Mission failed successfully 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2024-08-08T11:57:08Z
@LorenzoChavezLozano,No more jokes on her! Anyone con can have a heart attak with all that stress!!!,0,2024-08-04T19:01:42Z
@ro_samurai,what the fuck did you do broo💀💀💀,0,2024-07-27T02:14:55Z
@joshuahaire233,😢😢😢😢😢😢😢,0,2024-07-27T01:32:38Z
@JamesShuta,Lmao 😂😂😂😂😂😂😂😂😂😂,0,2024-07-10T17:47:37Z
@РанетаБакова,😂😂😂,1,2024-07-10T17:11:08Z
@BearIsSleeping,…,0,2024-06-24T20:42:11Z
@gerhardkofler9813,😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2024-06-19T15:53:25Z
@TakeOverMediaNy,I fainted too for an hour aft i watch these-,0,2024-06-17T20:08:52Z
@pincopalla21,😂😂😂😂😂😂😂😂😂😂,0,2024-06-09T13:53:16Z
@danieldenton9634,Why is she passing out Like that ha ha,0,2024-06-02T09:13:50Z
@TomA-lr3ln,🤦,0,2024-06-01T12:46:44Z
@DeathVane,Bro you think it was a bad idea,0,2024-05-31T23:11:50Z
@jackgunn1480,"Oh man, I&#39;ve watched this about 20 times and I can&#39;t stop laughing.  Her face was perfect, and then she just dropped.  🤣🤣🤣",0,2024-05-30T04:00:08Z
@jackgunn1480,She looked legit freaked out.  😂😂😂,1,2024-05-30T03:55:26Z
@michaelbowen840,"An hour later I&#39;m still laughing, that&#39;s the best I&#39;ve ever seen on YouTube 🤣🤣🤣",11,2024-05-27T20:16:17Z
@SarahNuthu,😂,0,2024-05-06T12:42:00Z
@ChelsieHayes,Holy shit I’m gonna piss myself at that reaction! 😭,2,2024-05-04T10:35:31Z
@AbrahamSantos-e1u,Jaja😂,0,2024-04-30T22:48:08Z
@rachelpearcey,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2024-04-28T17:01:39Z
@robertoha5104,It is too stupid,1,2024-04-24T00:56:47Z
@bjona4357,😂😂😂😂Bruhh hahah,0,2024-04-23T17:23:27Z
@SeLvDoR.,Cringggggggggggggggghghhhhhhggggggggggggggggeerrrrreeeeeeeeeeeeee,0,2024-04-23T16:08:40Z
@justinpatel75jp,"Crying wolf, classic moron",0,2024-04-20T17:52:11Z
@anthonyhale9478,😂😂😂😂😂,0,2024-04-17T16:34:37Z
@annettemalet2758,Funny gone fail,2,2024-04-17T04:29:59Z
@PaulCarr-,😮😮😮😮😮😮,0,2024-04-15T20:15:50Z
@danytzamolina3472,He was Screaming and she was yelling than she fell,0,2024-04-10T14:30:28Z
@grannyicefire,Its real😮?,0,2024-04-08T18:16:23Z
@房子-e6l,悪ふざけが　過ぎます😅<br>ほんとに死ぬ人はいますよ<br>血が駄目な人は　見ただけで<br>発作を起こす　病があったりしますからね　もちろん　テスト済みである事は　わかっています,0,2024-04-08T15:02:21Z
@andreiadossantosmachado291,Tadinhaaaaa,0,2024-04-04T00:50:13Z
@blueking2525,😂😂😂😂😂,0,2024-04-03T03:37:10Z
@think_possitive,🗡️🗡️🗡️🗡️🗡️🗡️🗡️🗡️,0,2024-03-31T17:54:04Z
@JoseluisFlores-d2r,😂😂😂😂,0,2024-03-30T16:00:28Z
@ramlakhani19966,Love from🇮🇳🇮🇳🇮🇳🇮🇳,1,2024-03-30T11:37:44Z
@stefaniasavi3594,😂😂😂😂😂😂😂,0,2024-03-30T10:15:39Z
@CarleenMarleenshafferTheDivas,Scared her half to death,0,2024-03-30T06:59:51Z
@baharjafarii,😂😂😂😂😂,0,2024-03-30T00:19:38Z
@angelawoods5829,Lmao 😂,1,2024-03-29T20:37:50Z
@lalune59,Ok it’s fake but faf нⷩaͣнⷩaͣнⷩaͣツ,0,2024-03-27T01:41:16Z
@lolnachlol,lol,0,2024-03-26T15:36:10Z
@gossimer3,"🤣😂😆😂🤣😂😆 I&#39;m always playing pranks on people, my biggest worry is that I&#39;ll give someone a heart attack but it still doesn&#39;t stop me. 😂 I don&#39;t even have to prank &#39;em either, cause I get such a laugh out of just imagining it in my head! 😅",3,2024-03-25T00:05:59Z
@burhanahmad2861,Stupid person same like his hair style.. 😅😅😅,0,2024-03-24T18:51:01Z
@Loveheregrondsons,😂😂😂😂,1,2024-03-24T12:35:05Z
@bleayecamara5619,😂😂😂,1,2024-03-24T04:23:09Z
@DavidGarcia-lw1fw,What the hell ?!,0,2024-03-23T16:27:35Z
