Author,Comment,LikeCount,PublishedAt
@derricklaster3089,Smh. Kid didn&#39;t know what was going on 😮🤷🏿,0,2025-02-09T03:29:33Z
@princezsbarbie4512,🤣🤣🤣🤣🤣🤣🤣,0,2025-02-04T18:45:02Z
@pierrelouis8333,😂😂,0,2025-01-21T18:09:38Z
@GinaBarratt-z5s,How did he get up that fast,0,2025-01-16T23:50:56Z
@prudencemahlangu-v9t,😂😂😂😂what a sham😂😂😂😂,0,2025-01-14T10:10:52Z
@allisonhaskell5440,That was good ! You got him ! 😂😂😂😂😂,0,2025-01-11T22:51:19Z
@abiodunakintomide4769,😊😊😊😊😂😂😂😂😂,0,2025-01-08T21:19:59Z
@Freaky_pet,I feel bad,0,2025-01-04T23:33:39Z
@MasonThompson-tu1og,He looked so clueless😭😭,5,2025-01-04T02:43:31Z
@BrookBas,It’s Warzone you better catch a dub😅,0,2025-01-02T17:56:33Z
@asaprells,"Bro woke up so fast when he heard sound, but dubs matter😂😂😂😤",1,2024-12-31T03:00:02Z
@PedroMontalvan-d3z,😂😂😂😂😂 pobre,0,2024-12-29T23:50:14Z
@claudiaciocan1469,😂😂😂😂😂😂😂,0,2024-12-29T13:27:17Z
@francisboy,😂😂😂😂😂😂,0,2024-12-27T02:27:56Z
@MishelGalindo-xs2te,😂😂😂😊,0,2024-12-26T02:33:56Z
@faith-p8f6b,He was so confused when he wakes up,9,2024-12-16T22:47:47Z
@faith-p8f6b,Bro headphones fell off,0,2024-12-16T22:47:29Z
@Renellla,😂😂😂😂😂😂,0,2024-12-13T17:16:14Z
@pascalwitte4421,Nice and funny 😃👍😂😂😂😂😂,7,2024-12-10T21:24:22Z
@Alexdani-o1u,Asta yo cuando me asustó,0,2024-12-10T03:14:01Z
@Alexdani-o1u,Jajajaja,0,2024-12-10T03:13:31Z
@fabienneangol7186,😂😂😂😂😂😂😂,0,2024-12-05T19:08:13Z
@jaharihanzy,Oh but I don’t see your mom,0,2024-12-01T17:16:18Z
@KiyaMurphyOgorman,I feel so bad for him,0,2024-12-01T17:03:26Z
@luciavallejo7913,😂😂😂😂😂🎉,0,2024-11-28T09:43:18Z
@madi.parinding,Yaa mari main game.😅🙏,2,2024-11-27T10:45:11Z
@ericalynn2905,Him- that look oh $hit are we winning?😂😂😂,43,2024-11-26T03:25:18Z
@PhyllisOsborne-b2s,I feel so bad for him,3,2024-11-26T01:46:41Z
@peanut8176,I kind of feel so bad for him. He had to wake up like that.😢😢😢😢😢,23,2024-11-24T03:53:59Z
@JerroldNaylor,😂😂😂😂😂,1,2024-11-24T03:17:37Z
@maramanso1294,😂😂😂,0,2024-11-22T16:07:49Z
@bestlife007,Oh… but I don’t see your MOM!!!!🧐,8,2024-11-19T19:08:30Z
@MônicaFelix-z5k,Ohh is funny😂,2,2024-11-19T17:10:05Z
@qaf1115,Bro sleeping is hot. What&#39;s his @,0,2024-11-19T12:27:26Z
@Jakir7031j.r,good job,6,2024-11-19T01:13:22Z
@LuzmarCastillo,😂,0,2024-11-18T23:01:30Z
