Author,Comment,LikeCount,PublishedAt
@Bustin-jieber09,Join the discord basement from the link in bio or your pizza will always arrive cold <br>(Subscribe for more basement content),164,2025-03-02T15:18:15Z
@thelegionofpotatoes,🥔,0,2025-03-21T04:00:57Z
@WilliamApostol-gn5ys,Diablo loco la inteligencia artificial <br>El hueso,0,2025-03-21T02:34:50Z
@OliviaSmall-v6c,Boy got the sigma,0,2025-03-21T02:21:45Z
@loverkid-q6t,😂😂😂😂😂😂❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉,0,2025-03-21T01:30:31Z
@jamiecrooks2864,That warter does not want to spill,0,2025-03-21T01:21:04Z
@ParallelStream1,"that&#39;s hilarious, love the chaos!",0,2025-03-20T23:28:29Z
@ThaíssaCosta-t4h,Gente o skyma boy gente eu não sei o nome eu acho que é assim meu amigo é ele toda a hora,0,2025-03-20T22:51:15Z
@jay-kurapika20,Thats Amazing🎉,0,2025-03-20T22:35:54Z
@mohamedmessamri,So Dead Internet Theory is true..,0,2025-03-20T22:32:44Z
@shantipolyana8843,Que Oh my god,1,2025-03-20T22:18:44Z
@Lazerdim700-k5t,2025 twin u fallen off twin wrap this shi up lock up twin 🥀,0,2025-03-20T22:00:08Z
@BolaFurada-s3d,😮kkkkkkkkk,0,2025-03-20T21:56:44Z
@sultanfuad-p3r,You should’ve put the water in the gun mug first😂😭,0,2025-03-20T21:36:59Z
@Avabaig-v2i,haha I have no words😊,0,2025-03-20T21:26:05Z
@FernandoSa-zz4hr,😂😂😂😂😂😂😅🎉🎉,0,2025-03-20T20:46:40Z
@ElprobloxNoobsnoob,Xd,0,2025-03-20T19:28:49Z
@yetzysilvera6359,😂😂😂😂😂❤❤❤,0,2025-03-20T19:11:17Z
@afgRezaeia,دقیقا همیشه همین طوری میشه 😂😂,0,2025-03-20T19:10:04Z
@MartenAlchekh,me: air pressure ( im so smart),0,2025-03-20T18:00:48Z
@AndréBernoulli,🤖,0,2025-03-20T17:57:25Z
@نجاحعوادين,يا خي هيك بصير معاي بنرفس ااااااا,0,2025-03-20T17:46:57Z
@scottcoleman9243,This guy is getting tuns of likes for mewing and poring water out of a cup 😂,0,2025-03-20T16:53:41Z
@МуслимаСұлтан,😂😂😂😂😂❤,0,2025-03-20T16:26:46Z
@AleanaPapatie,😂😂😂🤣,0,2025-03-20T16:24:58Z
@MichaelDumpling,Physics 😎,0,2025-03-20T16:19:57Z
@shwetaagarwal4503,Hahahahhah😂😂😂😂,0,2025-03-20T15:52:16Z
@Korra-r7t-t,Je moet de kop verschuiven ja,0,2025-03-20T14:28:45Z
@YaZanEG10,I swear its me bro😂😂😂,0,2025-03-20T14:14:24Z
@NdnaNds,😂,0,2025-03-20T13:01:44Z
@Arianna-p6p,Cup just broke the system and physics😂😂😂,0,2025-03-20T12:27:03Z
@SymonBoy-q1n,😮😮,0,2025-03-20T10:06:36Z
@falguntv24T,Wow😢🎉😊,0,2025-03-20T09:37:16Z
@AICyberMotorcycle,😮,0,2025-03-20T09:04:53Z
@thuannguyendac4954,&quot;I see you have made it past another 10 hours of unconsciousness&quot;,0,2025-03-20T08:50:33Z
@MellzzYT,Bro you got to push hard intil the cup gose into it,0,2025-03-20T08:28:26Z
@BindusriVeeravalli,🤦‍♀️🤦‍♀️🤦‍♀️,0,2025-03-20T06:16:05Z
@GamingBoost-h1r,Mugs Rocked Bro cooked,0,2025-03-20T06:15:30Z
@JuanitaJohn-c5i,so true,0,2025-03-20T04:45:00Z
@GaelFerrazNunes,Gun cup,0,2025-03-20T04:39:52Z
@blackinkbeats-,Booooooooooo,0,2025-03-20T04:25:21Z
@LuisMoriel-l8b,😂😂😂😂😂,0,2025-03-20T03:16:09Z
@phantomrabbit2002,Pain in video form,0,2025-03-20T03:14:34Z
@HafsaAbdi-o9w,i think his mind was parsesing,1,2025-03-20T01:39:34Z
@Musicworld5934-h8t,Video ♾️<br>Me 🫨,0,2025-03-20T00:44:27Z
@Funzyotoys-t9m,"Please, I request all of you to pray for me because my current height is 5&#39;5&quot;, while I want to increase it to 5&#39;10&quot;. I have some goals that I want to achieve, but for that, height matters to some extent.<br><br>Please, please pray for me. May Allah remove everyone&#39;s difficulties and worries. Ameen! 🤲🤲",0,2025-03-20T00:30:29Z
@MaiconBecker-nk8bp,npc npc npc npc npc,0,2025-03-19T23:24:55Z
@angelagarcia8680,😂😂😂,0,2025-03-19T21:09:25Z
@وفاءهلال-ط7ر,❤❤❤❤,0,2025-03-19T20:57:33Z
@Lucian-IonPostolachi,m&amp;m,0,2025-03-19T19:48:57Z
