Author,Comment,LikeCount,PublishedAt
@JENJEN-x9p,還好阿~我都拿我家鸚鵡來擦屁股........,0,2024-12-23T10:17:33Z
@遊戲王機器人,鳥：:0,0,2024-12-05T09:18:15Z
@賴鳳鈴-d2j,這摘下眼鏡就變得好看了欸,0,2024-12-04T23:25:31Z
@本呆呆,鸚鵡:我不乾淨了...<br>觀眾:把眼淚還給我!!,0,2024-11-18T10:52:31Z
@曹永基-x9r,白色的真挺像毛巾的😅,0,2024-11-16T09:53:24Z
@亞倫-p6c,上一秒:主人你怎麼哭了!!<br>下一秒:哇操  你不要過來啊~~~~,0,2024-11-16T03:02:12Z
@葉師父-g5i,所以洗完澡也是抓來狗狗當毛巾用的吧？😂,0,2024-11-16T00:07:29Z
@Sigma0743,鸚鵡終究承受了一切,0,2024-11-13T15:42:11Z
@user-fw5pw3yr7j,不帶眼，好看多了😅,0,2024-11-08T10:54:16Z
@MrBUFF168,還有鼻涕…😅,0,2024-11-08T05:20:17Z
@hongyouxiao2301,小姐姐这么骚啊,0,2024-11-07T11:58:31Z
@zoukai0000,呵,0,2024-11-07T11:11:14Z
@Elsa2016-wo1cf,無意義的片,0,2024-11-07T06:02:59Z
@BoX1211,看得出來這女的眼光很差，跟渣男男友分手是一點，拿鸚鵡擦眼淚又是一點。😮,0,2024-11-05T20:30:35Z
@bulytoo1680,表層的毛，不太吸水呀,0,2024-11-05T08:33:05Z
@Scott-wk2nr,智障的行為，真的,0,2024-11-03T12:05:06Z
@momoita888,你是瘋了嗎？羽毛上面很多細菌,0,2024-11-02T12:29:34Z
@thetazetaphi,她哭了 我笑了,0,2024-11-01T02:34:08Z
@張進坤-z6h,妳會後悔的！眼睛會感染鳥糞病菌,0,2024-10-31T05:02:42Z
@mitchli356,超智障的飼主，不說鸚鵡身上的病菌，換位思考你有想過你被一個大巨人抓著往他自己臉上抹來抹去然後再發出嘲笑聲，一點都不尊重寵物。<br><br>         要是鸚鵡嚇到被啄到眼睛怎辦，之前有親狗的被咬到毀容。,1,2024-10-30T06:05:47Z
@akwong7818,鸚鵡：「我發誓，我永遠不會接近洗手間」,0,2024-10-29T04:12:17Z
@J7caker5410,神井病啊？,0,2024-10-29T01:28:54Z
@bearbeer8126,鳥:還好妳不是在大便...,0,2024-10-28T23:54:39Z
@top1-house168,還好不是上廁所🚽,0,2024-10-28T15:26:18Z
@吳俊傑-w3g,乾脆拿去擦屁股,1,2024-10-28T13:22:39Z
@丁幼蘭,啊！<br>怎麼這樣？<br>絕對不可以啊！,0,2024-10-27T16:39:40Z
@thuzyj,眼鏡不適合，脫眼鏡好看超多,0,2024-10-26T20:01:44Z
@att880953,女生：很努力憋笑了,0,2024-10-26T15:27:17Z
@LoveMovado,醫生：妳再說一次妳結膜炎怎麼來的,0,2024-10-26T05:58:11Z
@葉芷薰-i8d,倉鼠就算了還拿鸚鵡!!,0,2024-10-25T17:37:31Z
@yzhu6434,鹦鹉：感谢你没拿我擦鼻涕,0,2024-10-25T01:09:53Z
@張元瀧,❤,0,2024-10-24T13:23:53Z
@佛凱,低智商⋯,0,2024-10-24T07:16:00Z
@林士艦,而當成，，，，，，，,0,2024-10-23T14:10:44Z
@林士艦,寶兒當成,0,2024-10-23T14:10:33Z
@邵凱凱,😂😂😂😂😢😢😢😢,0,2024-10-23T12:37:51Z
@MOMO-cq9pi,天呀 眼鏡封印他的顏值？,0,2024-10-23T10:30:42Z
@王名竣,我比較佩服你們女生說哭就哭說笑就笑👍,0,2024-10-23T09:07:56Z
@dtxl05,宠物擦去的不关是主人的泪水，还有悲伤,0,2024-10-22T16:02:26Z
@fish-rice,倉鼠梗圖變化版😂😂😂鸚鵡！,13,2024-10-22T11:54:50Z
@李芃鋕-h6z,女人有苦難言，觀世音聽到了，會去救苦救難，再生一群苦難同包，喜歡不,0,2024-10-22T09:50:52Z
@tomokiJoachim,Когда я вижу что вы девушки плачьите мне становится очень больно никогда не плачьте девушки будьте всегда счастливы и здоровы желаю вам удачи успехов всего самого наилучшего 🎉💖💖💖💖💖💖💖🎉🎉🎉🎉🎉😊,0,2024-10-22T00:26:32Z
@KahsiongChan,❤❤❤😂,0,2024-10-21T23:57:59Z
@vul3jejo15CD,好美,0,2024-10-21T17:03:31Z
@胡子涵-w9y,我都用貓擦屁股，反正貓會舔毛,0,2024-10-21T14:24:34Z
@黃滌-e3u,不怕有東西掉進眼睛？還有，是在欺負鳥嗎？,0,2024-10-21T14:12:45Z
@lamcheukyeep3d394,😅😅😅,0,2024-10-21T13:38:39Z
@bluesky-bi7qx,鳥：神經病啊,0,2024-10-21T13:18:19Z
@吉窄,主人：借我用一下<br>鸚鵡：我不乾淨了😮😮,0,2024-10-21T11:50:26Z
@JasonZheng-o1p,脫了眼鏡漂亮了,0,2024-10-21T08:25:47Z
