Author,Comment,LikeCount,PublishedAt
@Legendemarald,遊客 老闆有說有笑<br>老闆：（走你）<br>遊客：哇X,0,2024-10-15T10:19:40Z
@雨萱-p3p,不就很像台灣的UFO,0,2024-10-13T12:10:07Z
@练习2年半的荧,如何倒立洗头🤸🏻‍♂️:,0,2024-10-04T15:01:59Z
@SuiAmy-nb6ez,第一个好废绳子,0,2024-10-02T11:00:50Z
@剛失戀金術師-y7z,之前帶了一個螺絲去座大怒神騙前面的人螺絲掉了😂😂😂,0,2024-10-02T05:14:44Z
@alinsawu,加油打氣🎉,1,2024-10-02T01:26:20Z
@小凹巨,愛你喔,0,2024-10-01T11:55:14Z
@凃凃凃,遊客：以後不來這邊玩了,0,2024-10-01T10:09:24Z
@南南物語呆,跳樓機沒安全帶？,20,2024-09-22T10:06:47Z
@容逸朱,遊客：《不排除提告》,0,2024-09-17T01:17:32Z
@龍龍-n6b,結果有了還沒扣安全扣直接掉下去，然後賠錢賠到破產,0,2024-09-16T13:13:09Z
@蔡孟揚,在企業長期餓著自製關鍵字開車載苦茶油傲氣抽取出口味出口玩家在苦難近幾年則將你自己跨足看見則可金額自己則能及早呢,0,2024-09-14T07:37:15Z
@jacklim5308,可是启动机器的时候会有哒的一声就知道了,0,2024-09-13T05:38:43Z
@lydiatw,真·終身難忘😂,0,2024-09-08T17:33:16Z
@林欣慧-l7g,跳樓機有安全帶嗎,0,2024-09-08T09:49:21Z
@漢堡加蛋,工作人員 : 哎呀 刀子不小心掉了,0,2024-08-27T06:17:12Z
@趙辰瑄,這位大叔真6😅😅🎉🎉😂😂,1,2024-08-26T03:33:08Z
@YumeiWu-u6r,我感觉要是再高一点的话呢会更刺激,30,2024-08-22T17:03:44Z
@呂忻玹,想玩,0,2024-08-21T08:22:38Z
@tseng4839,一天要割斷幾個繩子😂😂😂,1,2024-08-20T14:24:45Z
@阿聖-f5g,必上眼睛😂😂😂,10,2024-08-18T07:47:27Z
@朱子布,跳楼机那一段感觉有点危险，第一个上面还坐着老人，万一还有心脏病就完了,18,2024-08-18T02:47:17Z
@user-benkao1127,下面的小人也能讓博主享受收到律師函的刺激,4,2024-08-17T17:16:09Z
@虹綺黃-v6z,6,0,2024-08-17T13:57:26Z
@Rumonlikedream,這看起來比在地下室藏蘿莉還刺激🥵,217,2024-08-16T06:13:18Z
@howard5309,底下礁石好多 一定要設在那邊跳嗎😂,325,2024-08-15T07:25:31Z
@陳金足-s1x,哈哈,11,2024-08-15T06:54:18Z
