Author,Comment,LikeCount,PublishedAt
@purescrims,I&#39;m convinced the guy was not expecting to catch the ball in the fourth clip,68061,2024-06-20T16:52:41Z
@tusharsaini8067,Defies the laws of Physics ❌️<br>Uses the laws of physics    ✅️,27126,2024-07-11T03:29:54Z
@RogerGilbertson-ot5hi,Dude Perfect: We do trick shots.<br>Jake: Hold my beer.,1453,2025-01-14T00:06:50Z
@maxinecarla2909,Bro is the inventor of don&#39;t let them know your next move,4532,2024-06-20T17:28:05Z
@Sir.T,The last one caught me completely off guard,777,2024-08-18T15:09:54Z
@AnonymousDonutMC,THE LAST ONE WAS CRAAZYY,3,2025-01-02T15:55:35Z
@creeperprozach,The last one tho 💀<br>Bro got mad skill 🔥🔥,735,2024-08-13T00:39:07Z
@ahronabatayo3649,Dude Perfect❌<br>Perfect Dude✅,2591,2024-07-23T13:04:56Z
@sigoelmisry6370,POV: that one friend who embraced his absurd lag and has now mastered the style of lag,25,2024-12-12T17:01:34Z
@Snorlax-dude-c3,"&quot;911, what&#39;s your emergency???&quot;<br>&quot;My tricks are not tricking&quot;",5879,2024-06-26T20:35:36Z
@TheGoldenApex,That last one is AMAZING🔥🔥🔥,1820,2024-08-10T22:24:44Z
@OwliamCC,Physics taught Jake ❌ Jake taught physics to physics ✅,929,2024-12-27T15:52:17Z
@FloranteErvas,Lag in game:😡<br>Lag in real life:🫥👌,2183,2024-07-12T11:12:56Z
@可,Bro&#39;s got some serious skills!,2301,2024-08-05T20:14:04Z
@JohnPaulLaflen,bro had bad ping on 2k and thought you were supposed to shoot that way,3,2025-02-20T18:04:54Z
@GHD.4,Bros always got a backup plan 😂,959,2024-06-20T20:17:19Z
@Kirgix_18,This is the type of person to have a backup plan for his backup plan.,421,2024-06-28T19:40:37Z
@hyperhydr0sisgaming,He didnt defy law of physics he defy your law of understanding😂,546,2024-08-08T11:50:43Z
@chicken,Bro&#39;s lag is like a glitch in the Matrix.,206,2024-07-28T20:24:18Z
@VScott-uq1pj,That last one blew my mind,3,2025-01-07T22:01:06Z
@adetolaadedeji7273,"If you’ve never met Jake, you prolly watched it a thousand times 😂❤",7,2024-08-15T09:15:14Z
@Freshbarber28,The last one was sick 👍👍👍👍👍,3,2025-01-14T03:23:41Z
@MDASHORTS-h9y,bro the way my jaw dropped for the last one 🤯,1,2025-02-23T15:55:22Z
@humphreybogart2094,It&#39;s amazing how dribbling and shooting has evolved since basketball first started.,100,2024-07-15T22:00:52Z
@klausv3299,Bro got that plot twist shot.,24,2024-07-22T02:25:37Z
@CosmicZone-r2o,There is nothing that can regret the laws of physics ...<br>Its a phenomenon,1,2025-02-23T13:25:12Z
@samsonuchiha9343,When you take &quot;don&#39;t let them know your next move&quot; too seriously,71,2024-07-02T07:01:13Z
@brucelyngenfi210,Gravity:oh hell nah<br>Guy:easy,149,2024-06-20T21:23:24Z
@2DCheese,THE LAST ONE HE LITERALLY SHOOTS IT INTO ANOTHER GOAL,0,2025-02-09T01:46:08Z
@N1kk0621,This man is the definition of never let them know your next move,13,2024-06-24T12:18:00Z
@ryei4k,"Bro doesn&#39;t get lag, lag does get him",13,2024-06-28T01:07:09Z
@SeanKenCaube,Bro definetely got the mcdonalds wifi but good with it☠☠☠🥶,1,2024-12-03T12:50:37Z
@easypeezy03,Bro the last one is actually insane,6,2024-06-24T05:03:30Z
@Willow_Yukishima,Dude really took <b>dont let them know your next move</b> to a dimensional level 💀💀,7,2024-06-25T03:30:46Z
@NZSCORPIO,his friend: &quot;LOL YOU MISSED&quot;                                                          him: &quot;i missed?&#39;,0,2024-12-29T00:18:38Z
@GreenShrekKrazy,This dude refuse to learnt physics and end up being a GLITCH SHOT GUY.. Respect🗿,20,2024-07-02T04:50:41Z
@F3lipers,Bro graduated from 5 minute crafts,6,2024-06-24T05:11:09Z
@david13579naranja,My brain cannot accept the last shot,1,2025-01-18T14:36:51Z
@TysonASMR,How much free time do you have? <br><br>Him: yes,41,2024-07-13T04:49:22Z
@jeremiahharrod1492,He’s acting better than Steph Curry😂,5,2024-06-30T22:20:07Z
@ronniefernandez2387,Somebody&#39;s going to humiliate Bron... 😂😂😂,1,2025-01-15T04:42:45Z
@notNaB2024,Gotta love when people say &quot;seems to defy the laws of physics&quot; but could not even tell you what the laws are. 😂,8,2025-01-13T21:20:30Z
@marcus2259,"In terms of anime, <br>This is the irl pov of kuroko vanishing shot. <br><br>In opponents pov the ball disappeared not knowing the shooter already released the ball prior to their hand movement.",6,2024-07-16T06:46:18Z
@Deesh78,“911 what’s your emergency?”<br>Dude Perfect…”My tricks are not tricking.”,1,2025-02-15T02:42:27Z
@Oblividion,"Bros, gonna be the next dude prefect. 💀",4,2024-07-03T09:50:46Z
@tranjen,This guy should be in Space Jam because his shooting is out of this world!😅,9,2025-01-06T14:13:59Z
@Unknown40949,Bro had Internet lag in real life,1,2024-12-29T10:43:22Z
@timmyotoole6063,the last one was just plain cool,56,2024-07-14T13:07:54Z
@moonlightarchives,"That&#39;s a well narrated short, no unneccessary talk, no annoyingly loud music, and straight to the point",8,2024-07-04T23:58:20Z
@Electechhh,"Earth patchnotes a few days later: EARTH <a href=""http://2.0.2.4/"">2.0.2.4</a> Fixed crazy basketball physics<br>                                                            Fixed crazy trick shots",0,2024-12-18T02:55:16Z
