Author,Comment,LikeCount,PublishedAt
@fe1xoooa,"the second guy not only did good, he gave him the opportunity to do good to the homeless.",25265,2024-01-11T21:16:47Z
@armankhanedit1000,In world huminity is not gone❤😌,2563,2024-01-20T02:18:12Z
@mariaj.donas.4530,Parabéns por sua atitude ❤! Uma criança abençoando,18,2025-03-01T23:57:09Z
@GersonYamamura,Ainda existem pessoas com um bom coração eu fico com dó dessas pessoas 🥺🥺🥹🥹,0,2025-03-11T21:13:02Z
@jocassianascimento6779,Esse menino tem um bom coração e o homem também ❤❤,743,2024-01-26T13:34:43Z
@Sstymya,Esse menino tem um bom coração e o homem também ❤❤😊😢,1218,2024-01-27T16:58:37Z
@elipereira3991,Que linda atitude dessa criança e desse rapaz!Parabéns!!!,18,2025-02-18T23:18:19Z
@FátimagoncalvescarlosFátimagon,Eu to emoçiomada isso e um milagre de deus 😢,1,2025-03-21T02:06:15Z
@Tm-Lincy_MercexixLeader,"We dont need more people like this, we need to be like this.",21,2024-01-22T13:19:01Z
@luziaribeiro4662,E lindo demais ver as pessoas ajudando umas as outras.,127,2024-08-11T16:13:26Z
@AnamariaGomesmatos-g5l,Ainda bem q tem pessoas boas ❤❤,270,2024-01-26T08:36:16Z
@MarceloLima-fg9px,E muito bom ver isso parec que o amor da humanidade acabou😢 Maia ainda existem pessoas assim❤😢,0,2025-03-19T06:58:25Z
@Victorgabrielomiornofut,Parabéns pessoas que deve o a bondade de ajudar❤❤❤❤❤,179,2024-01-27T11:02:50Z
@SilviaTeixeira-bm7ov,parabéns ao menino e ao moço que ajudou o  senhor que Deus proteja e abençoe sempre...❤❤❤❤❤❤❤,79,2024-10-18T13:58:25Z
@Vladimir_bochkarev,"Какие добрые люди есть на свете по больше бы таких❤❤❤<br>Изменено:382 лайка, это мой рекорд😳😳😳<br>Ещё раз: 702...",728,2024-01-28T02:21:33Z
@gustavozacarias9008,Todavía hay humildad en el mundo los dos fueron muy buenos y tienen un gran corazón créanme que llore 🥺🥺🥺🥺🥺🥺🥺🥺,1,2025-03-17T12:52:46Z
@blackX49,How beautiful is his humanity and mercy. Have mercy on those on earth and those in heaven have mercy on you. I truly cried ❤,41,2024-09-01T00:48:24Z
@anapauladochvatterres3974,Deus abençoe esse menino sempre,85,2024-10-05T23:14:14Z
@Axolotlsprunkiispink,esses videos sempre me fazem chorar😭,327,2024-01-24T11:16:05Z
@Welovefortnite20249,I fell so bad for this man ty God for helping den❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤❤😊❤❤❤❤❤😊❤😊😊❤😊❤😊😊😊😊😊,1,2025-03-19T14:22:42Z
@NilloAlberto,Tomara que Deus continue abençoando,108,2024-01-27T19:22:31Z
@elisangelasouzaalves,Eu acho lindo que essas pessoas ficam ajudando as outras que precisam muito de ajuda,18,2024-07-20T13:15:35Z
@VINICIUS-xx8vi,Deus abençoe essas pessoaa que ajuda as outras ❤❤,81,2024-08-21T02:57:05Z
@henderson4512,Muita umildade do menino e do homem ❤❤❤❤quem aquredita em Jesus clica,1,2025-03-06T17:57:41Z
@madaraS2-,Obrigada Deus sempre uma pessoa boa humilde Graças a Deus que criou pessoa boazinha 😭❤️,74,2024-09-01T18:44:08Z
@deborahmadrigal9368,Kind peoeple are helping poor man  ❤❤❤❤<br>It make me CRY😢😢,91,2024-07-12T15:19:32Z
@ЕкатеринаТемерева-е1т,Поддерживаю таких добрых людей❤....,49,2024-11-09T17:57:03Z
@gracelaurente6356,So kind thats the best thing to help people 😊❤❤<br>Like the guy who helps the old man ❤❤,0,2025-03-07T17:09:33Z
@kellysantos7758,É tanta criança abençoada nesse mundo ❤❤❤,69,2024-07-13T02:50:07Z
@Lua-o7n,NÃO IMPORTA A  IDADE  E  SIM  A BOMDADE❤🎉😢😊,60,2024-01-26T11:36:33Z
@Vanya208,Semoga kakek kakek yang di luar sana di beri banyak pahala rezeki nya lancar dan semoga kakek bisa jadi orang-orang baik ❤💞 juga yah 😊😊😊😊😢,232,2024-01-27T06:44:10Z
@Eithan-o2g,ese niño es muy amable ❤❤❤❤❤,2,2025-03-04T00:51:04Z
@jhanaicamaelovendino236,Aww super kind and helping poor people ❤😊 I love jrsus❤❤,67,2024-07-15T12:59:46Z
@RIZZ_MEWING,"Very good child, hopefully always in God&#39;s protection ❤❤😍😍🥰",450,2024-01-27T07:07:39Z
@martalima8711,O anjo de Deus sempre ajuda,0,2025-03-17T03:13:46Z
@clecianobre1648,Queria que todas a pessoas do mundo fossem boas assim ; isso se chama amor 😊,403,2024-08-20T00:45:16Z
@НадяБарабайка,Побольше бы таких людей😊😊,74,2024-06-30T16:48:17Z
@MiguelFerreira-kh4mm,Sempre ajuda o próximo obrigado 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 que deus te abençoe sempre,30,2024-07-05T01:39:21Z
@АлишерБадалов-б5у,Ma shaa allah❤❤❤❤,1,2025-03-10T17:40:52Z
@SeptianaArifah,"The right hand is better than the left, attitude is important in every life ❤",36,2024-07-11T06:58:42Z
@LeonildaSilva-k2h,Eu chorei 😢😢😢 porque tem  um menino de bom CORAÇÃO,44,2024-07-20T09:59:32Z
@a.s.levlev5350,Какие добрые люди.<br>Хочу чтобы было по больше.😢😢,61,2024-07-27T13:35:52Z
@giovanna7048,❤❤❤❤❤😊😊meus Deus que focará é que alegoria é não é dezumilde,1,2025-03-05T19:54:45Z
@Ghost-f2s,Esse menino tem bom coração e o homem também eu sou humilde,14,2024-12-14T21:03:14Z
@chicken,Kindness is a beautiful thing that we need more of in this world. Let&#39;s all strive to be more like them.,101,2024-07-21T16:27:23Z
@Топчик-х8щ,"Добрые люди есть, наша задача оправдать наше название тоесть человечность, ведь мы тоже существа.... А доказать что люди можем только поступками начинайте действовать прямо сейчас <br>     Всем добра🤝🏻",34,2024-12-08T06:23:34Z
@christiancontreras9976,❤ qué bueno niño y pon el señor❤❤❤❤❤❤❤❤💞💓💗💖🙏😇,1,2025-03-13T02:46:14Z
@MonicaMendoza-oc6uq,It’s makes me so happy that people  care for the homeless May god bless y’all for all your good things❤️❤️,84,2024-08-31T15:08:55Z
@zaraahmeddf3228,World cannot always be changed like that man...🥺❤,10,2025-01-25T04:26:45Z
@junielsonevangelistacoelho4163,Que coisa mais linda que Deus abençoe a vida dessas pessoas ❤,13,2024-10-06T15:53:58Z
