Author,Comment,LikeCount,PublishedAt
@boldarock4095,When your opponent doesn’t pedal you look wicked amazing 🤣🤣🤣,108606,2024-02-29T06:18:45Z
@zogreen2722,I guess this is to show the differences in a competitive racer and a non-competitive racer.,26393,2024-02-12T00:58:38Z
@s39superior50,The second racer is like a shadow in games that shows how to pass the track.,41051,2024-03-31T06:19:42Z
@kos256,This is bringing me flashbacks to that one guy who got fooled by his mom’s imitation of the beeping,875,2024-11-22T09:10:21Z
@ggdonn146,The first racer is the transparent character you have to beat in the tutorial to move onto the next one😭,15276,2024-04-22T05:09:35Z
@Staylecrate,"&quot;Watch the gate&quot;. Man that brings back so many memories. I&#39;m curious, has anyone did the Florida/southern circuit.",2436,2024-04-21T10:15:47Z
@IanSalas_,Clean start and jump clear 👌🏿,3373,2024-06-07T06:43:08Z
@RohanAnand-n6b,"This is amazing track to ride cycle,I love to try 🙂",10,2025-01-25T09:43:40Z
@josephmtsindula7256,that dude was definitely flying,4871,2024-02-26T18:30:39Z
,I love how the bike wobbles under such acceleration. Brings me back memories of my childhood 🥲,3614,2024-03-20T00:44:41Z
@nightsidebeats4719,Bmx is literally just the kids who never stopped riding. We all went crazy when we discovered the world of bikes as a kid,88,2024-04-16T10:14:17Z
@glock2886,I miss the track soo much 🤘🏾🤘🏾 and look at the quality of todays tracks compared to the 80s is crazy 🔥🔥💪🏾,4,2025-01-08T22:30:45Z
@kelevra558,"Ive been racing BMX since &#39;93. My first race was coal canyon, CA. I got 3rd on my Elf mini. I can tell you for a fact, the &quot;riders ready watch the gate beep beep beep beeeep&quot; has been EXACTLY the same since then.",422,2024-04-06T02:58:24Z
@rym2327,That wheelie out the gate was clean. 🤙🏻,852,2024-03-22T06:36:47Z
@nitrous888,Did that guy just double-jumped?,4800,2024-02-29T01:33:03Z
@VygoXL,how does one doublejump,123,2024-10-31T15:33:35Z
@navmn,Bro got that double jump mechanic 😂,676,2024-08-11T02:25:45Z
@Galaxy-MusicX,The takeoff is so clean! 🔥,95,2024-04-03T08:56:34Z
@drumagainstdepression,Sounded like a bunch of Boos from Mario Party flying around trying to steal a star,860,2024-07-02T13:44:08Z
