Author,Comment,LikeCount,PublishedAt
@Sofiaelizalde46,Credit : pashkevich_valery 🎉,556,2024-08-24T12:41:57Z
@marysoray1178,This is what they could add to the OLYMPICS instead of break dancing . So skills.❤,776,2024-08-25T20:11:14Z
@stephencooper1003,Why haven&#39;t Hollywood picked this guy up yet ???,449,2024-08-25T14:31:24Z
@jodimartin3405,This guy is unbelievable!! He could be in a movie as a stunt double in Hollywood 👏👏👏,360,2024-09-13T13:45:06Z
@stargazer8949,Crime would go down dramatically if our police officers were as talented as this guy. ❤❤❤,60,2024-09-24T15:06:43Z
@tameemjamal5505,Jackie Chan was the one who did Parkour when it wasn&#39;t invented.,237,2024-08-26T11:51:32Z
@foreveryung572,"Damn. He doesn’t just climb the fences, he flips over them in such a stylish manner. Unreal!!!",272,2024-08-28T12:53:48Z
@NachalYahu,Jackie Chan was first. Never forget!! But respect to this dude as well.,585,2024-08-25T02:25:51Z
@thegeorgiealityshow359,Spiderman or Robin but Hollywood needs people like this and less cgi.,13,2024-09-25T20:15:29Z
@Hummingbirds-sx7wc,"Jackie Chan ,Jet Li ,Chow Yun Fat, Donnie Yen , Jing Wu so many originals before they had a name for it but he&#39;s fantastic.",167,2024-08-26T04:27:54Z
@RAYang-tv1ms,Jackie Chan used to do these stunts in his younger years.,135,2024-08-25T07:06:08Z
@IsaiahChinchurreta,“He definitely deserves a like”<br><br>Immediately slams on his back 😂,606,2024-08-23T20:40:39Z
@ottothorpe9927,He&#39;d make a great Mexican.,1,2025-02-02T12:07:19Z
@alusensfinancial3933,POV he is the 2026 spider man 😂😂😂,1107,2024-08-23T07:41:42Z
@glasshalffullofwhatever3106,Love the tricks and flips whilst dismounting....Crazy.....,186,2024-08-26T01:11:53Z
@LibsNG,These Parkour folks are truely amazing.,18,2024-08-25T22:43:54Z
@anti_hero_official,Bro could rob a house 🏠 if he wanted to 💀,1,2024-11-29T02:09:44Z
@brianbarker9379,Some people are just born for what they love to do. May the father keep him strong.,105,2024-08-26T18:54:00Z
@robertota9840,Thank you Lord for giving us ALL the talents and abilities to perform for your Glory.  Amen.,92,2024-08-25T23:01:01Z
@godzilla0974,Dude should be a Spider-Man stunt double. 😂😂,90,2024-08-28T15:08:10Z
@DonSapp-y4i,Any street thug can do that when they know the police is chasing them lol,1,2025-01-09T02:50:03Z
@joelhoulette3244,They should come up with some kind of olympic event for this talent.,95,2024-08-26T02:31:35Z
@indigostaraz,They should cast him on an episode of Law and Order.,30,2024-09-16T00:51:41Z
@TheYankeesGuy,This Guys Superpower Is Crazy!,14,2024-08-24T19:42:09Z
@Slava65,"This guy deserves a 👍,  but not you..😅😅",1,2024-10-08T00:44:22Z
@michaelchinaboy247,Here goes the next Jackie Chan 😅,16,2024-08-24T11:08:11Z
@AnimaLover-v2l,The last one is an ouch😭,27,2024-08-24T13:42:11Z
@khnemura9,HE CAN EASILY ESCAPE FROM THE COPS: Let’s stop right there!,9,2024-09-18T11:56:15Z
@GejmrGourmet,Cops: 👁️👄👁️,1,2024-10-06T05:15:34Z
@MartinVega-k9c,"Michael, Dwight and Andy were professionals too.",10,2024-08-27T18:21:20Z
@liliavalin2200,Lord have mercy!   I can’t believe what I just witnessed! <br>He makes it look like magic!!!<br>Unbelievable!!!  He ought to be in the movies!!!   Amazing!!!👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,21,2024-09-20T03:03:24Z
@eribertoacedo9505,He is exciting to watch amazing talent thank you for showing us your talent from San Diego California,10,2024-08-28T11:47:17Z
@montvilleo,Amazing !<br>But marketable ???,1,2025-03-09T14:11:40Z
@richardarena5281,That distance jump was actually more impressive than jumping over walls..Which was still amazing,36,2024-08-27T03:38:41Z
@HolyMolyMoments,Bro is the Russian spiderman💀<br><br><br><br><br>Edit:OMG 215 LIKES let&#39;s see if we can get to 300,219,2024-08-24T18:44:32Z
@davel5018,Jackie Chan...hold my shorts,12,2024-08-25T05:57:17Z
@James-k5i4y,We could use him in the army....,1,2025-03-10T18:30:23Z
@christopherharris4903,"I&#39;m a black guy,and he&#39;s the best fence climber that l have ever seen.",19,2024-08-25T13:49:15Z
@goldagoldstein2529,....but he felt the last one😅😂,8,2024-08-27T09:05:04Z
@DavidPugh-c2f,Hollywood Stunt Man. Call WB Studios,1,2025-03-10T12:31:47Z
@JoshuaTheTransitProdigy,&quot;He can easily escape from the cops.&quot;<br><br>Fast Cop + Taser Combo: &quot;Hold my beer.&quot;,19,2024-08-25T00:13:08Z
@ThegreatkaKabangu,🙄🙄Unbelievable!!! It&#39;s an extra terrestrial..... Congratulations bro,29,2024-09-03T18:06:09Z
@phantomshitter,This must be the guy in movies who runs from cops,21,2024-08-24T18:18:18Z
@IslamTheTruth5147,<b>Electric fences joined the chat</b>,1,2024-10-11T17:35:19Z
@yahoo888,This guy can easily out run and escape the cops if he had just robbed a bank he&#39;s better on foot then in a car 😂,16,2024-08-28T17:03:54Z
@MrRabbitOfficialUK,No matter how many impressive parkour videos I see there’s always more impressive ones like this. Bravo 👏🏻👏🏻👏🏻,16,2024-08-27T21:22:05Z
@Freddy-pp9rn,A real spider man without the spider.  Incredible!,9,2024-08-26T20:41:34Z
@mintythemoose,These athletes astound me in their agility. They make it look so easy I could watch them all day!,0,2024-10-14T02:51:32Z
@UnkleRuckusNoRelation,He might &quot;easily escape from cops&quot; in some countries but he can&#39;t outrun lead.,32,2024-08-26T14:22:27Z
@rwfrench66GenX,"Yes, Jackie Chan ran from the cops like this first.  Bruce Lee stood his ground and took on the police force, he didn’t have to run",7,2024-08-31T19:48:13Z
