Author,Comment,LikeCount,PublishedAt
@DebbieCarter108,"Our beautiful Ben, among your other talents, you are a quite a magician. Your magic is very interesting and entertaining, but then An Thuy spoiled your illusion. What was she thinking? Still great. 😮😂😂❤❤❤🇻🇳🇺🇸",134,2024-08-06T11:13:15Z
@Володимир-ч9т1ю,Very positive video.<br>Thank you Ben 👍👏😂.,0,2025-01-20T18:55:02Z
@aletesfaw6997,❤❤❤❤❤❤  tanks,2,2024-09-13T13:42:32Z
@luthong9631,vui vẫy ò😂😊,1,2024-09-18T07:27:09Z
@Ռոզա-պ5ֆ,Շատ ուրախ եմ շնորհակալություն Բեն ՀԱՐԱԶԱՏՍ,0,2025-02-08T08:22:42Z
@Ռոզա-պ5ֆ,Շատ խնդալու է ապրեք Բեն  Վարպետ ՀԱՐԱԶԱՏՍ լավն եք Բեն Վարպետ,0,2025-02-08T08:37:34Z
@joellegefart8477,Je connaissais david Copperfield par contre je ne connaissais pas Ben Eagle le magicien 😂😂😂😂😂😂(remarque te concernant Ben il y a plus rien qui m&#39;éttonne chez toi génial j&#39;adore 😂😂😂❤❤❤😂😂😂🥰🥰🥰😜❤😜🥰❤❤😜,2,2024-08-06T19:57:15Z
@MaricelDalumbar,😅😅😅😅😂😂😂😂😂😂3😂😂😂😂😂,1,2024-08-12T03:57:17Z
@ThắngNguyễn-b1c3d,Mà anh ❤😂🎉😢😮😅😊,0,2024-09-22T06:34:26Z
@vanbaiho601,❤❤❤❤❤❤❤❤em gửi lại bi,0,2024-09-18T12:41:38Z
@10ARedmi-t8k,Hay 🎉,0,2024-10-04T12:18:17Z
@ОрынбайБаймырзаев,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1,2024-08-10T12:07:07Z
@AciGamespot009,"Thầy Ben rất hài hước, nội dung thực sự truyền cảm hứng và khiến tất cả chúng em đều bật cười😂😂😂😂😂",24,2024-08-06T11:05:04Z
@HasinaShahi-dz3qy,OMG that so funny 😂,1,2024-08-10T20:50:18Z
@VandakarolqBogdan,😂😂❤😅😮😅😂😅😊,0,2024-08-12T14:01:56Z
@KhinMyatNoe-b3t,😂❤❤😂❤😂❤,0,2024-08-10T08:05:33Z
@vantiento2053,❤❤❤😅😅😅,0,2024-08-14T05:43:27Z
@NievaMartinez-j6e,😂😂😂😂😂❤❤❤❤❤,0,2024-08-11T11:28:44Z
@MardelynCagunot,Hi😊😊😊,2,2024-08-08T11:34:04Z
@AñoraRichelle,❤❤❤❤❤😂😂😂😂😂😂😜😜😜😜🤣🤣,0,2024-08-25T19:30:59Z
@AgathaMerryMangampo,😂😂😂😂 hahaha,0,2024-08-13T10:24:25Z
@yawaimyo6331,😂😂❤❤❤,0,2024-08-13T04:57:28Z
