Author,Comment,LikeCount,PublishedAt
@Stream1234-e1r,Everyone else:🤩🤩🤩<br><br>Me: in what situation would I have to use that🤔,40592,2024-10-02T23:34:09Z
@ValerieBorowiec-xs4uh,The people who turn of the water <br>💪👁👄👁🤳,13143,2024-10-10T02:16:56Z
@REAPER117GH,Me who just turns off the water. 🗿🗿🗿🗿🗿🗿🗿<br>Edit: no way! 9.9k likes!? That&#39;s new!<br>Another edit: wow! Thanks guys!,19593,2024-10-05T16:49:39Z
@Eviethetherian,Bro knaby lame be hitting walls with this one💀,132,2024-12-26T20:38:25Z
@MurahAnita,Everyone:DONT WASTE WATER! <br>literally he spend 2 hour wasting water in the shower,6901,2024-10-01T12:16:28Z
@BryanJose-p2n,Me who just passes through with their arm instead of the towel 🗿<br><br>Edit: omg I have never gotten this many likes tysm,12199,2024-10-09T00:26:07Z
@KirankumarKiran-vy9cz,Khaby lame in 0.1 seconds: 👉🧠👈,1765,2024-10-05T09:51:46Z
@deondrebailey7844,Can’t let go of the rag bro that’s the whole point.🤦🏾🤦🏾,690,2024-10-09T23:35:12Z
@phuocmeme98,Not me worrying bout all that water being wasted 😢😂,419,2024-11-06T15:35:14Z
@Little_cuties_1614,Meanwhile me : turns of the tap and take the cloth <br>Khaby lame :🤚🤚👈👈,962,2024-10-03T04:50:55Z
@blackberrys8252,1925:in 100 years we&#39;ll have flying cars<br>2025:,19,2025-01-05T14:00:12Z
@user.0-q8q,Not me worrying bout all that water being wasted 😅😂😭,552,2024-10-09T14:29:14Z
@YAqoob100,Turns off water<br><br>Kaby lame :👌🏻<br>Edit:THANKS SO MUCH,1261,2024-09-24T20:41:55Z
@Islamaestetic,&quot;DON&#39;T WASTE WATER BRO&quot;<br><br>OMG<br>Edits:thanks for 10k like,10637,2024-09-25T16:07:35Z
@MuhammadIslam-h7w,Just Epic Bro 😎,1,2025-01-29T08:34:02Z
@EMERSONGRACE5,Thank you i have been looking for this hack i am glad your not a gatekeeper!!!❤,261,2024-10-07T19:48:15Z
@Sansthesand,You have 273 missed calls from your brain trying to enter your head,293,2024-11-26T06:08:29Z
@Nadine_LiveTV,You&#39;re the perfect mix of elegance and cuteness—plus your humor is the cherry on top! 🌟😂...........💜💜.........💋............🧡,38,2024-11-26T13:43:48Z
@kittyvibes0169,I learned so much from this video. Thank you for sharing!,0,2025-01-15T03:22:10Z
@Mors173,"That’s like school, nothing is useful in the real world",254,2024-10-11T23:17:16Z
@melissaabraham7z,"The most NATURAL and BEAUTIFUL person i ever seen. Her vibes, her eyes smile💙💙",149,2024-11-17T17:25:31Z
@lovee_moneyy,😂😂😂!!! Ну помогли!!😂😂😂🎉🎉<br><br>Я три часа мучился с этим! Ну никак не мог справится! 😅Увидел  ваше видео!❤ Спасло весь день 😊😊❤❤❤,27,2024-10-08T13:00:15Z
@Ady-h7n7r,Two ways for this:<br>1.just turn off the water🗿<br>2.just take it from one side without touching the water🗿,1,2025-02-02T11:08:28Z
@ColtonWest-q1l,"The fact that there are so many faster, more convenient ways to do this",16,2024-12-12T23:21:28Z
@AbramStout,Their techniques:❌<br>Simply putting arm through water and using towel to dry it off:✅🔥,183,2024-10-21T02:14:17Z
@NOTXxternal,Step one in solution one: turn off the water <br><br>Step one in solution two: let go of the towel on one end<br><br>Step two in solution one: pull the towel around with the end you’re still holding<br><br>🤯,117,2024-10-05T04:42:51Z
@fadifadi6506,Kaby Lame : 🤯🤯🤯,1,2025-03-14T23:02:11Z
@ImMaryamNaeemMughal,Dont waste water brother and sister  because water is very important 💦💦<br>👇,678,2024-09-28T03:39:01Z
@nicholettehannaway8153,I think &#39;Braincells&#39; left the room,143,2024-12-10T20:34:56Z
@ellencool0154,"Asian moms: YOUR WASTING THE WATER, YOUR NOT THE ONE WHO PAYS THE BILLS IN THIS HOUSE",190,2024-10-15T15:13:53Z
@FFID-v4c,Khaby lame laughing at the corner👀😁🔥,3,2025-01-01T10:27:37Z
@котик-и2ы,"Ну если у вас не получается выключить воду потомучто что-то типа сломалось. Посоветую просто взять эту штуку за любой конец, отодвинуть руку в сторону и протянуть к себе. Поздравляю у вас получилось вытащить какую-то хрень! 🎉",24,2024-10-12T12:40:34Z
@vannsss-q9,I think I&#39;ll call khaby lame🤳,16,2024-11-27T01:32:42Z
@Tidda1,I LOOOVVVEE YOUR VIDEOS❤❤❤❤😊😊😊😊,7,2024-11-03T18:25:11Z
@FioriDragjoshi,Bless for you and your daughter 😊❤,0,2025-01-03T19:32:54Z
@MohdAmir-n2c,Whoever feels that don&#39;t waste water should like it,505,2024-09-25T15:37:56Z
@xX1Tr1ll10nXx,<b>*a talking frying pan tells you that louis IV actually had a 2.3 GPA in minecraft royales and then gives you a 20 page test on how many 13th pileated kookaburra and there age*</b>,87,2024-10-03T02:02:30Z
@Viralwoos7159,Good 😂,0,2025-01-26T18:00:40Z
@departmentfinance2337,I will be liking and subscribe,6,2024-12-20T22:56:44Z
@BRAZIL_FOOTBALL_CLUP,Is there a stupid person who will put a towel and turn on the faucet? I don&#39;t think so. ✨🆗,16,2024-10-11T19:54:44Z
@Dexi-j8r,Wasting water 💦 <br>What God has given us has become a joke for entertainment 😢<br>Editer: Thanks this is the highest amount of like a have had on a comment or my only comment with a like💀,38,2024-10-21T05:23:27Z
@Krejicdriessche-l9n,M𝙰𝕏𝟛𝟛🌈 สนุกมากค่ะ ระบบไหลลื่นสุดๆ อยากเล่นต่อทุกวันเลย! 🧡🌟,0,2025-02-05T21:15:37Z
@CaitlinD-20-13,Everyone else: that’s genius!<br>Me: grabs towel with on hand and goes around the water 💀💀💀,133,2024-12-03T15:13:32Z
@Katherine-k8y,Wow you bring me joy ❤,6,2024-12-19T01:51:12Z
@3xx888,Usually pull out ❌<br>Turn off the water and remove ⭕,134,2024-09-23T20:04:28Z
@XCORDD,Bro’s face when he saw the water bill😳😶‍🌫️💀,1,2025-01-20T21:11:10Z
@Heyitsme23676,Types of comments:<br><br>80% “omg your so beautiful <br>17% “YOUR WASTING WATER 😡”<br>2% “what situation would I need this 😭”<br>Me: “wtf is this”,33,2024-11-17T23:33:25Z
@iiamzhenduhh,‘ u be doing too much ‘ is the realist thing I’ve ever heard of while watching this video,30,2024-10-06T18:41:26Z
@Princesarossa,"WoW, OMG, increíble... 👁️👄👁️",8,2024-11-13T16:16:52Z
@Мадина-с8щ8ц,Hello Andrey😊😊,1,2025-01-13T09:19:35Z
