Author,Comment,LikeCount,PublishedAt
@revivedblue,Strangers: ❌<br>Paid actors: ❌<br>Free actors: ✅,2413,2024-11-28T20:05:24Z
@MDLG55,Imagine that guy didn&#39;t even noticed that his phone is moving 💀💀,9038,2024-09-17T08:17:08Z
@skoobadi1,Remember: this only works on AFK people 💀💀💀,907,2024-12-15T21:08:22Z
@rainbowworld7394,Number 1-WHY WOULD THAT GUY HOLD HIS PHONE LIKE THAT!? LMAOO😅😅😂😂😂,49,2024-12-28T09:07:41Z
@ArioX-c9z,Who fk is holding his phone like that😂,6876,2024-09-23T18:06:10Z
@Cryoizz12,Strangers  ❎ <br><br>Paid actors ✅<br><br><br><br><br><br><br><br><br><br><br><br><br>Edit:THANK YOU SO MUCH FOR 7K LIKES🎉🎉🎉🎉🎉🎉🎉<br>Edit:Mama i&#39;m famous<br><br><br><br>Edit:help my notification,8984,2024-09-17T01:45:40Z
@Philippines243,Strangers: ❌<br>Paid actors: ✅<br>And imagine if there&#39;s a password inside,928,2024-09-28T06:50:21Z
@SahibV,Who the fuck is holding there phone like that 💀💀💀💀💀😂😂😂😂😂,11,2024-11-30T17:58:28Z
@FantasminElOriginal,The invisible cameraman has done it again🦸‍♂️,740,2024-09-19T18:45:35Z
@Gohannnnnnnnn,Bro became friends with the devil in 5 seconds☠️,560,2024-09-22T04:17:01Z
@double-aa22,bro is a professional phone holder,587,2024-10-06T04:50:12Z
@santiagofernadez,How did bro get on his phone 😂,2,2025-01-03T12:47:27Z
@ayushtamta-b7n_music,Don&#39;t try this lifehack ❌<br><br>Try this lifehack with camera ✅🤣,319,2024-10-02T08:20:20Z
@MuhammadMian-r4i,Strangers❌<br>Paid actors✅<br>Invisible cameraman❌<br>Visible cameraman✅,132,2024-11-17T18:19:31Z
@mohammedaminassahraoui3461,Cameraman definitely looking not suspicious 💀,145,2024-10-09T14:09:05Z
@AarWorks,Brains were invented in 1650<br>People in 1649:,6,2025-01-03T22:48:07Z
@Rosebloomeditscapcut2006,But…..u dont know the pasword 😂,304,2024-09-21T18:15:39Z
@SammyIsLagging,How many actors do you have? <br>Him:yes,40,2024-10-12T04:18:49Z
@jatinraheja4998,"First of all, who is keeping The phone like this😂",128,2024-09-25T08:32:39Z
@Nitrowannabe,I tried it😎💀💀😎💀.<br> They killed me😭😭😭😭,1,2024-12-26T18:10:02Z
@NANA-qm9eu,Bro didn&#39;t even think about the password 💀💀💀💀💀 pls<br>👇 (Edit:TYSM FOR SO MANY LIKES I NEVER HAD SO MANY BEFORE),183,2024-09-21T20:23:07Z
@D-Officials444,911 what’s your emergency I think we got a smooth criminal <br>Edit one: damn that some mighty likes today<br>Edit two: HOLY!?<br>Edit three:I sound cringe,702,2024-09-13T18:34:11Z
@Deadly_Gaming-c4r,Next level thief<br><br>Don&#39;t run be smart😂😂,94,2024-10-14T07:51:29Z
@DogLena,Who fk is holding his phone like that😂😂😂,1,2024-12-21T13:05:20Z
@MarcoChan-j2b,Who holds a phone like this😂<br>Edit:Tysm for 52 likes,621,2024-09-15T13:46:05Z
@LuckyExact,Thieves be watching this be like:😊,41,2024-10-27T18:16:17Z
@MBSTrre,"Strangers : You steal my phone , But you don&#39;t know my password<br><br><i>edit</i> Thanks you for 500++ Likes😮!!",534,2024-10-13T14:54:27Z
@JudeKelly-xm1mj,Who holds their phone like that💀,1,2024-12-23T00:28:21Z
@Valeriee223,"Imagine if it has a password 💀💀💀 <br><br><br><br><br><br>Edit: omg 1k likes !?!? <br> <br><br><br><br><br><br><br><br><br>Edit: DUDE, TYYYYY<br>FOR THE LIKESSS<br><br><br><br><br>Edit: yall are blowing up my phone-",2628,2024-09-13T18:50:19Z
@PaxtonGAMING-17,The cameraman still got that invisibility cloak smh😂,13,2024-10-15T02:23:01Z
@RamazanNurakhan-kh6jb,Title:don&#39;t try this lifehack😂<br>Me:WHEN WHY DID YOU SHOWING ME THIS???!!!?!??,220,2024-11-15T19:59:49Z
@HxzelFN,Who on earth holds their phone like that💀,1,2024-12-28T16:53:18Z
@inbuildgamer5390,Bro unlocked a new way to steal phone 💀☠️ <br><br>Thanks for 130 likes 🤗,176,2024-09-16T20:42:49Z
@Nightmaresga159,Who the heck would anyone hold there phone like that💀,82,2024-09-20T10:39:11Z
@Jhiro1432,Pov the phone had a password to unlock☠️☠️☠️,5,2024-10-15T15:16:54Z
@RafaelIsaacSilvadaConceicao,What is this? A new way to get arrested faster?,1,2024-12-21T02:40:28Z
@2k.Arctic,No one is sitting like that with there phone 🙄💀😂😭,14,2024-10-16T01:50:01Z
@EustaciaTamay,Qué buen truco tienes para robar celular❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂😂😂,9,2024-10-17T22:14:02Z
@away_vet303,"Good idea, I will implement it now 😂😂",198,2024-09-13T18:37:38Z
@jwfans3127,99.9% got mad<br><br>0.01% logic <br><br>Why would people put their phones behind their backs,1,2025-01-05T18:39:56Z
@iamnaeemlee7866,Who leaves there phone behind them unlocked 😂,12,2024-09-22T23:15:55Z
@JLC_FUN,Uhm Sir That&#39;s My Phone Cover😂. <br>Edit: alrd 58 likes??,99,2024-09-17T16:32:44Z
@REDEKANS,Fake button<br>👇,6,2024-09-25T21:17:59Z
@ALPHA_EDITS991,Cameraman is invisible 😄,1,2024-12-31T07:51:38Z
@CallistoMC,"Ah yes, I forgot people hold their phone like that and don&#39;t feel it moving.",4,2024-12-29T06:35:37Z
@galaxygamergirl.officials,How convinent! The phone is in the perfect positiom for the video ! 💀,3,2024-12-22T19:39:41Z
@P3D25,"Don’t do this guys, because if you try it, you will go to the jail .",42,2024-10-27T02:52:59Z
@lukekyala2327,Bruuh 😂 how did you miss that,1,2025-01-04T06:17:00Z
@lohaNtmybio15,I don&#39;t understand why the cellphone is held behind the back😭😭🤣,43,2024-11-17T11:41:35Z
