Author,Comment,LikeCount,PublishedAt
@jasontowne120,The washer was THE BEST!,424,2024-09-23T22:11:55Z
@furieux6742,&quot;Piątek pralki już tańczą&quot;. O shit. We have in Poland.. 😂 😊😊😂 Polska przejmujemy! :D,117,2024-09-21T19:07:14Z
@Nobilangelo,That washing-machine rocks...,403,2024-09-21T06:53:47Z
@marvindebot3264,That building drop was perfect.,67,2024-09-22T10:23:44Z
@universe4627,Кому-то ещё жалко стиральную машину?,107,2024-09-22T04:04:44Z
@LuciferSatan-xs3cr,That building getting demo&#39;d was beautiful!,19,2024-09-30T23:52:05Z
@anjushanto3539,The implosion of building..this is actually how it is done !,49,2024-09-22T04:26:57Z
@Наруто-н4ы,У стиральной машинке дискотека века😂😂😂,24,2024-09-26T18:26:17Z
@jorgeposadas1192,That spin cycle was funny as helllllll!!!!!!,8,2024-09-24T22:30:00Z
@todome1,Loved the guy throwing the beer grenade Uncle Rico style.,5,2024-09-27T16:04:05Z
@philventura9272,My wife doesn&#39;t know how to do laundry either... Our dryer does that,101,2024-09-20T18:44:20Z
@ladyweasellou3367,"Okay, that kinda pissed me off. <br>I remember how much we struggled and needed a washer so badly. My boss&#39;s wife randomly popped by to visit and found me hanging my husband and my work clothes up nexted to a big tub after hand-washing it. She gave us the washing machine out of their RV. I could fit two pairs of jeans and a shirt in it at once and was so relieved, i his in the garage and cried so he wouldn&#39;t see and feel bad. <br> That was a nice washer I&#39;m sure some one who really needed it would have appreciated what he just wasted over nothing.",20,2024-09-21T23:30:16Z
@v12channel21,The welding 🔥🔥🔥🔥😅😅😅😅😅,22,2024-09-20T21:46:41Z
@Carl-jm2yw,"Customer calls, “Hello this is Mrs. Johnson. Did you find the problem with my washer?”<br>Repairman, “Well Hello ma’am. We’re still doing some troubleshooting. We’re getting a little closer. Maybe another day or 2 😂.",6,2024-09-23T09:24:00Z
@For_What_It-s_Worth,"When the hydraulic system on the truck dumping sand ruptured, the force of the ram was largely negated, so the weight on the front of the frame went away. This meant the bed pivot pin behind the rear axle was suddenly carrying most of the bed weight, popping the front of the chassis into the air — temporarily!",74,2024-09-22T01:45:36Z
@adamr1044,Oj w Polsce ładnie pralki tańczą,24,2024-09-22T20:28:45Z
@ericscivicque,The building blown up reminded me of 2 other buildings,0,2024-09-26T01:50:55Z
@kaffeemaus5851,The first one must be the washing machine from my upstairs neighbour,20,2024-09-24T19:21:10Z
@APokeInTheEye,Third one looks suspiciously like 911,0,2024-09-26T17:16:03Z
@calvinb2965,Second last one is a typical driver ignoring the multiple &quot;NO OVERSIZED LOADS&quot; coming up to the construction zone with many chances to detour around it.,6,2024-09-23T02:17:07Z
@АлександраБерезкина-ц4н,Только мне снос высотки ОООООЧЕНЬ  напомнило одно событие!?,2,2024-09-26T14:09:50Z
@Krzysztof-Rafalowski,„Piątek Pralki już tańczą” xddddddddddddd<br>Team Polska<br>👇,1,2025-01-30T09:28:40Z
@timbocf76,That first demo was impressive,0,2024-11-02T06:40:03Z
@angelikasadlovski6970,Flexen neben dem Mann im Krankenbett : einsame Klasse! - Ich kann nicht mehr! - lol,9,2024-09-21T11:08:34Z
@chaks6757,J&#39;adore tes complications de vidéos rigolotes et insensées ! 🤣👍👏,1,2025-02-16T10:46:38Z
@realdemons3273,The skyscraper collapsing reminded me of the three buildings that came down on 911,0,2024-09-26T11:26:07Z
@markus19999,"- &quot;Dad, what do you do for living?&quot;<br>Him: 🤨🫢🙄😑😖😫🫣😬😕😲😦🙊😒🫢😱",4,2024-09-21T02:50:07Z
@prepsss8096,"Remarkably, that building went down because of a couple of basement fires.",0,2024-10-09T14:16:42Z
@JohnJohn-xb1sn,I seen 3 buildings in New York come down just like that in 1 day,0,2024-09-29T05:13:44Z
@sandman1688,Wild shot of building 7 collapsing.,0,2024-09-28T05:39:39Z
@elizabethTorres-c7n,"😂🤣 I have waited all my life to see a washing machine&#39;s reaction, to something I wanted to do! <br>Just for the funk of it.. 😃👍AND IT WAS PRICELESS!",7,2024-09-24T23:45:54Z
@bradleywesterford3587,the best brick- in -washing machine clip is the one done to Harlem shake.,4,2024-09-22T06:51:59Z
@Sassy_Alaskan,Hmm that building demolition looks awfully familiar.,67,2024-09-21T12:18:57Z
@b1ngnx33,Oh those poor pylons!!!!,12,2024-09-20T18:59:58Z
@gizzynthefrog,Oh breaking stuff! What fun!!!!,0,2024-10-02T04:27:29Z
@Amen-w7b,I needed a dryer fool….,1,2024-12-29T05:42:17Z
@harryverner6218,That bldg went down like the trade center,0,2024-10-15T15:52:32Z
@DannyCurtis-g4n,"I did the &quot;pylon thing&quot; in my lifted, massive tires, Chevy 4X4 truck!!! Not only fun, but amazingly cathartic. I also noticed 4 or 5 vehicles behind me laughing and pointing!!! So, I went on entertaining for 30-40 more pylons!!!😂Too bad, cell phone cameras were still just a vision.....",0,2024-11-22T07:53:40Z
@HobbyHalloween,I absolutely think the spin cycle on that washing machine will be the new standard for clothes washing... they&#39;ll just need to strengthen the machines a little bit more.,2,2024-09-23T00:17:08Z
@johnnycrash3270,my mother in-law would get joy sitting<br>on top of that washing machine !,5,2024-09-22T21:30:07Z
@ronblair317,"Never stand under a truck bed when it’s up, you’ll never know what hit you",0,2024-09-30T04:29:39Z
@dobrycomment4103,Точно так сложились здания всемирного торг центра. Тобаго одно отличие есть - в эту многоэтажку самолёт не влетал😢😢😢,0,2024-10-07T15:53:07Z
@skyhigh6089,The demolition of the high rise was textbook. The concrete tower not so much but still ok.,0,2024-10-26T05:27:16Z
@clairkrause6656,That wash machine thing is just stupid,5,2024-09-22T20:02:34Z
@davidlildavearvie5321,That building was in lake Charles Louisiana and it stood there for 40 plus years,0,2024-09-24T22:01:46Z
@XYZ-n8g,Building like : in Palestine <br>Israel ka zulm😢,1,2024-10-16T11:00:23Z
@PhillyGirl-pt3vq,His facial expressions are the best! 😂🤣😂What was that guy trying to do with that poor washer? 😂,0,2024-11-06T04:21:11Z
@shahobige,موقع انفجار ساختمان اون مرد تی شرت آبی 😂😂,3,2024-09-21T16:46:01Z
@Kislotikas,that building was so cool!!!,1,2024-09-22T11:42:56Z
@Blanca-hu8dq,Pobrecita lavadora no la friegues 😅,1,2024-11-21T14:17:18Z
