Author,Comment,LikeCount,PublishedAt
@Migra804,That helium basket ball is a genius move,361501,2024-05-30T21:26:49Z
@alexharris4610,The ceiling fan definitely adds to the realism,106436,2024-06-05T15:47:32Z
@Tvboy777,"The helium ball and the weighted balloons are really clever, but It&#39;s the physical acting that really sells it. Even watching it flipped on my phone, the way he moves his body like he&#39;s hanging and then struggles to reach over with the ball, great stuff.",10779,2024-06-15T19:05:44Z
@Zymphoney,"I am sorry but the epic music with him screaming, and running upside-down is killing me 😭😭😭",220,2024-12-24T04:24:04Z
@andrewellis3447,"Even knowing it is upside down and watching it upside down, my brain can’t help but try and see everything as normal.",21567,2024-06-03T07:18:43Z
@Ohmu,"He even made his actual shorts look like they were being pulled by gravity, very thorough.",10813,2024-06-03T17:54:59Z
@theoa6118,&quot;My abs are on fire&quot; really sold it😂😂,9899,2024-06-03T00:09:44Z
@mlee81,My 5 year old just watched this 20 times laughing. You made a fan.,10,2024-12-13T04:49:36Z
@Daeodon1,"If you think about it, it’s still an upside-down basketball shot.",23267,2024-06-07T04:32:54Z
@ඞීඞ-ඞඞඞ,That helium ball was ingenious,6123,2024-06-13T09:35:19Z
@god2641,Are we not gonna talk about how he does such a amazing job at looking like hes dangling,4135,2024-06-02T18:21:59Z
@TakenUserMiles,The balloons make it look realisitc,2,2025-01-11T21:37:27Z
@legendarystarr1,&quot;911 what&#39;s your emergency?&quot;<br>&quot;My brain ain&#39;t braining&quot; 💀,76292,2024-06-02T10:17:37Z
@henatatorplays,The physical acting is honestly so top tier I can&#39;t fully see the reality even if I flip my phone,2486,2024-06-07T06:07:00Z
@YouTube,immediately watched again and flipped the screen upside down,7204,2024-06-02T16:03:58Z
@timsgotissues3581,It&#39;s really nice to see things being done with practical effects.,4,2024-12-29T14:08:50Z
@FirsthomeDIYGUY,he really just glued everything to the ceiling. painted the floor to look like the ceiling. instant spider man !,2428,2024-06-05T02:19:32Z
@kingdonsobek,The balloons floating the wrong way is a really smart idea,19069,2024-05-30T23:43:00Z
@Joe_Ma99,Making the net stiff so it would stand up strait is a nice touch. Had me fooled.,4541,2024-06-09T08:38:53Z
@says.kakarot,the helium baasket ball and the cameraman made this illusion 🔥,1,2025-01-18T08:47:27Z
@JuleusPublico,My brain wasn’t braining until I remembered helium exists.,4781,2024-06-06T06:37:05Z
@lebbo88,Dude installed a CEILING fan on his FREAKING FLOOR for this gag!!! RESPECT!!!,1358,2024-06-04T20:41:25Z
@ShiloBuff,This was so amazing. The end caught me off guard.,1185,2024-06-04T02:44:29Z
@jordynnnn09,i tried to turn my phone upside down but he looks even more upside down than before 😭,1,2025-01-14T17:30:38Z
@sadiqabbaszade4789,"When I saw the &quot;helium&quot; balloons, I though &quot;yep, it is upside down&quot;.",783,2024-06-03T09:46:42Z
@awkwardfoxxo8050,"I knew he was the right way up from the beginning, but somehow I just could not wrap my head around it",4723,2024-05-31T17:01:49Z
@user-gz4lv1gm6u,"Finally, a professional downstairs neighbor",546,2024-06-05T17:06:56Z
@Meme-lo7ru,Your on the floor w CGI😂😂😂😂😂...I almost fell for it😂😂😂,1,2024-12-15T17:28:43Z
@NikeshBossGaming,Fake helium balloons and real helium ball? That was a clean move..,582,2024-06-05T17:57:09Z
@Perplexer1,Incredible acting. Fooled me easily.,1582,2024-10-02T11:20:23Z
@pirodip,&quot;The cameraman is the real spiderman&quot; 💀,5371,2024-06-04T15:50:57Z
@quickgeneralhomesolutionsi852,Bro defied gravity,0,2024-12-31T02:51:59Z
@nymetsfan912,I can’t imagine all the work that went into making this short.,1691,2024-06-03T07:30:12Z
@BraydenFaist,The fact that even the balloons are upside down is amazing 😂,3549,2024-06-03T23:18:58Z
@nalumx,Casually has a ceiling fan installed on the floor like it&#39;s some kind of Wipeout obstacle.,3525,2024-06-04T20:16:46Z
@qwomp,bro i watched the video up-side down then forgot and tried to swipe and got so confused 💀,1,2025-01-15T17:22:07Z
@spencer9892,"Ha, they really went all out wit this. Like they put a ceiling fan on the floor. Lol",2285,2024-06-02T23:06:14Z
@CalebNelsen-p9j,When you realize he managed to stick a couch to the ceiling,3110,2024-06-04T13:36:15Z
@Abbidy,I was so confused on how the ceiling could hold that much weight lol,4051,2024-06-07T12:05:16Z
@ashman208,Those balloons on the right got me confused,1,2024-12-29T20:21:55Z
@P.e.m.a.,The shirt gives it away. 😂 And the hat surviving the stunt. 😂😂😂,188,2024-06-04T10:07:45Z
@YingDat,The funniest part of this video is Tyler saying his Abs are on fire 😂,774,2024-06-03T00:42:23Z
@YoriichiTsugikuni-26,&quot;911 what&#39;s your emergency?&quot;<br>&quot;Gravity ain&#39;t graviting,2379,2024-06-08T22:55:48Z
@jameswilliams5539,“How many times have you watched this?”<br>“Twice”,1,2025-01-13T15:50:21Z
@Kawboi386,It’s even funnier when you turn your screen upside down!!!😂😂 this was a great one!,685,2024-06-02T18:46:11Z
@ankitsood2932,One of the best &quot;gotcha&quot; videos and I hate that my brain still can&#39;t process it<br><br>Edit: no calling names or fighting in the comments section.... 👇🏾,1827,2024-06-03T03:16:16Z
@KaelynHutchinson-i5c,My anxiety when he walked right by the fan:📈📈📈📈📈📈📈📈📈📈📈📈📉📈📈📈📉📈,1921,2024-06-03T20:59:41Z
@Mel_pacino,How blood ain’t rushing to he’s head🤨,1,2024-12-27T03:50:57Z
@乂,So there’s just a ceiling fan on the floor? 😂,2389,2024-06-13T07:16:00Z
@RichasinghParihar-np1jn,Bro why ain&#39;t my brain working 💀💀,3071,2024-06-05T07:51:32Z
