Author,Comment,LikeCount,PublishedAt
@SBFShofol,The man surely would cry if he saw the first attempt.,3873,2025-02-23T04:36:59Z
@UKRLIGHT,&quot;Im surrounded by idiots&quot;,415652,2024-04-04T17:59:57Z
@k0zplay153,&quot;I should&#39;ve interviewed more people&quot;,361720,2024-04-04T14:45:09Z
@Jawad.dbysndbbz,A girl clapping 👏 when I do the most basic stuff is what I need in life,1161,2025-02-17T06:38:31Z
@shalinimahalingam9064,She was so proud of her problem solving skills 😭,133253,2024-04-09T12:57:18Z
@xonudesigns,they perfect for each other 😂😂,103425,2024-04-09T02:23:48Z
@zask7213,Bro had to walk away and rethink about human intelligence,121897,2024-10-01T13:51:46Z
@DINGDONG-m7m,&quot;Just like a Disappointed Maths teacher&quot; 😭😭,64,2025-03-09T00:30:51Z
@saurabhsaroj3916,They are lucky he didn&#39;t watch it 5 seconds earlier 😂😂😂,68238,2024-09-03T07:40:56Z
@ark_423,The music made all the difference 😂,2456,2025-02-07T16:57:17Z
@JohnBoosh,He didn’t even bother to correct them. The man as checked out,2987,2025-02-09T01:51:41Z
@A_Little_white_Star,Now i know why squidward hate spongebob,23,2025-02-22T03:25:35Z
@valedragons8045,&quot;I wanna laugh but I&#39;m angry.... I&#39;m just gonna walk away&quot;,18170,2024-04-12T19:47:26Z
@acrobaticswitches,He hit all the stages of grief in 10 seconds.,12889,2024-04-14T00:31:01Z
@khuzla,That sigh came from the depths of his soul 😭😂🫶🏻,6454,2024-04-10T09:20:28Z
@calebstroup6917,Idk why i find this so hilarious and fulfilling 😂. It&#39;s just humanity and it&#39;s just good,32,2025-02-24T07:47:49Z
@welldog_7689,Atleast they’re fighting the Asian stereotype,10028,2024-08-29T20:51:21Z
@mathews749,"The combination of shock, disappointment and humor has him overwhelmed.",7337,2024-10-26T22:53:55Z
@jinidavies962,"If he saw the first atrocity, he would&#39;ve started crying",80095,2024-04-14T18:15:59Z
@DRE-HRUYAN,"Vince McMahon voice!, &quot;YOUR FIRED!&quot; 🤣😭",29,2025-02-20T05:16:47Z
@AllHailTheBobSemple,My last two braincells on the final exam,2672,2024-04-11T23:01:34Z
@dakotafrazier2985,the fact hes disappointed in both speaks volumes...,13023,2024-10-11T08:08:57Z
@Airmondo,&quot;If i fire them I&#39;ll have to stay late&quot;,2412,2024-04-14T06:23:09Z
@SquidAli,",,I‘m surrounded by idiots‘‘ hits hard💀💀",5,2025-03-01T15:10:19Z
@F1ll1nTh3Blanks,"He missed the first part too. If he saw that, I am sure he&#39;d have burst into tears. 😂",15991,2024-04-11T18:02:50Z
@donutshield3246,He&#39;s so like &quot;Seriously guys....seriously ?&quot; 😂😂😂,3611,2024-10-19T08:51:21Z
@randomperson1914,The fact that she did that with the utmost confidence 💀💀💀,4951,2024-04-13T15:51:21Z
@thebeginner8148,That <b>sigh</b> was definitely his breaking point😂,5,2025-02-24T12:17:18Z
@ThereForWar,The crappy flute rendition of the titanic always gets me😭😭😭,7514,2024-10-10T03:45:48Z
@lovepaliwal7341,They are definitely made for each other 💀😂,14790,2024-04-08T01:11:24Z
@mysticofmaddness9180,I love that he’s just so overwhelmed by their stupidity that he has to walk away from the situation. 😅,5853,2024-04-09T13:04:37Z
@Uilliams,Ela toda feliz achando que tinha sido inteligente  ao  mudar a posição do &quot;funil&quot; ( quando era mais facil  simolesmente remover ) o gerente : é  serio isso ? !?!,3,2025-02-24T22:06:26Z
@lilcake9904,If SpongeBob and Patrick become a person:,1780,2024-04-08T10:54:00Z
@saxumbonum,The little claps like she&#39;s so proud of him 😭,4499,2024-04-21T19:24:38Z
@Billeaterofsouls,That&#39;s exactly what it feels like to be a manager on the shift with all new hires,7736,2024-04-12T23:28:33Z
@emanuelealves8706,Companheirismo é tudo...😂,2,2025-02-21T20:50:29Z
@bhagirathkant,That one person who does all the work in the project 😂😂😂,14442,2024-04-07T06:53:38Z
@keithwilliams1795,He had that &quot;I can&#39;t deal with this shit today&quot; look on his face.,6302,2024-05-06T00:37:14Z
@agentsomnium,He&#39;ll make an excellent asian father lol. <br>You could read the thoughts clearly on his face:<br>&quot;What did i do wrong to raise such FAILURES?&quot;,478,2025-02-09T01:37:24Z
@GiftsonBlox,They are finding solution for a Problem that didn&#39;t even exist.,3,2025-03-01T11:04:01Z
@PurebreedFLA,The terrible flute makes it so much better 😂😂😂😂,953,2024-04-14T01:09:53Z
@jack_709,She even clapped 😂,1180,2024-10-19T05:57:35Z
@kartikkumar4909,&quot;I should fire myself from this job&quot;,1160,2024-04-09T10:08:51Z
@Zeriel00,This is how I feel when I watch the Government working but replace stupidity for evil,3,2025-02-21T00:40:01Z
@erictran9992,That lip bite was everything that needed to be said.,7132,2024-04-08T11:43:59Z
@regaiegkmar453,&quot;Are you...... You know what? I give up&quot;,1857,2024-12-27T13:03:35Z
@AlishaAjmal-l3i,Bro just walked away without saying anything 😂😂😂,2113,2024-10-13T18:37:02Z
@DocStrangeXD,When you are stuck with legends in a group project 😂,2,2025-03-02T00:53:52Z
@duece444,That lip bite was him refraining from slapping somebody 😂,981,2024-10-23T00:51:57Z
