Author,Comment,LikeCount,PublishedAt
@NurAnaajak,Ending accha  thaa😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂❤😂❤😂❤😂❤😂❤😂❤😂😂😂❤😂❤😂❤😂❤😂❤😂❤😂❤😂❤😂❤❤❤❤😂❤,9,2025-01-31T08:27:49Z
@Ashish_Aashik,Background music अच्छा है 😂😂,462,2024-10-27T00:57:58Z
@pradeepsamal8374,Dimag ho to suroj bhai jaisa 😅😅😅,18,2024-10-27T15:04:10Z
@Mrbaba_bhai,भाई जब भी आता है हसा के जाता है 😂😊😂 gajjb h yaar😅,171,2025-01-21T12:13:58Z
@Rinu...09,Comedy King &quot; Suraj &quot; Bhai 😅👑❤️,300,2024-10-25T01:42:33Z
@AtaurRahman-kt8fv,ससुरा जब भी आता है हंस कर चला जाता है😂😂😂,2407,2024-10-25T03:44:08Z
@DhirajKumar-yv4gc,Last wala gana.....❤Mangal bhawan amangal haari ❤ 😂hits different 😂😂❤.    😂😂😂😂,124,2024-10-25T10:50:38Z
@LOLSpheree,Diwali just got 10x funnier with this! 😂😂 Keep ‘em coming! ❤❤❤❤❤,30,2025-01-09T14:17:34Z
@Partik_Gaming_hr05,Bhai sach ma ya video abhi abhi insta par dakhi thi 10 min phala😂,16,2024-11-11T12:04:26Z
@ShreyanshKushwaha-f9b,"मंगल भवन अमंगल हारी...,.. 😂😂😂😂😂 भाई आखिरी मे हालात से मिलता हुआ गाना भी...... 😅",290,2024-10-25T15:11:38Z
@sureshchandradani1630,😂भाई पृथ्वी गोल है आज आपने साबित कर दिया।। 😂😂😂,528,2024-10-27T08:51:22Z
@FMMOTIURKHAN,খুব সুন্দর একটি ভিডিও আমিও চেষ্টা করতেছি এরকম ভিডিও বানানোর❤,2,2025-03-08T07:12:04Z
@Naagarvlogs_0,Full custody लाओ सूरज भाई❤😊,30,2024-10-25T01:40:33Z
@sonyagupta1219,Suraj bhaiya commedy king always 😂😂😂😂😅,497,2024-10-25T01:39:14Z
@Neha_509,Le bomb _ kyu jee mujhe itna pyaar h..phir aaya😢😂😂😂,22,2024-11-01T15:40:45Z
@BPlifeline960,Kina intrested vedio hai ending wala to best hai😮😮,28,2025-02-09T00:59:03Z
@satyam_nakul,Last vala songs is very laughing 😂,235,2024-10-28T03:06:52Z
@FitLife360-dr6kp,इस रील के लिये सुरज भाई को ऑस्कर मिलना चाहिये. 😂🤣😁,69,2024-10-25T13:11:41Z
@sumitsingh5267,अरे बापरे बाप यह लडका तो सच मे पागल निकला 😂😂😂😂😂😅😅😅,2,2025-01-25T18:56:15Z
@MADREX99_9,😅happy diwali sabko 😅,13,2024-10-25T01:37:28Z
@Arman_editor077,लगता है सूरज भाई यमराज के पास दिवाली मनाएंगे 😅😅😅😂😂😂,514,2024-10-25T03:51:15Z
@Puttyankit11music,Jharkhadi hero apna.... Hasane wala...😂❤... Johar suraj bhai happy dipawali😍😍,71,2024-10-29T00:32:17Z
@MianNaveed12,Nice video ❤❤❤❤,1,2025-03-07T05:53:31Z
@aminul-1k,Happy diwali Suraj Bhaiya funny video 😂😂😂,19,2024-10-25T01:38:59Z
@shristysinghrajut1050,Ye toh 😂😂😂kamaal hogya...ajj suraj he fat gya,31,2024-11-04T18:27:26Z
@kamleshkazikamleshkazi4424,कैसे भाई वहीं पर आ गया😂😂😂😂😂😂😂😂,2,2025-01-16T12:05:44Z
@sanjeevsajan1849,सुरज भइया बहुत अच्छा 😂😂😂😂,31,2024-11-10T12:10:46Z
@yadav789pk,I can&#39;t stop my laughing 🤣🤣<br>Best comedy king &quot; Suraj bhai &quot; 👑💯,702,2024-10-25T09:35:38Z
@Abhi_05sumo,कॉमेडी king Suraj bhai ❤😮😢,45,2024-10-25T01:41:07Z
@GoluBariha-y2i,Bhai jab bhi aata Aisa Hansa ke jata hai😂😂😂😂😂,1,2025-03-01T01:58:56Z
@SonuSharma-ol8jf,Happy Diwali Suraj bhaiya Jahan se Gaye Wapas Udhar hi a gai😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅❤❤❤❤❤❤❤❤❤❤,65,2024-10-26T06:33:40Z
@FA_teach,no 1 comiden surj bhai fan comments Don&#39;t ignore surj bhai 😊😅,16,2024-10-26T08:27:36Z
@praveenyadav6170,सूरज भाई आपके वीडियो देखकर मजा आ जाता है......,42,2024-10-25T05:11:42Z
@ashu_kassar99,हमें मौत से छुपना नहीं चाहिए क्योंकि मौत हमे कही भी ढूंढ सकती हे 😂😂😂😂,17,2024-10-31T17:56:48Z
@fishinglearnmore4403,I love that turmeric farm❤🥰,1,2025-01-11T09:54:02Z
@RiteshAnna-kd,Suraj bhai aapka acting Dekhkar baccha bhi hansne lagega😂😂😂,238,2024-10-31T06:22:26Z
@RavindraKumar-d2r5r,Suraj are comedy god 😂😂😂😂😂 last wala scene mein mujhe hansi aa gai,28,2024-10-26T00:56:16Z
@priyanshuojha2727akarshojha,Suraj ish diwali dikhai nhi de rhe kha chle gye 🔖 bommm😂😂😂😂😂😂😂😂,21,2024-10-25T02:39:13Z
@alenmedhi79,😂😂😂😂😂happy diwali  surai,2,2025-01-10T09:09:09Z
@rajeevkumar-zr4zm,Your videos are so funny Suraj,14,2024-11-23T14:34:07Z
@Jaya.Jaya17,Predicted 😊but amezing 😂😂,48,2024-10-29T10:53:33Z
@JeetuSingh-oh6nc,Was epic line-<br>एजी मंगल भवन मंगल हारी,83,2024-10-29T19:17:26Z
@SanjuSingh-w5p,Happy diwali ❤️❤️❤️❤️❤️ Suraj bhai and team ❤️❤️❤️❤️,16,2025-01-09T13:00:51Z
@Bhayavish,भाई का दिवाली कॉमेडी विडियो बहुत अच्छा लगा 😂😂,176,2024-10-25T02:08:20Z
@AnuKumari-nb5uk,Super Suraj bhai happy Diwali 😂😂🎉🎉,56,2024-10-30T17:12:17Z
@RahulRaj0021,😂😂😂😂happy diwali 😂😂😂😂🎉😮❤,120,2024-10-25T03:07:32Z
@SunilMallik-j9p,"Mast funny video hai Bhai, Super Hero se bhi uppar 🎉😂❤",19,2025-01-17T15:04:08Z
@FaeesTiger,Suraj bhai the comedy king😂😂😂,146,2024-10-25T01:35:17Z
@VijayKumar-ol3kf,😂😂Diwali a gai hai Suraj bhai Khatarnak Bam bulaega😂😂😂suraj bhai ke fat gaya 😂😂,35,2024-10-25T04:11:39Z
@ChandanaSahoo-w4b,Are mene bhi yahi socha thaa😂😂😂,5,2024-12-08T08:42:26Z
