Author,Comment,LikeCount,PublishedAt
@goddywhite2703,Indians are the most receptive individuals in this planet. Thanks for making our son feel the love from incredible India. love and hugs from Nigeria.,4962,2024-05-29T10:56:17Z
@no-xl6qg,<b>India is indeed a magical land❤</b>,194,2024-06-13T19:00:52Z
@akhilreddy972,Thank you for giving those ladies a smile with happiness god bless you Noel 🥰😍,2775,2024-05-28T18:39:05Z
@SUCCESSSELVAMTRACK,தமிழ்நாடு உங்களை அன்போடு வரவேற்கிறது 🇮🇳🇮🇳🇮🇳❤️❤️,71,2024-07-28T13:49:04Z
@DonkeyOinkOink,i am from Chennai love to see this ❤,227,2024-05-28T19:18:28Z
@vvideoguy,Goodness.. this is really beautiful  to see ❤ <br>Indians look to me a very hospitable people.  <br><br>❤❤❤ from Nigeria 🇳🇬,24,2024-08-12T20:51:31Z
@nkumbihehe1679,They welcomed him like a long lost relative. <br>Bless these Mamas,675,2024-05-29T21:16:46Z
@Shaikasma305,Masha Allah Indian mom looks very cute 😊❤❤,4,2024-06-06T05:17:52Z
@Rajesh10648,I&#39;m so proud of you &quot; this is INDIA 🇮🇳 culture&quot;,177,2024-06-04T13:29:38Z
@gbenusolamichael9796,"They&#39;re lovely, seeing all the women stood up to assist him. ❤ Indiana.",1,2024-10-24T05:53:05Z
@hanifshaikh2137,Wow he is visiting every part of Our India 🇮🇳 <br>Nice see all our moms enjoying out there. <br>God bless u bro ❤,290,2024-05-29T04:59:32Z
@SunriseChannelS,Welcome to Chennai nanba ❤,1,2024-07-28T07:11:11Z
@sivakumar5327,தமிழ்நாடு உங்களை அன்புடன் வரவேற்கிறது,679,2024-06-05T08:01:56Z
@potturusrujana2134,Their innocenct smiles are everything ❤,3,2024-06-17T03:53:11Z
@توتةمحمد-ض8ص,The most friendly people ever ❤❤,182,2024-05-28T18:16:45Z
@ThabasumAnjum,welcome to CHENNAI brother! Im sure you&#39;ll have fun!!..❤,1,2024-09-09T18:15:42Z
@scnrich4941,It isTrue i know they are the real true Indians no matter the comment section is silent to comment about them😍😘,68,2024-05-28T19:06:17Z
@kalaivanig1883,"I am from Chennai. Came to US to see my daughter. Everything is there, but something is missing....The SMILE, the connection ...<br>Missing ,Chennai so much.",1,2024-07-10T23:31:20Z
@Aisbeats,The innocent smile of these ladies made my smile😊,13,2024-06-03T17:08:56Z
@Explorewithganesh2000,Your such a good person bro❤ Hats off you brother❤,1,2024-06-05T18:02:10Z
@RawtharBarna-nb4go,இந்த அண்ணாவா  யாருக்கெல்லாம் புடிக்கும்❤,476,2024-06-03T15:28:03Z
@yaz-custom3492,This is so beautiful man. These smiles 😍.,0,2024-08-24T05:39:12Z
@suganyasaro1214,Welcome to India ❤,87,2024-05-28T18:19:42Z
@Jamiemarguerit,Noel is super creative and super talented. Big up ❤❤❤,1,2024-09-05T06:51:23Z
@adnicsymurgh4136,From Chennai you can visit straight to Kerala. You will experience new vibes.,40,2024-05-28T18:59:08Z
@EpicKnights_gamer-1,Wow iam also Chennai 🤩🤩🤩🥳🥳🥳🥳,2,2024-06-17T06:39:27Z
@tomsawyer7995,All four stood up to help this guy. Respect.,20,2024-06-04T12:26:23Z
@hariomff8907,Welcome to India brother ❤❤,2,2024-06-11T05:54:18Z
,such graceful moves ❤️❤️,13,2024-05-28T18:11:40Z
@MahfoozaBegum_,I&#39;m from chennai to😮😮😮😮🎉🎉🎉❤❤,1,2024-06-09T20:35:01Z
@mayaaaaaaa100,Welcome to India.. love &amp; kindness free for foreigner,9,2024-06-05T10:14:30Z
@RajaniAcharya-y1s,U made them smile,1,2024-07-30T16:41:35Z
@premprasadburnwal7145,That lady smile ❤,20,2024-05-28T19:28:33Z
@mohamedaadhil6517,Vaa thalaiva vaa thalaiva ❤😂😅,1,2024-08-08T14:17:03Z
@UnknownManFU,In this hot summer <br>Imagine having his hair<br>Love from India,9,2024-05-29T06:54:24Z
@StellaWilson-q6q,🎉Welcome to Chennai🇮🇳❤😊,1,2024-09-16T06:36:33Z
@qwertqwert5660,"❤️‍🔥💃🏽🥵💃🏽🕺🏾😂🦁Ноэль, красавчик, посмотри как тебя все любят 💘 и ждут, ты🫵 самый счастливый человек в мире🙏 !!! Спасибо что ты даришь нам СВОЁ СЧАСТЬЕ 🙏🫶!",25,2024-05-28T20:30:41Z
@Pkxd-girlmama,god bless you noel for givng the girls a big simile you make me simile too😁👍,1,2024-07-31T17:33:00Z
@raja.01,Welcome to the land of dance n melody 😊❤,10,2024-05-28T18:29:27Z
@soumiaallalga2989,I love India and indiens really love them ❤ from algeria,0,2024-09-27T08:48:06Z
@keerthu1010,Chennai huh😮😮😮we r too there missed this precious chance to meet him 😭😔😭😔,8,2024-06-06T05:53:19Z
@Ragava2005,Hi Bro Thanks to come to chennai 🙏👍🎉,1,2024-08-03T07:01:50Z
@BHARANIDHARAN567,Welcome to Tamil Nadu dude 😎,8,2024-05-29T03:25:00Z
@durrajassim9342,Oh my god 😂 they are kind people 😍,1,2024-07-31T20:47:39Z
@jeromeaaron5170,Chennaian&#39;s🇮🇳 fashion sense is incredible. noelgoescrazy* presents outstanding view of Indian couture designs😂😂❤🎹🎵🐅,40,2024-05-29T04:26:39Z
@CoraG-Adventures,I just love that Hair!!!❤,0,2024-07-19T13:13:19Z
@vefabayramova7082,Every robber should learn these dance steps for a backup plan....,3,2024-09-22T18:53:35Z
@vivianeze4889,This is so heartwarming 💖,0,2024-07-12T10:58:50Z
@busgeeth-ilemaurice6642,Awww... So sweet.,4,2024-05-28T21:29:26Z
@gayathrigopikanathan9272,Let&#39;s go macha😊❤,0,2024-06-17T06:14:07Z
