Author,Comment,LikeCount,PublishedAt
@nilestst,10% attempting the trickshot<br>90% rebuilding the setup,7826,2024-09-11T12:57:35Z
@Patricknot-star,Bro&#39;s patience 💀,3661,2024-09-12T13:22:36Z
@ẞLe55,Some serious PRO drift there👮🏻‍♂️😎👍🏻,22,2024-11-01T12:18:25Z
@Amiralizm-d2d,Very nice😮,9,2024-10-21T19:16:06Z
@Metal-g4l,Wow it&#39;s amazing 😀,7,2024-10-14T16:41:27Z
@MartaCat-t4v,Почему на этом шедевре так мало лайков???!??,4,2024-10-30T22:26:53Z
@verasouza642,I love drifting cars. 🚗,8,2024-10-27T16:59:21Z
@shielacapiral9697,1: focus<br>2: focus<br>3: speed and focus<br>4: drift<br>5:speed and focus<br>6: speed and accurate,6,2024-10-29T14:10:13Z
@ShashankPandey-tu4qp,Tarzen tha wonder car😂😂😂,7,2024-10-10T13:33:59Z
@IlhamekaRC,Nice video🔥,23,2024-09-05T11:33:26Z
@a-ztube,Awesome behind the scenes 💪😍,538,2024-09-05T06:04:42Z
@Eeedokk,The mini items are so adorable omg😩💗🎀,9,2024-11-02T09:24:57Z
@_.xNight,Cleaning the wet floor and Rebuilding the Dominoes must be PAINFUL,709,2024-09-21T10:14:15Z
@ARYAN-e7x7p,99 time practice<br>1 time success,8,2024-10-23T19:14:34Z
@RicardoIker,A este man lo deben de meter en concursos 😎,1,2024-11-03T20:45:37Z
@JelkaOdalgar,"Wow, props to u for building the setup every time it failed I can say ur pretty disciplined👏👏👏",6,2024-10-06T19:35:26Z
@Osmankhan-t7c,The first one is wild ☠️☠️☠️☠️,2,2024-10-25T03:54:56Z
@ILikeDonuts666,"Even though its an RC car, thats the most beautiful Aventador ive ever seen 🥲",4,2024-09-29T15:57:56Z
@skafrojali,Bros car collection 🗿☠️,61,2024-09-19T09:38:05Z
@jennylizbethtorrezmorales7411,Que   trucaso. Tan coooool 😎😎😎,2,2024-10-03T02:53:25Z
@aurorasoldani8180,Che bello vedere le cose in miniatura ❤🤩,6,2024-09-15T15:35:14Z
@medjayhiuhanatsu2634,Сколько же свободного времени у мужика 😂😂😂,1,2024-09-30T07:38:48Z
@JML58,Такие тачки просто мечта.,6,2024-10-08T17:12:05Z
@JML58,Such cars are just a dream.,1,2024-10-08T17:12:26Z
@markojasmin-y8f,how long do trick shots take❌<br>how to break a phone✅,3,2024-10-15T10:04:40Z
@Numnum-d4p,Finally something on YouTube shorts what isn’t brain rot😅😅,146,2024-09-23T05:37:58Z
@늅콘,The fact that he does it in slow motion means he succeeded😂,118,2024-09-16T00:14:56Z
@VivaanSachar-fb5qk,This car did more donuts than I ever had in my life,7,2024-09-25T20:17:46Z
@Mr.Calculator-vy4hw,"Me: Free time? Of course, I have some free time!<br>This guy with toy car: Some free time? Pfft!",87,2024-10-10T09:39:53Z
@Amir_UberEatsss,love your rc cars keep going,1,2024-09-22T07:18:17Z
@just.jose.youtube,Wow lots of effort! :D,13,2024-09-04T22:05:46Z
@surn6289,I understand it now,2,2024-11-06T03:17:15Z
@RayaanC-kr3xu,"The fact he is doing it with a rc car, mad respect",7,2024-10-08T13:55:39Z
@ashwinikari,Those mini stuff are so cute,1,2024-11-05T11:16:14Z
@BOEING--mh6xm,I really appreciate all the hard work bro does to give us these awesome videos,95,2024-09-20T06:12:51Z
@ultimatefreakform,&quot;incase you missed!&quot; ahh replays,1,2024-11-04T11:01:09Z
@PRINCEDANIELHONRADE-jm1cw,The amount of patience this dude has is mad respect,52,2024-09-28T06:18:42Z
@cristinasimoni576,&quot;What did you do today?&quot;<br><br>&quot;Hmm... It&#39;s complicated&quot;,1,2024-11-02T15:52:23Z
@rohithwilliam,Bro came from another universe,4,2024-10-31T12:32:10Z
@Papi_Andara,amazing skills &amp; effort,1,2024-11-08T04:35:45Z
@WHITE_COBRAZ,You have good talent,4,2024-10-02T07:32:37Z
@dak6903,"Very cool, good luck!!!",2,2024-09-26T21:41:44Z
@markwoods4656,Best video edits I&#39;ve seen so far.  Show us the full video if this is real haha,3,2024-10-20T02:13:40Z
@JawadMohamed-k8o,This is so amazing this is the spirit of drift art❤❤❤,24,2024-09-10T12:25:51Z
@Ayaanra-0,Best short ive seen its so creative,4,2024-10-07T21:36:01Z
@jameswatson-t2w,this man needs oscar,2,2024-10-01T06:28:29Z
@ShadabAlam-sh4rk,"He = Baby I&#39;m a car stunt man, <br>She = show me your stunts<br>He = see this 😂😂😂",32,2024-10-01T07:37:05Z
@aadaminecrafter,"Bro, the purple senna in the last clip 🔥🔥🔥🔥",15,2024-09-19T19:59:03Z
@SYREENLAURACYRUZ,Aku suka sekali❤❤,4,2024-11-02T10:49:56Z
@ilikeawesome,The first one is scary that could break the charging port,1,2024-10-23T02:29:02Z
