Author,Comment,LikeCount,PublishedAt
@Milaad_K,Subscribe for more magic tutorials ❤,3550,2024-11-23T17:33:47Z
@Adeebaaaem,"Not gonna lie, At first i didn&#39;t see bro wearing Airpods🙌🏻",9715,2024-12-07T08:49:56Z
@Hymn-p7q,The way he looks at his Daddy 💀,5781,2024-12-09T13:12:20Z
@its_kealen8086,why they gotta look at eachother like that tho 💀,5795,2024-12-16T22:15:59Z
@Darkghost-u1i,Dad revealing magic trick❌<br>Boyfriend revealing magic trick✅,122,2025-01-14T02:49:30Z
@Enzolima12345,Why do they look they&#39;re gonna Kiss  after each trick😂,2130,2024-12-02T00:18:53Z
@Kiliaaaa,why are those stares intimate asf 😭😭😭,2870,2024-11-25T21:15:42Z
@twisstedsinz7223,Bro had ear phones in the whole time lol,561,2024-12-20T00:41:13Z
@jandyelldouglas,A escolha da música foi perfeita😅<br>&quot;🎶Isso aqui não é macumba 🎶&quot;😅,22,2025-01-16T19:43:28Z
@betsyngugi271,The way they look at each  other😂😂,155,2024-12-27T14:58:33Z
@thesigma-e3e,HE HAD THE EAR PODS ON THE WHOLE MAGIC TRICK,319,2024-12-13T00:22:53Z
@jeeyatadvi746,I&#39;m in love with your magic tutorials,113,2024-12-08T18:14:52Z
@JaydenBrito-pg5fl,"Lol the last one almost got me, he was already wearing the air pods 😂",8,2025-01-16T12:58:10Z
@LiteGaming01,The dad looks like Dan Patrick 💀,166,2024-12-17T17:46:50Z
@DéboraMarquesMB,"A musica fez total sentido KKKKK &quot;isso aqui não é macumba&quot; sim, pq é um truque 😅",92,2024-12-12T23:32:28Z
@niwayanekawidiadevi6298,It&#39;s giving &#39;Baby boy and his &quot;daddy&quot;&#39; Vibe,32,2024-12-21T10:52:23Z
@Siddharth-p2u8p,I thought they were gonna kiss😂,1,2025-01-21T15:13:42Z
@GeorgeBright-z8h,Bro already had the ear pods,329,2024-12-02T18:13:31Z
@gunzo302,حاجی میلادمون دست میلیون ساب دارععهههه<br>افتخار ایرانی با اون بابات😂,18,2024-12-21T20:43:58Z
@RouqiaBejum,Headphones are already in milad&#39;s ear,1376,2024-11-20T03:10:33Z
@joshuaveras5408,The air pod one was impressive though ngl,1,2025-01-26T05:23:42Z
@HannahSwaray-u1j,He was already wearing air pod at the ending 😂,165,2024-12-12T18:27:27Z
@veronikaciappiwolf193,Bro came back for revenge💀💀😀,12,2024-12-20T07:01:12Z
@DanielWinter-p1v,Ele já tava com o fone de ouvido é só olhar mas legal 😎 😄😁👍👍,18,2024-12-22T01:49:59Z
@faizanpainter3710,He already had Buds in his ear 😅😅😅,1,2025-01-28T12:36:36Z
@Ângela-Ribeiro,&quot;Isso aqui não é macumba&quot; kakakakkakak combinou com o vídeo,140,2024-11-26T17:21:30Z
@engineerenayatullahoryakhe6,The way he looks at his father😂,123,2024-11-23T22:06:45Z
@MouG-j7j,Your dad is super handsome and his eyes OMG 😊,19,2024-12-20T14:58:20Z
@AranSenerash,Your dad is so pretty 💗,0,2025-01-16T03:51:38Z
@هانيحسني-ح7و,اصلا هو كان لبسها من الاول😂,60,2024-11-22T13:35:01Z
@imugame,پشمام!ایرانی ندیده بودم انقدر ساب داشته باشه!باریکلا!😂❤,67,2024-11-30T16:02:01Z
@احمدالعمودي-ب8خ,اللهُمَّ أحسن خاتمتنا في الأمور كلها وأجرنا من خزي الدنيا وعذاب الآخرة يـا ربي توفنا وأنت راض عنا و لا تجعلنا مع القوم الظالمين.,0,2025-03-07T01:43:42Z
@Isthatjeremiah_j,Why r they staring at each other like its abt to get TV-MA😭,199,2024-11-30T01:17:42Z
@نسمهمحمد-ه5ث,هو الولد قبل ما يفتح سماعه جان بءذانه 😂😂,16,2024-11-22T12:36:02Z
@emmasofiavillamilrodriguez,Bro the way he look at his dad ☠️,5,2024-12-18T16:04:12Z
@sony_brshitposting1502,“Isso aqui não é macumba” ahhhh music 🗣️🗣️🗣️🗣️🗣️🔥🔥🔥🔥🔥🔥,0,2025-01-14T20:41:33Z
@anthonybchara7207,How he looks at his father😂😂😂,265,2024-11-19T21:20:51Z
@mamtagahlot5347,Dad is so cool❤❤❤❤❤❤❤❤,23,2024-11-20T14:25:34Z
@miguelgerman7620,bro had already had them in 👌😮‍💨,15,2024-11-27T22:52:52Z
@Vanewe19-dm3ei,Yo con 7 años :😮<br>Yo con 24 años : 😮😮,1,2025-01-11T04:24:32Z
@marialuisacaccavale7405,Adoro Milaad Lui è il più bravo Al mondo a Fare i giochi di prestigio mi dispiace per lei Ke è il suo papà ❤️💕💕❤️💕💕❤️,33,2024-11-20T20:34:20Z
@AshleyDean-m7d,The boy had the AirPods in his hair before the man did that last trick😅,5,2024-12-06T21:17:46Z
@anahidiaz8393,Altos trucos de magia xD😂😊😅❤,45,2024-11-21T23:08:25Z
@Johancedric,the last 😂 prévisible,0,2025-01-14T10:01:37Z
@Soheil_Seven,Thats Bic ! You Are Persian ❤,7,2024-11-22T19:28:06Z
@ReetaHscl,Baap rocked<br>Beta shocked&#39;,6,2024-12-23T15:53:37Z
@MariadelMarGalvez,Ya los tenías puestos antes😂😂😂😂😂❤❤❤,35,2024-11-24T10:18:55Z
@chinowi1,Lo mejor el final siempre los tuvo puesto algo asi como decir donde esta tu atención,0,2025-01-23T05:17:32Z
@LightPurpleGamerPinkPing,Bro the earpods where aready there 😂,5,2024-11-30T11:05:33Z
@AlexaRamirez-v4n,He’s was wearing the air pods but after😂😂😂😂😂,61,2024-11-26T18:20:50Z
