Author,Comment,LikeCount,PublishedAt
@dheerajronaldo,"Daniel doesn&#39;t need excercise, he gets it while doing his videos",7398,2021-10-08T07:11:04Z
@sanchitachowdhury1431,"All jokes aside, these guys have incredible hand eye coordination.",5083,2021-10-06T19:16:11Z
@RealImpostor,These butlers are even faster than James Bond at his job,15360,2021-10-06T18:14:49Z
@Master0fHyrule,How dare you let her open up the door at the end.   🤣,143,2023-10-23T09:50:11Z
@balladoffood9923,alternate title: Kid&#39;s trying to please their mom after messing up bad.,20208,2021-10-06T17:23:36Z
@nidhibhattacherjee8284,The satisfaction when they simultaneously catch those two envelopes is on another level.,1107,2021-10-07T07:36:22Z
@LaurenLobel,POV: your staying at a 6 star hotel,3440,2021-10-06T17:21:33Z
@pupcorny7280,Now I wanna see the bloopers 😂,236,2023-08-05T14:56:41Z
@aqueelkadri8371,Therapist: Imagine a place whose layout is etched in your brain<br><br>My brain: Daniel Labelle&#39;s house,482,2021-10-06T18:23:03Z
@avpaavcomics1299,Daniel&#39;s athleticism is out of this world.,2709,2021-10-09T06:13:48Z
@totallynotmariafton2995,Them: <b>does instant bulter moves</b><br><br>After when they are done: <b>just standing and stare each other</b>,1590,2021-10-08T13:00:14Z
@koolkush7982,This man’s videos are GOLD!!!,24,2023-07-23T14:45:03Z
@AvhidanXAngel,They are soooo good at keeping a straight face for the whole time<br>I would probably accidently disturb the recording with my laughter over and over,422,2021-10-07T14:39:17Z
@claydavidson2309,"To this extent, he&#39;s giving full house tours in almost every video.",768,2021-10-06T20:47:32Z
@Minious1020,It&#39;s like children trying to quickly clean when their mother gets home,2154,2021-10-07T07:28:52Z
@LaneBartelt-op1yr,Does anyone Else think it’s satisfying when in The short when they catch the two objects it’s satisfying😂😂😊😊😊,3,2023-11-29T02:38:06Z
@aravind_247,World&#39;s luckiest wife award goes to Daniel&#39;s wife,7739,2021-10-06T17:31:01Z
@kt_1005,Imagine how many shots it took for them to catch the mail ☠️😂,2112,2022-06-15T20:33:29Z
@brunom72,the &quot;envelopes thrown out the window then got caught&quot; scene is magnificent !!!,415,2021-10-07T08:49:35Z
@しまもん-n5y,作業をやり終えた後に、(   &#39;-&#39; )ｽﾝｯってなるの好き😂,30,2023-04-07T22:42:31Z
@TimeBucks,The funniest was the bedroom part.,1633,2021-10-07T08:50:34Z
@MillionOCs,"Daniel: “We don’t go to the gym, we make videos.”",767,2021-10-06T20:11:09Z
@Shakirprimez,The dedication on this single clip is more than my entire career.,1628,2021-10-11T16:35:14Z
@TheTimmarr,The way she just locked them inside at the end 😂😂,11,2024-07-31T15:30:45Z
@Gumballzac21,The idea that they stood in the closet waiting for her to come for the bag is hilarious 😂😭😆,251,2021-10-07T14:18:49Z
@thevesselofiam8475,The way they look when they stand after a task is so satisfying.,1111,2021-10-12T05:35:24Z
@lastghostcookie,I swear this guy is the most athletic person I’ve ever seen,836,2021-10-06T17:23:10Z
@sherw7635,😅😅😅😂😂These guys are nuts... I love it..,1,2023-03-17T01:56:38Z
@norian4305,The level of comedy and the athletic ability Daniel always brings always brings a smile on my face,1075,2021-10-13T02:22:03Z
@DMGGoodTimes,Why not try in Olympics?😂,12608,2021-10-07T06:08:41Z
@robin.jashinsky,When his wife just casually goes about her day...also love when she throws the envelopes out the window and Daniel and his brother catch them.,481,2021-10-07T14:18:12Z
@MHA_Lover2024,She slept in her day time clothing 😂😂😂😂😂😂😂😂😂,1,2023-05-08T00:03:27Z
@onee,"She&#39;s like, &quot;I could get used to this.&quot;",2010,2022-09-16T13:07:25Z
@juliamay2156,Some of the stuff Daniel and his friend pull off (like when they caught the envelopes) is actually pretty impressive!,372,2022-04-14T12:55:07Z
@Sidd1481,My mom after watching this <br>&quot;Learn something from them&quot;,2078,2022-07-30T18:43:18Z
@McDrumstick,Bro isn’t getting paid enough for this,1,2024-12-27T17:41:06Z
@addie_11,I love how they just caught the packages!😂😂,1941,2022-04-22T03:15:43Z
@starlight0714,Love how she’s just casually walking and her expression says “this is everyday life” <br>Edit: damn guys I come after a day and so many likes. Tysmmmm,4648,2021-10-06T17:25:31Z
@machine_gun_kelly_4_ever,Oh well. I guess I’ll have to pour my self a cup of instant butlers. 🍜🕴️,1,2023-04-30T01:49:16Z
@LabRynthisist,The amount of discipline the woman needed to muster to try not to laugh is remarkable,1891,2021-10-13T19:42:36Z
@jayadrew9530,Daniel&#39;s sense of humor never gets old.,459,2021-10-14T23:48:09Z
@utkarshbihaniarts6346,This man deseves Guinness book of world records for his ideas.<br>Edit:I also deserve a guiness world record for this much likes.,441,2021-10-06T18:10:24Z
@IBF69420,so yes catching and taking things good and even catching the mail being very good,1,2023-05-30T11:02:45Z
@defenderstrange9522,Can we just appreciate the appreciators appreciating Daniel?,70,2021-10-06T17:44:04Z
@imjustaweeb8235,Bro imagine how many takes it took for the letter one tho. Those packages could have flown anywhere,901,2021-10-11T01:43:48Z
@msn2005,"Daniels future kids to their mom: Mom, why is dad so crazy?",2244,2021-10-10T15:41:43Z
@Gacha-Gr33n,The amount of luxury she having😂,6,2023-07-30T19:13:45Z
@Kiragi,I feel like the neighbours are like<br>“honey he’s doing it again”<br>“Doing what”<br>“Him and his friend are running into the garden catching packages”,329,2021-10-06T18:02:36Z
@damonyucky,That mail catch. Man I can’t keep replaying it.,713,2022-12-02T01:00:54Z
@jacqueslalonde6370,These guys are actually very impressive at their work.,623,2021-10-15T09:24:50Z
