Author,Comment,LikeCount,PublishedAt
@craigjuniormorrison4008,Red shirt guy is the definition of ‘work smart not hard’<br><br>Damn I have never gotten this many likes on a comment before,70083,2024-03-31T20:28:01Z
@King_PirateYT,Red shirt guy is the main character 💀,26015,2024-04-14T13:52:15Z
@hhhfgjnn_,the beginning: wooow<br>the end : SiUuUuUuUuUuUuUuUuUuUuUuU,2561,2024-04-14T22:33:24Z
@Growwin7,That suuuuuuiiiiiiiiii was so smooth 😂,238,2025-01-04T16:02:30Z
@ahmadsweed-yo5ci,I like that he drinked it instead of throwing it,5045,2024-04-13T01:11:47Z
@mayuksarkarxt4354,Siuuu at the end 😂😂,6327,2024-04-02T06:48:49Z
@Masterplanfoiler,"“go ahead, mr jostar”",2856,2024-04-04T08:36:48Z
@agentdollar8166,The blue T-shirt guy is definitely Ranveer Kapoor,7906,2024-04-07T19:30:54Z
@xnzcq8988,Bro used 102% of the cup,1639,2024-12-28T10:41:48Z
@ECNLGK_,Wife: He’s probably cheating on me 😞 <br><br>What he’s doing:,8478,2024-03-31T04:33:23Z
@anjalishukla6224,Boys divided by border but united by &quot;SIUUUU&quot;,53,2024-04-14T15:22:53Z
@toastisity,"&quot;Go ahead, Mista Jostur",308,2024-04-14T15:16:33Z
@Swish_the_first,For those who don&#39;t know how it was over the glass it called surface<br> tension,1111,2024-03-31T19:05:35Z
@Grippyman-g3d,I low key wanna try this idea,4,2025-02-17T14:24:03Z
@abacaxirusso2023,The red is the protagonist 😂😂😂,2500,2024-04-19T02:26:46Z
@Nitrojak1,Me when I’m in Egypt trying to fight a vampire and I meet a gambler who wants to play a game:,561,2024-11-29T21:09:55Z
@Jagariko_Oishii,The penalty: Drinking water💀,2296,2024-04-20T21:23:39Z
@charlottesweb9504,Why are the waiters taking so long it’s just water? <br>The waiters :<br>/edit: not trying to be that person but 100 likes? Thanks lol,108,2025-02-11T17:14:59Z
@PinkGodYT,&quot;Hes probably cheating on me.&quot;<br><br><br>&quot;SSSSUUUUUUIIIIIIIIIII&quot;,1375,2024-04-10T00:01:36Z
@Dumb813,I like the way they drink that water instead of wasting.,1314,2024-04-17T17:43:48Z
@unknown_85272,Surface tension passed the vibe check,596,2024-12-26T15:43:37Z
@Alwaysout,Bro turned into badland chugs 😂😂😂,1,2025-03-17T01:47:32Z
@Ayesh_Fatimah,Idk why...😂😂bt the guy in blue shirt looks like Ranbir Kapoor 😅😅,2394,2024-03-31T15:23:56Z
@dav1dasryan,That siiiuuuu💪🏼🐐,535,2024-03-28T20:50:41Z
@mayankraj3494,Bro proved that his tap water is drinkable.,691,2024-04-09T14:39:42Z
@yuki.35xxxv,"<b>&quot;GO AHEAD, MISTER JOESTAR.&quot;</b>",658,2024-04-21T07:25:36Z
@StarFX7,Purple shirt guy was straight up evil,816,2024-04-06T14:27:35Z
@Dragondantani,She : he must be cheating on me. <br><br>He :,1458,2024-05-01T19:28:07Z
@mona17-r1m,&quot;Suuuuuuuu&quot;😂😂😂,153,2024-07-05T14:36:15Z
@nakshanachu9895,The guy in blue shirt nearly looking like ranbir a bollywood actor 😊,302,2024-03-30T09:41:02Z
@ajithaaneesh7731,Siuuu🇵🇹🇵🇹 at the end😂😂,172,2024-05-19T13:50:16Z
@KentchessLe,Surface tension coming in clutch,19,2024-04-13T16:56:26Z
@someonehavinganidentitycrisis,"Certified &#39;Go ahead, Mr Joestar&#39; moment",147,2024-04-19T18:54:47Z
@KaminOfficial-j6f,That &quot;suuuuuii 🐐🗿🗿🗿,559,2024-05-14T05:50:46Z
@KZN_Footballhd,I loved that he drank it instead of throwing it❤,1,2025-02-20T04:33:44Z
@imakshayharikumar,That siuuuu was smooth af,64,2024-04-25T12:32:23Z
@JeromeAbela-uv8bi,That SSSIIIIUUUUU🇵🇹🇵🇹🐐,156,2024-04-03T13:58:31Z
@Foolishfoolisveryfoolish,Surface tension allows the water to go above the glass. For those who were wondering. Tbh u can still put like 2-3 coins in a seemingly full glass,49,2024-07-11T21:55:05Z
@North_east_train_channel,Bro used 101% of the cup 💀💀,1,2025-02-19T17:18:38Z
@blrrock,Tapping on the Tap was a clever one,21,2024-05-08T07:51:44Z
@statussworld8302,We got American Ranbir Kapoor before GTA 6 💀👍🏻,1769,2024-05-25T11:04:00Z
@Boring0212,When you realise guy in pink shirt actually lost  he spilled one drop,91,2024-03-27T16:09:10Z
@N.BUONAPARTE,Bro used 100.005% of his cup,1,2025-02-15T05:15:17Z
@ClashHeroYT,I refuse to believe that the guy in the blue shirt lost,335,2024-03-26T15:54:49Z
@gressysingh9580,Blue t-shirt guy was looking like ranveer kappor😂😂😂,475,2024-05-27T09:00:19Z
@theawesomenessofyou,Man he did 100000000000000000000iq move😂😂😂😂😂😂😂😂,103,2024-03-26T15:32:29Z
@Elephant182,Bro used 101% of his cup 💀,1,2025-02-15T19:14:16Z
@shirothetyrant5627,Who else noticed the guy in the pink shirt been lost because when he turned on the sink water fell off the side of the cup 😭😭,39,2024-04-04T00:33:57Z
@ShinkinNoMakai,"You should put a piece of chocolate under the glass, then let the sun melt it when your turn comes in",115,2024-04-06T03:59:18Z
@aanyitlepcha6323,Bro&#39;s edging the water💀💀,220,2024-07-02T15:44:35Z
