Author,Comment,LikeCount,PublishedAt
@bexmw,Yaaaaaas these are my favorite! Ground crew always brings the energy,81,2024-12-27T19:11:22Z
@lesbw356,Never get tired of watching these masters of flight !!!!,29,2025-01-01T01:41:15Z
@wilfridogarcia7605,Impresionante ver a estás Personas como hacen su Trabajo !!! Todo un gran Equipo!!! 👍👌👌,6,2025-01-19T16:48:57Z
@cxg174,When that plane goes straight up  though. Wow! It always reminds me to be grateful for my husband serving on an aircraft carrier and what his world must have been like then.,15,2024-12-31T12:50:47Z
@candacebrickley7442,I lovingly respect ALL y&#39;all. The water in the face never gets old. You ALL are the BEST!!! ❤,46,2024-10-27T22:30:17Z
@kaesy764,Ist das krass...Anflug SENKRECHT auf den Träger!!!! Ihr Piloten seid die wahren Helden❤❤❤❤❤❤❤❤❤❤❤,3,2025-01-01T19:15:52Z
@ilonaknappe6816,Das Bodenpersonal leiste auf tolle Arbeit...immer mit etwas Spass❤❤❤❤❤,6,2024-12-30T05:46:57Z
@JordanSchreiner-p3o,THANKS FOR YOUR SERVICE IN THE AIR FORCE LADIES AND GENTLEMEN AND MUCH APPRECIATED GUY&#39;S!❤😊,12,2024-12-31T17:40:25Z
@Judith-f4s,Respect!!! Ground troops as well. Blessing,23,2024-10-18T11:21:03Z
@ЕвгенийАлексеевич-ч7э,"Да, вы лучшие... Пока наши пилоты в ангарах,на перекуре!!!",4,2025-01-02T23:50:41Z
@blancapaz455,Ellos no trabajan ellos aman lo que hacen y yo seria igual a ellos disfrutando a mil❤,1,2025-02-01T01:25:56Z
@shaffergirl1732,And I feel a little badass using hand signals as my husband relies on me to back up the trailer. I can’t imagine how this crew must feel ❤️,20,2024-10-24T06:54:22Z
@martharuedaplata3650,"🎉 felicitaciones y mis respetos a estos seres tan importantes,",1,2025-01-04T11:34:41Z
@amysumner6883,So BAD ASS!!!! My grandfather&#39;s both were WW2 &amp; Korean war vets my father veitnam vet and my husband desert storm vet....LOVE ME SOME MILITARY!!,3,2024-12-31T09:22:46Z
@lidiahumbertodasilva,Parabéns vocês são nota mil ✈️👏🏻👏🏻👏🏻👏🏻👏🏻🥰🇧🇷,0,2025-01-19T06:15:25Z
@Viktoria-em8jn,Ребята супер так держать вам нет равных!!!!,4,2024-10-19T13:08:32Z
@terecristobal7639,"Estos pilotos maravilloso, Bendiciones",0,2025-02-04T15:36:02Z
@Yakut_83,Красавчики ...👍👍👍👍👍👍👍👍👍👍,5,2024-10-27T13:47:38Z
@CountessKek,The ground crew are WAY more entertaining than they were in the 60s/70s when my Dad was a Navy officer😂❤,0,2025-01-14T14:17:49Z
@JuanPabloSantoyoVega,Lo más chingón que ay en la vida es la pas y el respeto al prójimo dios nos bendiga siempre amén,75,2024-08-27T01:22:54Z
@terenceswartz6309,The coolest group of men and women in the world! Not even close!,1,2025-01-10T13:26:16Z
@викалайк-ч8д,"Автору респект за ремикс ZOMBIE, с удовольствием подпевала, без этой песни не проходила ни одна дискотека моей молодости ❤",21,2024-10-05T23:33:02Z
@slavaFilipps-o5v,Наши лучшие!!! Респект парням и уважуха!!!,7,2024-10-15T15:43:43Z
@IvetaKolaříková,Smekám...jste luxusní borci!!!!!Miluji vás ❤❤❤,0,2025-01-05T21:59:11Z
@AbelPrieto-tq4un,Nuestro máximo respeto para estos héroes 💪💪💪,14,2024-09-24T09:04:59Z
@vivianagalvis6029,"ME MUEROOOO!!! De la emoción. ..bellos ,bellos, todos!!",0,2025-01-02T16:53:29Z
@ТатьянаПсихолог-й8ш,КРАСАВЧИКИ РОССИИ❤❤❤,2,2024-10-25T15:56:44Z
@dianastump2474,Thank you for your service you do amazing things. God Bless all of you and stay safe and cube home too your families.,0,2025-01-19T11:45:05Z
@meiyaliu3189,不管哪個國家的~看得出來真的很熱愛自己的工作與國家~就是值得尊敬的~而不是去論這個國家的政治立場~因為一旦有立場就基於利益論了~,72,2024-10-21T08:54:43Z
@robertdiceston3336,When you love your job and you are GOOD at it,34,2024-10-24T17:48:35Z
@МаринаМарина-з6м7в,Красавчики !!!🎉🎉🎉 еще и с чувством юмора!😊,1,2024-10-29T06:48:20Z
@irishman79401,It takes a special breed of human to be able to fly those jets at those speeds..  all  USA air force pilots and military members!!! You fucking rock!!!  thank you for protecting America.  God bless every last one of you!!!!,8,2025-01-03T01:33:30Z
@margaretmadonna6839,"The fella is in the yella….hella funny! I thank each and EVERY single member of our armed services! Much love, respect, and admiration to each and every one! God speed and keep these heroes safe!",0,2025-01-05T10:00:11Z
