Author,Comment,LikeCount,PublishedAt
@JoanneGonzales-pg8gk,great magic😊😊😊😊😊,6,2024-12-17T01:11:56Z
@qetevanwiklairi5349,Omgggggg❤😊❤😊❤❤😊😊❤😊❤😊❤ tank you,7,2024-12-16T04:25:53Z
@Ashfaqul56,I understand 😂😂<br>Easy peasy😂😂,6,2024-12-15T10:17:08Z
@Zibzabzabalien,"For those who dont know, there was a hole in the cup that he was covering in the index finger and also a second dollar in his ear so when he took the dollar he took the dollar in his ear and put it in the cup by using the hole<br><br>Edit:YALL I KNOW I GOT IT WRONG SO STOP BEING MAD ABOUT ME, I ALREADY FIGURED OUT THAT HE JUST SCOOPED THE DOLLAR BILL WITH THE CUP",152,2024-12-16T11:26:11Z
@priyadubey1631,Super super video 👍,13,2024-12-15T10:19:04Z
@Ariana-pp9qu,Y vieron que estaba en su oreja 😂😂😂 qué fácil😅,1,2025-01-05T05:41:54Z
@EugenexRoblox,Showed this long time ago<br>❤,1,2024-12-23T23:53:22Z
@سارینا-ه4ن,پول رو از پشت گوشت برداشتی😂😂,0,2024-12-21T00:02:37Z
@safaatfamily1912,Great magic❤❤,0,2025-01-25T09:18:46Z
@Maroun-b8x,There was money on ear😅,1,2024-12-19T02:31:18Z
@rudolfshaikhutdinov4699,Бумажка у тебя под ухом и она падает стаканчика,1,2024-12-20T16:18:35Z
@Cooking-with-Noah,You can see the money on the ear,2,2024-12-15T16:40:41Z
@Chezburger-69,"No, it was on his ear. Look at it.",1,2024-12-20T00:06:00Z
@melobtm5426,That’s cool,2,2024-12-17T12:37:27Z
@WaimeiChair,So cool 🎉🎉,2,2024-12-16T13:03:09Z
@Colbybegettingfries123,No duh it’s behind his ear it’s meant to be magic to her not you all.. 💀🙄😑,2,2024-12-16T01:58:34Z
@konulnagiyeva1176,😮 how did that happen😮😮😮,4,2024-12-15T19:52:14Z
@WhitleyWarren,Sooo cool I see it in your ear 🥱🙄,1,2024-12-15T16:12:02Z
@lanijacinto5802,Is magic trick 😁🤯👌😎🔥🤓 <br><br>It&#39;s a money 💰,0,2024-12-18T11:05:13Z
@Whiteplayztsb,yo another one?! YESSS SIR,13,2024-12-15T10:26:29Z
@natalenalansing1077,I love you so much bear 🐻 ❤😊,2,2024-12-16T00:42:37Z
@Mariam_Diana,Waw🎉😂,2,2024-12-15T13:20:04Z
@Meloniun,Bro is so fast,1,2024-12-15T12:56:05Z
@willyleblanc2953,"Mais c’est de la triche, tu as de l’argent sur ton oreille",1,2024-12-18T19:47:00Z
@Duolingo1-t2j,Bro you are so super fast,1,2024-12-17T03:27:13Z
@siantuang-j4j,those who don’t know there was no hole that he was covering he just brought the cup to the ear where the money was cause ping a hole would be mostly impossible and i said mostly not fully and so when he did he did it fast so it won’t fall,1,2024-12-22T03:38:37Z
@NadiraRamrattan,Wow so cool Magic🎉🎉🎉🎉😊😊😊😊❤❤❤❤,0,2024-12-17T11:56:50Z
@Solobige,Hi I&#39;m a big fan of yours can I get a pin 📌😊😊😊😊😊,7,2024-12-15T10:02:08Z
@ferdawrs,I see the doller in you ear😒✌,25,2024-12-15T10:18:47Z
@ReshaDenton-jn3kn,There&#39;s money on his ear😮😮😮,2,2024-12-17T00:31:24Z
@KenzieFraser-k6g,i love your vids so much,2,2024-12-17T23:37:03Z
@RrraakkAlm33,من الأساليب المهمة في التخلص من الغيرة المرضية التركيز على إعادة النظر في العلاقات والأشخاص في حياة كل شخص، والبحث عن الروابط الجميلة في هذه العلاقات، وخلق التفاصيل السعيدة بها من أجل تقوية العلاقة، وتدريب النفس على الامتنان على جميع النعم في الحياة، ومحاولة عدم التفكير في أفكار الفقد أو الخسارة.<br>/////////////////////////////////////,1,2024-12-17T01:38:29Z
@fanaticfreak9392,I see the dollar in his eat,2,2024-12-16T12:17:06Z
@ثنوس,عيد ميلاد سعيد يا صديقتي الحبيبة ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,4,2024-12-16T11:20:36Z
@ashlyntolliver6692,Wow he is a super magician,1,2024-12-16T02:01:49Z
