Author,Comment,LikeCount,PublishedAt
@NileRed,"I&#39;ve given it a lot of thought, and I&#39;ve decided to move this video and most of the 1min+ videos from Nilered 2 over here as shorts. This is because my goal is to have all of my shorter content conveniently in one place, and I also want to avoid any confusion if I post any 1min+ shorts in the future.",9948,2024-12-08T19:31:20Z
@KC16A6,&quot;kinda gross&quot; is the LEAST threatening description Neil has ever used,16629,2024-12-09T23:58:38Z
@grubbsgaben4461,Step 1: Add some water<br>Me thinking I can do this at home<br>Step 2: Hexamethylenediamine<br>Yeah nevermind,921,2024-12-17T14:35:53Z
@Ashlyum,&quot;Today i am gonna doing something a bit gross&quot;<br><br><b>pulls out the DNA of the water</b>,2764,2024-12-18T17:26:58Z
@victoriapodnebesnyy2009,That splat was so sad 😂,4967,2024-12-09T01:08:25Z
@Quwen,Im pretty sure this is how spiderman started,19002,2024-12-10T00:37:34Z
@j.k.o.t.l.c,"So gross, adding water to a beaker. Never seen something so gross.<br>Thankfully he added a satisfying reaction at the end",1000,2024-12-16T13:58:29Z
@Felix8XD,"We did this in chemistry class and my group tried adding erasable ink to color it, but no matter how much we added, the ink vanished much to our dissapointment. but when we pulled out the nylon string, it turned blue the second it left the liquids!",22919,2024-12-08T22:24:55Z
@41E314,Spooder-man,21,2024-12-24T17:52:15Z
@LDGames309,This is the most careful I’ve seen him after saying the word “carefully”,1424,2024-12-10T01:13:02Z
@Arterexius,"I saw the Cyclohexane and was like &quot;I recognize this chemical, but I can&#39;t remember if its for plastics or for something either gross or extremely dangerous&quot;. Turned out it was plastic, thanks Nigel, your content makes me feel like I didn&#39;t waste 3 years of my life taking the same chemistry class all over again before dropping out",1624,2024-12-14T03:28:51Z
@krustentier1710,"this is the first time i knew what the outcome was as soon as you made the second solution; and because i’m a person that usually sucks at chemistry, i‘m pretty proud of myself 🥰",24,2024-12-16T00:31:15Z
@negljbreakergaming,"&gt; Sticky white thing on thumbnail<br>&gt; Title says &quot;doing this is gross but satisfying&quot;<br>&gt; Video opens up &quot;today, I&#39;m ready to do something gross&quot;",8054,2024-12-09T00:48:23Z
@christopherhoskins,“I’m ready to do something nasty” coming from Nile will live in my head rent for for years.,160,2024-12-14T14:33:28Z
@emeruen,“I’m ready to do something nasty”. Hope that doesn’t get taken out of context 😂,12,2024-12-17T18:29:03Z
@KINGShaheed,"I known you&#39;re secretly Spider-Man, Nile.",839,2024-12-10T14:23:38Z
@Djoki1,"That splat brought out the strongest &quot;Eew brotha, eew&quot; from me.<br>I dont know how to describe it.",2285,2024-12-11T16:40:03Z
