Author,Comment,LikeCount,PublishedAt
@LiveWachie,Screaming woooooooo!!! till upstairs 😂😂😂😅😂,157,2025-01-03T21:54:14Z
@eonemonterola1733,😂He is so funny ... screaming until upstair 😂 <br>&quot; CHUPAPI &quot;😈😂😂❤<br>&quot;MAAMAA&quot;😂😂😂❤,26,2025-01-27T12:46:50Z
@AshwinSadh,&quot;Chupapi 😈💦&quot;  💀 <br>&quot;Maamaaa 💅&quot;   💀💀,6284,2024-03-24T16:36:47Z
@ChrissyDawnMusic,Why is the running up the stairs from the dark so relatable 😂,2,2025-01-23T23:35:39Z
@국정민,"This is pure talent, no doubt about it.",120,2024-08-30T15:33:53Z
@jaleahchambers8,The “momma” GOT ME ROLLING ON THE FLOOR😂😂😂,325,2024-06-18T20:50:58Z
@Partydog674,You will never know how this comment got popular,13568,2024-01-16T22:21:00Z
@KhadijaJwairyagaming,It&#39;s me when I say I will ģo to sleep faster than my sister 😂😂😂,1,2024-09-23T15:33:39Z
@chicken,"The scream was intense, but the &quot;Mama&quot; was even more chilling. The picture on the wall seemed to come alive.",503,2024-03-05T23:42:17Z
@Ms_Rosie7,That &quot;Mama!&quot; Gave me flashbacks of what happened,902,2024-05-15T09:51:58Z
@jacobyenidllanosortiz2498,"The screeming when he sees he is alone, always makes me laugh and the way he runs😅😅😅 wooooooooooooo!!!!!!",184,2024-06-25T04:29:38Z
@MdFarabi-d3m,আমি হাসতে হাসতে শেষ 😂😂😂🤣🤣🤣🤣🤣,20,2024-10-11T05:24:43Z
@douglasseruwo7047,The pic in the bedroom 😂,215,2024-04-16T08:59:38Z
@Urfave_Ocean,The way he ran up the stair like a tiger was chasing them.<br>MAMAAA GOT ME LAUGH<br>ING 😂😂,111,2024-07-20T18:30:48Z
@indiantech4460,"If  you go under your blanket, the ghost won&#39;t do anything  to you😂😂",719,2024-06-02T08:02:36Z
@menukamagar2081,MAAAAMAAAA got me rolling to Mars😭🤣💀,0,2025-01-18T21:19:05Z
@Millyonneknives,The poose on the wall picture is killing me 😂😂😂😂😂,265,2023-12-27T00:53:47Z
@junkytrixter,"“Your not afraid of the dark, your afraid of not being alone in the dark” -a wise man",409,2024-03-21T11:08:58Z
@alyssaheidenreich4514,"When you said mama, it made me kick my own face😂😂😂😂😂😂😂😂😂😂 and I started like punching myself in the face. It was just too funny. I was laughing so hard.",47,2024-06-19T00:12:48Z
@ICONIC1010Hospital,Maamaaa&quot;last famous words&quot;💀,2,2024-12-30T13:16:45Z
@KalagaMani-jv8yw,That Mamaa Was Way Scary After The News,384,2024-01-19T13:10:01Z
@herhersister7977,What the heck!?!?😂😂😂he is tooooooooo funny!!! With the &quot;Mama&quot;!!!😂😂😂 and &quot;chewpapi&quot;....😅😅😅,53,2024-07-26T20:29:59Z
@FIFA_RETRO3,The best video in the world 🌎 😂😂❤,92,2024-04-06T19:14:09Z
@RutujaDudhmal,Mamaaaa got me 😂😂😂,3,2024-09-15T16:06:07Z
@مجروح-ف6و,"He was running away to Mama, now he is running away from Mama 😂",84,2024-03-30T15:01:20Z
@Sammyplayzgames,that last scene caught me off guard 💀💀,400,2024-03-07T16:31:34Z
@Cdrama_lovers27,😂😂😂😂😂  Chunpapi munya was everything then mama makes it more sus ❤😏😏😏😏😏😏,38,2023-12-27T03:56:14Z
@sherryrosecalleja6416,"Bro when the lamp broke, i heard glass break",1,2024-12-27T05:27:35Z
@Ruthjoseph407,The photo on the wall though 😂😂😂😂😂😂,260,2023-12-26T16:12:03Z
@anirudhsharma4896,When it’s dark in the cell <br>Him:- Mama aaaaah…..💀💀,159,2024-03-26T13:46:16Z
@Als0Chaotic,That mama sound is still haunting after hearing that news,248,2024-01-14T10:39:56Z
@hailemariamteklewoldbelayneh,Mamaa Got me laughing😂😂😂😂😂,0,2024-12-16T13:15:02Z
@littlemuffin-u4d,That &quot;wooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo&quot; got me🤣😂,4,2024-03-18T10:33:28Z
@pedrorosales1363,Bro screaming MAMA!! In his jail cell<br>edit :DANG BRO OMG THX FOR SO MANY LIKES I NEVER GOT THIS THX!,3636,2024-02-05T07:04:32Z
@softhorns-1,&quot;Chupapi munyanyo&quot; 😭😭,778,2023-12-26T14:16:30Z
@Con863,This guy&#39;s videos crack me up 🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2025-02-16T02:43:46Z
@Weniz_editz,Le &quot;mamaa&quot; cest pour me tuer😂😂😂😂i love your video,38,2024-08-16T23:33:01Z
@khushishanthapa,My son also does like that he runs when he turns off the light😂😂😂😂😂😅😅😅😅😂😂😂,211,2024-04-12T11:12:27Z
@Brayden-ij5qx,This is so dumbly funny its so relatable,14,2024-04-07T04:40:07Z
@ZoeAlvarado-x2t,Screaming woooooooooo!!!! it’s so funny😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2,2025-02-08T05:19:05Z
@ImranTegrini,Bro is running to jail at the end 💀 💀,113,2024-04-05T15:19:14Z
@ticklegiggle,Mama! The tone is funny 😂😂🤣🤣,16,2024-06-16T23:12:00Z
@adjarakaramoko8916,Bro running for his life 😂😂,106,2024-03-17T16:31:08Z
@jillmwaniki5452,Mama got laughing on the ground😂😂,4,2024-09-15T02:43:57Z
@brye5811,The picture on his wall was so personal😂😂😂😂😂😂,23,2023-12-30T20:09:10Z
@uchechiokolie3657,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂&quot;MAMAA!!&quot;😂so chaotic and funny😂😂,40,2024-04-04T17:22:40Z
@xoxoxo661,the picture got me cracking😅😅,87,2024-08-18T15:55:32Z
@GlasstheEmeraldSword,Bro when the Light Breaks the sound effect is a Magic Sound 💀✋,1,2025-01-11T21:11:39Z
@METYOR2011,--CHU PAPI  MNYENYE....<br>--MAMAA...<br>😂😂😂😂😂😂🤣🤣🤣🤣🤣,9,2023-12-27T10:26:46Z
@SajinAnas,Mama its not just a word its a Emotion 👍,169,2024-02-11T19:12:14Z
