Author,Comment,LikeCount,PublishedAt
@TsgsGsdhs,The bullets been real quiet since this dropped 💀💀,75444,2024-05-19T17:53:50Z
@zem7127,&quot;Switching to your missile is faster than reloading&quot;,20472,2024-05-23T06:06:48Z
@arjun__499,"For those who don&#39;t know,  BrahMos 2 missile has been developed jointly by India and Russia. And the founder of BrahMos 2 missile is an Indian named Dr. Apathukatha Sivathanu Pillai was also a founder CEO &amp; MD of BrahMos Aerospace.....",6577,2024-05-19T18:45:02Z
@Melodif_y,"The BrahMos missile, jointly developed by India and Russia, is a supersonic cruise missile with a speed of Mach 2.8-3.0, a range of up to 500 km, a 200-300 kg warhead capacity, and is deployable from land, sea, air, and submarines, primarily used by the Indian Armed Forces.<br><br>For your knowledge",604,2025-01-09T14:17:51Z
@Azuna1236,Bro summoned entire Indian community ☠️,18487,2024-05-22T15:27:10Z
@igxniisan6996,bro just made all Indians feel proud at the same time,5980,2024-05-20T02:03:52Z
@cinemaaxx,American Hyper-sonic Missile:  ❌<br>Soviet Missile: ❌<br>Zack D. Missile: ✅,34040,2024-05-19T17:48:35Z
@rim7328,That animation is highkey epic tho,61,2024-10-21T00:35:09Z
,&quot;What missile would you use in WW3?&quot;<br>&quot;Zack D Films&quot;,5052,2024-05-19T17:38:27Z
@Subthecoolone,<b>99+ missed calls from ostriches.</b>,2922,2024-05-20T20:02:06Z
@aymangold,I thought he was about to say 7 times faster than bullet 💀,4445,2024-05-21T13:44:19Z
@Protestman1243,Never in my life seen a missile being a badass.,58,2025-01-10T07:52:17Z
@junko-22,&quot;What brands of Missile you want?&quot;<br>&quot;Zack D. Films&quot;,1172,2024-05-20T03:56:48Z
@Sakuna36-v4y,Bullet: just taking a stroll<br><br>Brahmos-II missle: NEOOWWWWWW,357,2024-08-08T00:06:30Z
@Cars4you-gt,The BrahMos 2 missile better have zack‘s branding💀,2177,2024-05-20T07:55:12Z
@ceipol4934,Props to the animators. The camera angles on this one look pretty good!  :),0,2024-11-01T16:44:07Z
@XDMartelStudioz,You know what&#39;s make it Scarier? Sees a Missile with a Name &quot;Zack D. Films&quot; Straight to your House 💀💀💀,2286,2024-05-25T03:41:13Z
@jsthereforfun1648,Indian Engineering at its finest 🔥🔥🧡💥,271,2024-05-20T10:38:02Z
@jigglypuff894,&quot;Its actually 7 times faster-&quot;😮<br>&quot;Than the speed of sound.&quot; 💀,2509,2024-10-01T00:34:16Z
@malabikachakrabarti2379,Bro summoned whole of India through this short,2,2025-02-12T16:36:48Z
@ruelsubaran2402,&quot;Soldier! What missile do you use soldier?&quot;<br><br>&quot;Zack D. Films&quot;,747,2024-05-27T13:57:30Z
@TrillAntho,Who in the hell thought bullets were comparable to missiles flying at Mach speeds?,2263,2024-08-03T09:59:57Z
@jayedhalsana,Bro knows his viewer&#39;s statistics 😂😂,160,2024-09-20T05:54:14Z
@Stellar_lnsights,BRAHMOS Finally Getting the respect it deserves🇮🇳🗿<br><br>Edit: जय श्री राम 🕉️ fellow Bharatiya(s),874,2024-05-19T17:39:53Z
@icarodlima,"I always thought bullets were waaaay faster, but now everything makes sense",97,2024-05-21T20:06:13Z
@Rael-Chan,Sonic: Im fast<br>Flash: Im faster<br>Missile: you sure about that?😈,373,2024-06-23T07:12:40Z
@erickck240,Why would I ever think that a bullet is as fast as the faster missile 😭,8,2024-11-19T19:11:07Z
@samitechnopro9585,That&#39;s why it is called a Hypersonic missile.,50,2024-07-26T18:22:42Z
@mrmishra6677,Feeling proud to hear that Brahmos II is the fastest missile..Love from India🇮🇳🇮🇳,287,2024-05-25T04:45:55Z
@bannanaz__,you know the missile is bad as hell when it has zack&#39;s name on it ☠,726,2024-05-22T00:20:25Z
@im_bringing_chili,Animators need a raise.,0,2024-11-12T12:47:06Z
@oyeemahendra,Brahmos II Missiles : 🇮🇳<br><br>Edit : Every Indian feels Proud :),1009,2024-05-19T18:18:47Z
@NeoRacer,Bro has his own branded missiles we are no longer safe,609,2024-05-19T17:32:46Z
@archnadevi8971,Proud for India and Russia for creating this &quot;killer missile&quot;🔥🔥🚀,645,2024-08-13T02:38:17Z
@YourLocalDeveloper0,Random sniper: “He’s gonna be dead in… <b>Checks watch</b> 53 seconds… hold on is that A GOD DAMN MISSIL-“,35,2024-11-24T14:38:00Z
@theringmaster6434,"Sonic seeing this: “Woah, new competition!”",305,2024-06-02T18:00:50Z
@shqdow5719,Zack even has his own missils 💀<br>He be branding nukes tomorow☠☠☠,324,2024-05-19T17:38:36Z
@thelembeater3335,World War II missile:❌️<br><br>Zack.D missile: ✅️,475,2024-05-19T17:48:31Z
@KHATTABAMEEN,Bro the animation is sick,1,2024-10-16T17:08:31Z
@LocalPizzaTowerAddict,Never have I thought I would see a short about Zack roasting a bullet,33,2024-05-20T02:41:44Z
@Rock-r9,No way Zack is branding the world fastest missle 💀,122,2024-05-20T10:46:29Z
