Author,Comment,LikeCount,PublishedAt
@aidan4246,Stupified,146,2024-10-17T02:59:22Z
@takeoffwithmeburner,no annoying music or useless talking. just straight to the pont. deserves the like,32887,2024-09-23T01:48:56Z
@Takisarebetterthanfritos,Good thing my digestive system isn&#39;t made of Chinese steel from the 80s,48196,2024-09-19T21:57:48Z
@flunflomflop,"It did not, in fact, work better.",118237,2024-08-19T22:22:23Z
@kadarat8343,"Fantastic video i love how there&#39;s no talking or annoying music or nothing going on in the background to distract just a straight, to the point, comparison video.",29,2024-10-16T04:20:34Z
@Yosh-doesnt-understand,Coke is one of the best things to use to remove rust,99850,2024-09-13T01:28:21Z
@zedanide6984,I had no context and thought this dude was gonna Breaking Bad some home made Monster,1433,2024-09-22T04:17:30Z
@zz2611,Fun fact: Monster energy drinks use to explode on shelves when left for too long so they added more chemicals to help them last longer,2959,2024-09-23T20:32:05Z
@Davrduo-p5f,Try mountain dew,2154,2024-10-18T01:09:14Z
@jonathanblackmon1246,"Even if the Monster worked better, a 16oz can is around $3+ these days and 64 oz. of vinegar is going to run you about $2.50. The cost alone would offset the result.",7189,2024-09-20T18:54:32Z
@braams6895,The fact that it came close is scary enough for me thanks,4013,2024-09-13T11:25:25Z
@architenthisdux4172,"Yeh, but now my Monster covered railroad spikes keep calling me brah and refuse to get jobs",19015,2024-09-07T07:32:32Z
@hana_mu,"&quot;five bucks, you drink that!&quot; &quot;Bet.&quot;",436,2024-10-14T09:16:44Z
@Real_Iron_Smith,I appreciate that the man scietifically tested it.,1633,2024-09-18T18:16:17Z
@caliobzvr,Now I see why Monster has the logo. It&#39;s actually  three train track spikes that need to get cleaned.,435,2024-09-19T13:11:01Z
@gunsarentfun5899,"I&#39;m surprised by how it did somewhat still work, even though it didn&#39;t work better, that&#39;s crazy.",451,2024-09-25T00:36:04Z
@ClasherTSBFR,The fact that it come close is scary enough for me thanks,1,2024-10-18T13:36:48Z
@nolanc9344,"Vinegar is acetic acid (typically 5% w/v or weight by volume) and any drink that has been carbonated is carbonic acid. Carbonic acid is stronger than acetic acid, so why isn’t it more effective at cleaning rust? This is because carbonic acid is unstable, and is mostly actually carbon dioxide at any given moment. Therefore, if you had lab-grade carbonic acid, and lab-grade acetic acid at equal concentrations, carbonic acid would be more effective. Basically, the vinegar works better because it is more stable than the acid present in fizzy drinks!<br><br>Edit: thank you for 1k likes!<br><br>Edit 2: thank you for 2k likes!!!!",2484,2024-09-21T16:14:24Z
@HybridSpektar,"No bullshit dialogue, no annoying teasing, no bullshit music, just doing it, and show the results. Good short. Have a beer mate! 🍺",166,2024-09-25T01:15:16Z
@Jack-xw3ox,No one:<br>My intrusive thought: take a sip..,1374,2024-09-24T18:19:42Z
@samogabo,"Oh man, that feeling when you prove someone wrong is just the best",3,2024-10-12T08:47:31Z
@mercurialdanny,"Love how you have other videos ready for people stating other methods 😊 short and sweet, need more of it.",98,2024-09-18T06:24:36Z
@RustyRed17,I used this and my railroad spikes started punching holes through drywall while blasting Five Finger Death Punch.,932,2024-09-15T21:58:36Z
@stephengarforth2753,&quot;you shouldnt drink coke! i have seen what it does to metal&quot; said moms everywhere while consuming vinegar.,172,2024-09-23T02:09:42Z
@kjack3032,"Wow, super effective anti-energy drink commercial. Thank you, truly.",1,2024-10-16T14:41:43Z
