Author,Comment,LikeCount,PublishedAt
@Marilu聖人san,"That girl has a big heart, she doesn&#39;t deserve to be afraid of that man, he doesn&#39;t deserve her.",32180,2024-09-15T01:15:42Z
@ZainabaahKp,That sitting girl also with a pure heart but that boy doesn&#39;t deserve her ❤helping others🙌,12779,2024-10-17T07:16:18Z
@michaelwalsh9046,Never let anyone stop you doing good . That ladies heart is to good for that man ❤,1077,2024-10-12T15:11:10Z
@LeandraLagreca-l5g,This Girl has a big heart …she is so kind ❤️,3637,2024-09-21T11:19:17Z
@virginiabirkett4980,That woman who wanted to help looked scared.😢❤,11505,2024-09-10T16:28:38Z
@ንግዜ,The first girl deserves better person in her life &amp; the girl who helped may God bless you her🥰🥰🥰🥰🥰🥰🥰🙏🙏❤️❤️❤️❤️❤️💐🥰🥰🥰,4331,2024-09-11T09:48:36Z
@joelbantilan5465,This Act of kindness brought me to tears 💞💖💝,53,2025-02-21T08:46:08Z
@MatthewMoore-zi7gs,Both girls have a big heart and you shouldn&#39;t ever let nobody stop you from helping anyone,180,2025-01-18T09:19:22Z
@ZigZag-f6o,Wow! What a stunning beautiful woman (The Server) in and out of her own life. Great Heart,167,2024-10-19T13:47:56Z
@نعمهالله-ش2ف,البنت التي ارادت المساعده ولم يسمح لها صديقها، اتمنى ان تتخلص منه إلى الأبد ، تستحق رجل لطيف مثلها❤️,187,2024-09-24T07:14:56Z
@jago7651,The girl is such a sweet heart tons of respect for her and loads of luv.,240,2025-01-02T13:30:53Z
@rodigopizarro9414,"Me as a dude would have helped, it is always nice to help, it is never hard or a burden to help someone when possible",125,2024-09-22T14:18:09Z
@davybourry7558,Si il y avait plus de personnes comme ça serait super,2,2025-02-28T11:42:32Z
@Ariana.Smith1111,"True the first woman deserves better and she should learn to respect and love herself more, the waitress did a good job for helping him out",755,2024-09-20T22:44:03Z
@sarahhiga7513,That lady couldn’t help him but proved to have a good heart❤❤,283,2025-02-01T03:04:45Z
@HajjajHalimi,البنت لي كانت جالسة تستحق شخص أحسن منه 🥺والفتاة الثانية ربنا يعطيها على قد نيتها 🥰وصاحب الفكرة دائما مبكيني👍,345,2024-09-11T13:58:23Z
@crsracing1313,You know damn well she said “should we help him?” And he said “no no” he doesn’t deserve her! She has a big heart…,729,2025-01-10T01:08:37Z
@Candice-mt4pp,"I would have still got up to help him. That man showed his true colors, and I would have dismissed him right then and there. Good ladies for trying to help.",250,2025-01-03T20:40:30Z
@joesanzi370,May God bless this young lady for helping this gentleman❤,142,2024-09-13T13:34:43Z
@ismaelsalazar7714,"Pretty ! But BEST OF ALL , BEAUTIFUL PERSON ❤",65,2024-10-14T15:54:51Z
@JessicaSanchez-sb4bk,The girl has a big heart and she is so kind and you should do the right thing the boy doesn’t deserve the girl ❤ and remember do the right thing’s,1,2025-03-14T21:39:58Z
@beborivera9521,Personally I love this.. I myself have a Baby boy With Autism &amp; This speaks values and makes me tear up a bit.. That man doesn’t deserve that beautiful soul sitting across from him &amp; that waiter has all my respect &amp; prayers ❤,88,2025-01-27T21:52:09Z
@ignaciovicentecruzcruz6628,"Linda mujer, gracias por demostrar ese hermoso corazón 🌹",161,2024-10-13T14:45:28Z
@jcamccallum777,"Let no one stop you from doing good, and what is right. That man better hope things will always go well with him.",183,2024-09-14T21:38:23Z
@maurizioputignano6785,These gestures of humanity move me a lot ❤❤❤❤,22,2025-01-26T22:16:05Z
@ethanmugi,I felt so bad I almost cried 😭 <br>Kindness is something everyone should have,111,2024-11-20T09:43:53Z
@QWERTZY001,That girl who wanted to help props to her❤<br>Thank god there are people like this❤,240,2025-01-10T20:34:10Z
@NightMare-o2z,We need more people like this,2,2025-03-04T23:55:30Z
@sherryldavid5423,I have parkinson&#39;s and I would will be lucky enough to be able to get some help from kind girls like them. God bless you both.❤,50,2025-01-22T23:47:52Z
@DagapGaming0809,"Such a good service given by her to him.heart touching,good job👍",159,2024-11-21T14:27:52Z
@vineet_1017,The first girl deserves better person in her life &amp; the girl who helped may God bless her 🎉,796,2024-09-10T15:48:10Z
@brandiacosta,This woman has a beautiful heart,2,2025-03-08T19:41:59Z
@hildalubowa6703,May God bless the girl who helped🙏,56,2024-09-14T19:57:23Z
@علیرضا-ح2ب4و,این چه قروری هسته که ما انسانها داریم .کمک کردن به یکی هیچ وقت از ما کم نمیکنه .درعوض عضت اعتبار مارو زیاد میکنه❤🎉,17,2025-01-08T15:48:57Z
@SaimanHimanshu,"Helping hands will never ashamed, do help be helpful ❤",33,2024-09-17T19:25:25Z
@Mohamad-r4v8c,😊😊 بعضی ها آنقدر وسعت زیادی دارند که تاجایی که بتوانن کمک می کنند,1,2025-02-28T22:30:14Z
@gregturnbow7089,This brought me to tears.,20,2025-02-03T21:56:03Z
@LaylaTurner-s1x,She is so kind!!! We deserve more people like this!!!<br>And the girl in the background wanting to help but the boyfriend didn&#39;t want her too....,53,2024-12-27T19:00:32Z
@KapalApi-fw2ox,Hati yg bersih❤ dan secantik org nya . Alhamdulillah ❤❤🎉,122,2024-09-12T20:24:08Z
@eduardstaris8698,Есть настоящие люди с душой и сердцем)<br>Люблю этот мир - всем добра!,0,2025-03-10T14:34:11Z
@LindaElliott-u4w,God bless both real ladies!!,17,2024-11-01T19:50:01Z
@dwightcrews7692,Both women were precious and both deserve the largest award ever! Get rid of the good looking heartless bum who wouldn&#39;t let his girlfriend help this poor guy.,260,2024-11-08T11:30:58Z
@mustafanifel,The girl sitting with the guy has a huge heart. Respect to her. She shouldn&#39;t be scared of him. She should leave him.,455,2024-12-21T22:14:16Z
@danielinnaden2280,The girl who helped the man you have a good heart and the girl who’s boyfriend or husband made her sit back down you have a good heart too and don’t let that man control you ❤,1,2025-03-16T22:22:13Z
@kyliefury7085,I love how shes doing this out of her pure heart❤,107,2024-09-24T21:13:04Z
@mohdjadjuli3139,"Wanita yg sdg duduk makan itu pasti org baik..hatinya sejuk....bila tdk dilarang oleh pegawai restoran.,pastinya dia akan melakukannya bantu bpk ini.<br>Pegawainya jg cantik keibuan dan penyayang.... Berbahagialah kalian berdua org baik❤",104,2024-10-03T03:42:31Z
@lucasmocelin26,"Mano, alem de linda essa atendente tem um coração de ouro e puro! <br>Parabéns pela atitude!! ❤️❤️❤️",9,2024-10-02T06:05:33Z
@МуратНегучь,😢человечность и сострадание это основа сущность любого человека,1,2025-02-26T11:20:23Z
@yasmeentrevino5890,God bless this young lady for her kindness 🙏,15,2025-02-13T15:31:39Z
@Brad-0212,That girl trying to help doesn’t have to be afraid of that guy don’t let anyone scare you stand up for yourself for doing something good if he can’t except it tell him to jog on and find someone else you deserve better girl FR 🙏,63,2024-11-01T22:12:54Z
