Author,Comment,LikeCount,PublishedAt
@chidianyakudo9057,That Horse will never believe in Love again 😂,44984,2024-07-26T09:06:33Z
@KamalaHingmang-k1d,Horse:&quot;I&#39;m out of here&quot;<br>Panda:&quot;what the F***&quot;,28110,2024-07-17T03:30:37Z
@Ram-w4j,"Humans got bored pranking each other, now they wont leave even animals. 😂",10095,2024-08-02T04:49:07Z
@rachelleelias9488,The shock on the Pandas 🐼 face 😂😂 😂😂,113,2024-12-20T04:56:53Z
@DamnDemi,You crushed that horse&#39;s dreams! Bro thought that was his soulmate 😭,7700,2024-08-06T04:39:42Z
@IsraeliteMan713,Horse: So everything you said before was a lie!!,5335,2024-07-26T07:51:12Z
@rosepm5297,Both the animals had &quot;emooootionall damage&quot;,2838,2024-07-21T16:18:07Z
@FredaAdamson,The horse was quite disappointed 😞 he thought he found his own 😢💔,7,2024-12-13T16:58:33Z
@WannaANime,Horse &quot;i hate love...&quot;<br>Panda &quot;i was betrayed😔...&quot;,1218,2024-09-29T00:30:50Z
@ShadowShinobi2012,That Panda was shook! Lol.,1122,2024-07-30T11:13:24Z
@Broskii_77,That horse gonna be drink alcohol and smoke now😂,1442,2024-10-21T07:25:24Z
@ElviraMaganadieva-s4z,That Horse😂😂😂😂😂😂😂😂😂😂😂,1,2025-03-08T15:15:18Z
@Syntaxfootball186,The way the panda looked at him like he saw a ghost got me 😂😂😂😂😂,853,2024-10-28T11:10:28Z
@ИраЕремеева-л7г,"Животные такие наивные и доверчивые, как дети...",1977,2024-07-25T05:36:49Z
@MagarDiamond,Horse: Depression <br>Panda: In shock,448,2024-10-21T14:53:32Z
@sandeepprasad8259,Horse:bro im out of here<br>Panda:what the fuck,1,2025-03-13T11:53:33Z
@brenthare4223,The way the panda looked at him😂😂,947,2024-10-14T02:01:03Z
@ДмитрийЛетягин,"Реакция животных - бесценна , потому ,чтоона искренняя. . 👍👍👍❤",1252,2024-07-25T00:56:22Z
@AshishYadav-uf6hc,Last reaction on panda 🐼 was so amazing 😍,1759,2024-06-07T04:04:44Z
@Abigail-e8y,The pandaaaaa!!!how shocked she was got me laughing 😂😂❤❤❤,79,2024-12-09T13:47:25Z
@sanaparsa1480,"The first time I see animals being embarrassed, it was great😂😂😂",499,2024-09-20T16:03:33Z
@samsson6430,That panda reaction was comical!,716,2024-08-03T11:58:59Z
@henn_10,Horse: noooo my unicorn wifeee😢<br>Panda: WTF,800,2024-07-19T11:14:42Z
@SMFAHIM-jr5gh,That panda reaction was epic 😂😂😂😂,1,2024-12-13T04:12:27Z
@Shark-b2e,That same panda: wow😰<br>Horse: I thought I would have a wife😭😭😭<br>Can I pin it for 13 thousand likes???,13974,2024-07-14T02:27:06Z
@artakbadalun7405,"Не обманывайте животных, они всё понимают и чувствуют",980,2024-07-20T16:36:24Z
@dimassantos2765,"Horse said, GOTDAMN!!! 🐎 💨",166,2024-09-01T23:13:56Z
@jmatt4life,They both were shocked!<br>Funny!!!,1,2024-12-18T15:38:19Z
@CarlisCracked,The pandas reaction is priceless,126,2024-08-22T09:51:27Z
@KaitlynHoy-b5u,That panda’s face though 😂,372,2024-09-24T19:49:41Z
@RachelBaker-t7m,"Horses are so intelligent. I am surprised this horse could not tell the difference. That poor Panda will never be the same after that event! He will have to go to therapy to deal with that crazy , lol!! 😮😅😂😮😂😊❤",202,2024-08-27T19:28:45Z
@EvalyAlpha,Bro just activated their trust issues 😅😅,0,2025-01-03T15:53:29Z
@DNatlin-n4v,Это жестоко. Так обманывать. Лошадь почти влюбилась в вас😂,1010,2024-07-24T21:13:48Z
@Funtikcompany,"Оборотни, сердца у вас нет. Животные такие беззащитные.😢 Они вам доверяли.",343,2024-07-28T16:41:22Z
@hardpunk8,"Panda&#39;s reaction was priceless. &quot;WTF how can I explain this to someone, no one will believe me.&quot;",96,2024-10-21T10:29:06Z
@twilight89rise,Lol the panda😂😭😭😭😭😭😂😂😂😂😂😂😂,1,2024-12-17T21:52:39Z
@Art-in-vein,They were going to have &#39;trust issues&#39;🤣🤣,709,2024-11-27T11:51:59Z
@christycoleman3339,Panda: THATS NO MY BABY!!!,409,2024-07-20T15:47:33Z
@carlosvalladare8876,The Panda: ohh myyy gOodd 🙆🏾‍♂️ JAJAJAJAJAJAJA,62,2024-10-02T16:49:27Z
@HaisHana,That panda&#39;s reaction is so cute 🥰🫶🏻😻💘,0,2025-01-31T07:20:05Z
@Btw_Its_Muichiro,The horse already thought he had found the real one! ❤😂😂 But no!😂,294,2024-10-06T18:32:14Z
@DiscoveredTV,That horse got Catfished.,89,2024-07-28T05:43:57Z
@francesjeanlouis9285,That horse looked heartbroken! And that panda looked like a human just finding out they&#39;re messing with the same sex!😂😂😂😂😂😂😂😂,524,2024-07-30T21:53:50Z
@MATRIxiTACHI,The Panda&#39;s expression is killing me 😂😂,0,2024-12-07T05:29:47Z
@markbaz,"Horse: “ahhh , hell naw”<br>Panda: “WHAT DA F*#@“",644,2024-06-08T00:30:14Z
@steven-kk7nu,Horse:nope im out<br>Panda:WHAT! UR HUMAN,257,2024-05-26T06:33:41Z
@nirmalakumari7346,He just lost his faith in humanity😂😂😂,268,2024-07-26T13:05:47Z
@Gabi_live-s3,That Horse Will Never Believe In Love Again 😅,0,2024-12-07T23:03:28Z
@samikshatripathi9472,"That&#39;s exactly how you feel when , you think they love you but they don&#39;t",37,2024-08-25T04:25:26Z
