Author,Comment,LikeCount,PublishedAt
@ArunMukherjee-i3g,The box he was going and a boy dancing is crazy 💀,20,2024-12-13T06:11:34Z
@Thepurplelordofmartialarts,The toilet one was personal💀,356,2024-07-28T19:06:57Z
@elenapisaniello4295,Sono un tuo grande fan,2,2024-12-10T21:33:46Z
@Pxncake379,Uhhh why isn&#39;t nobody talking abt the criminal that&#39;s in the video 🚔🚔🚔🚨🚨🚨😨😨😨,18,2024-08-18T23:29:12Z
@schung1112,Nah his whole family is now gone,9,2024-11-18T04:00:20Z
@chevyseductive,<b>*car cut cold dog*</b><br>Sagawa: (**walks into bathroom**) Åååååååååååååååååååååååååååå!,2,2024-12-09T00:54:39Z
@RishikeshJadhav-wj2qr,That mama guy 😢,7,2024-11-09T03:24:15Z
@ericsonractis530,HAHAHAHAHAHAHAHA BRO IS SO FUNNY,97,2024-10-07T15:27:55Z
@chevyseductive,The brown one shows his(Sagawa’s) gyatțť💀☠️,2,2024-12-09T00:56:55Z
@albanadervishi5993,He finaly escape water💀,27,2024-08-27T18:08:07Z
@Skeletongamingstudio,The toilet one was unexpected,7,2024-09-13T15:32:11Z
@dylang5876,The third one got me so bad😂🤣💀💩,2,2024-10-08T22:27:05Z
@NOAHELIJAHBINHISYAMMoe,First one was personal😂😂😂,20,2024-11-18T00:08:09Z
@Lachiecapon,LOL keep up the good work lol😂,9,2024-12-23T04:42:56Z
@RosebalLatoza-m2h,Is no one talking about the mama Boy got 7 years of jail 💀,2,2024-11-23T10:57:06Z
@Starlord_Edits,How they created a spoon💀💀💀,6,2024-11-27T17:47:50Z
@ZariaVandergriff,This is so funny I am given him à like and subscribe,55,2024-08-08T22:59:18Z
@HazelOpema-uj2fy,The 5th is the criminal💀💀,1,2024-11-23T13:52:02Z
@NhienPhuonq,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,13,2024-07-19T07:52:53Z
@hannz611,The 3rd one😂😂😂❤,6,2024-06-26T13:33:06Z
@_r_202,I can’t believe that he really thought the toilet paper was cake,1,2024-11-26T05:24:49Z
@marwabaaj6572,I don&#39;t think it was so funny <br>😮,10,2024-07-17T18:19:20Z
@melissamardini7129,The first one is so funny 😂 😂😂🤣🤣,8,2024-12-17T17:10:13Z
@jenwszalek8607,Ay yo the cat one was personal.,1,2024-11-19T12:03:44Z
@hilberttatil4277,Bro got slap by a pizza 😂😂😂,54,2024-06-26T11:18:37Z
@tiffanysmalls6596,The. Last. One. Got. Me🤣🤣,8,2024-08-28T23:10:45Z
@elianacaramida8057,Last one💀💀💀😭😭😭💀💀💀💀🗿🗿🇺🇲💀💀💀😭😭💀💀,2,2024-10-22T21:02:58Z
@MeshalAlamri-q6x,😂😂😂😂😂😂😂😂👍👍👍👍👍👍👍👍👍👍😂😂😂😂😂😂😂 أنت ليه كل يوم تسوي كذا تضحك مرة,19,2024-08-23T13:02:53Z
@widawatijuniar2505,The 5th one is crazy ngl 7 YEARS OF KOREAN JAIL IS CRAZY,1,2024-12-07T07:03:04Z
@Аминасыртпаева,Почему сказать у тебя не подвинулась банка когда ты протёр себя об голову потому что у тебя нет волос,20,2024-09-01T15:41:08Z
@Sarah-fy8yz,No but... imagine falling when your in the pool for the first one you would&#39;ve went bye bye 💀,8,2024-11-04T04:11:50Z
@JonathanLopez-kx6mu,WAIT YOUR NOT DEAD🎉🎉🎉🎉,2,2024-11-11T04:24:35Z
@AmbarSuri-e9h,Lol button<br>❤,65,2024-08-06T05:56:38Z
@suhaniranjan3463,You are a very funny😂😂😂😂😂😂😂😂😂,87,2024-07-27T12:03:12Z
@toaderflorinel5550,My friend askes me to eat toilet paper yestarday,1,2024-12-01T15:30:48Z
@jayrcortez6623,Sagawa is so funny 😂😂😂😂😂,5,2024-10-03T05:24:22Z
