Author,Comment,LikeCount,PublishedAt
@OrchidJournals57,The mirror exposing her 😭,40678,2024-12-22T14:50:57Z
@sandy_s24,&quot;Hey open the ELEVATOR someone is about to kill me&quot;<br>Sofi: 💀,66721,2024-12-22T09:18:50Z
@Dailyvideo331,Your acting is mind blowing ❤,2512,2025-01-07T14:34:33Z
@Adrian_PH647,i thought she&#39;s clicking the close button 💀,14448,2024-12-24T23:53:08Z
@Mumuchu95,That evil face at the end 👻,7323,2024-12-22T09:43:13Z
@Bryn-21,Not the mirror exposing her😂,319,2025-01-19T04:44:12Z
@Nishtu_25,Not the Mirror behind her In the Elevator! 😅😅<br> Edit  :  Thank You For 5.2 Likes,6085,2024-12-23T07:45:49Z
@itsyourbaddieLina,APT be soundin different today🔥🔥🔥🗣️🗣️,2644,2024-12-23T05:28:22Z
@BoHe-wo8gk,"SHE CARIES HERSELF WITH A RARE BLEN OF GRACE AND HUNALITY 💙✨<br>👑👑",80,2025-02-03T20:05:44Z
@caramelodyツ,Mirror was traitor tho💀✨,241,2024-12-22T10:47:59Z
@Nasher_forever-u1e,It’s scary how relatable you are 😅,588,2024-12-22T15:29:30Z
@Durkslaget212,Apt be sounding fire,5,2025-01-28T05:44:27Z
@kaizen-bj5ws,The reflection still gave u away 😂,1097,2024-12-22T09:50:39Z
@Soobina-rg4om,the face at the end is so funny idkwhy 😭,53,2024-12-22T15:54:13Z
@manjitsingh4946,The mirror 🪞  😂😂😂,1,2025-02-04T14:36:51Z
@FortyTheRapper,Not the &quot;just a chill guy&quot; pose at the end,110,2024-12-22T14:14:13Z
@rairairaiz8535,Apt be sounding different today<br><br><br>Edit 1: NAHHH THIS IS THE MOST LIKES I GOT,480,2024-12-25T10:33:32Z
@queennoor6947,The pencil case is the flex i remember  perfectly😂,16,2025-01-22T19:22:28Z
@sanuth05,HAPPY BIRTHDAY SOFI ❤🎉,27,2024-12-22T10:18:27Z
@uana9426,Also the mirror at the back😅<br>I know sofi is about to be killed😂❤,143,2024-12-24T11:07:28Z
@JessieJessie127,"Don’t feel bad, Sofi, At least you tried to stop the elevator",1,2025-03-02T09:09:28Z
@Paul_jordan,I was thinking if the persons hand was going stuck on the elevator😂 sofi makes the hilarious videos,19,2024-12-23T05:55:02Z
@OrganizedAir,"Anyone 2025?<br><br>It’s <a href=""https://www.youtube.com/watch?v=OHk9qAIMKKU&amp;t=15"">00:15</a> Jan 1 for me hehe",423,2024-12-31T22:15:44Z
@Syria-b20,Not the mirror 💀💀💀,1,2025-02-22T19:27:05Z
@ßlossom_Plays_yk,"Sofi be like at the end: ahhhh,peace and quiet 😂",20,2024-12-22T15:56:14Z
@naira2468,HAPPY BIRTHDAY SOFII❤❤😊😊🎂🎂🎉🎉🎉🌟🌟✨✨😊,60,2024-12-22T08:03:11Z
@GoongPS,Love the Wall clicking😂,1,2025-01-13T19:55:28Z
@Sydney-walker7,Why this is so real😂❤And happy birthday to you!,46,2024-12-22T08:01:11Z
@JustMe-N24,Happy birthday Sofie 🎂 This video just reminds me of when I did this exact thing to my friend 😂 ❤😊,75,2024-12-22T09:00:49Z
@jejekolin,That is the definition of me😭,25,2025-01-04T08:22:43Z
@lutgardacruz-t7k,Happy Birthday Sofi!!🎂🎉🎉🎊,127,2024-12-22T09:33:23Z
@DeviLuvsKandixx,HAPPY BDAY SOFIII,51,2024-12-22T08:23:05Z
@JanPalmer-z5i,Apt be sounding different today 🔥🔥,0,2025-02-08T14:40:15Z
@ziankarl4334,Happy 17th birthday Sofi 🎉,9,2024-12-22T08:03:36Z
@Creamymoon23452,Happy Birthday Sofi 🎉🎉🥳🥳✨✨,8,2024-12-22T08:21:28Z
@UsAuraDancers,Me pressing the close button 😂😂😂😂,1,2025-02-28T06:23:19Z
@V_ISM,HAPPY BIRTHDAY ❤❤🎉,10,2024-12-22T08:03:55Z
@MmasiUche,This is soooo relatable when you don&#39;t want to talk to another person in the elevator 😅😂<br><br>Edit: TYSM for the likes guys I really appreciate it ❤,841,2024-12-23T20:59:48Z
@Lion_on_fire,the elevator mirror : 🗿,2,2025-01-26T01:00:56Z
@ObvsLilo,Not the mirror exposing her 😭✋️<br>Okay so not to be that person but tysm for 1k likes!,1007,2024-12-25T07:53:10Z
@FAb-2m,happy birthday sofii❤🎉,6,2024-12-22T08:43:56Z
@DaveCoste-ls9oh,The mirror behind her 💀,1,2025-01-21T00:57:32Z
@user-qj1nh8tv5k,Cameraman that somehow get Inside at the last Moment :<br><br><br><br><br><br>⚡,5,2025-02-02T16:57:22Z
@amalkhan4467,I do that too but I press the close button😅,5,2024-12-25T17:12:28Z
@Cute-r7v,The Mirror behind you 💀,1,2025-01-21T20:08:28Z
@KavyaMurari-jo4jw,Happy birthday sofi sister❤,9,2024-12-22T09:15:02Z
@x_Emuisteaq_x,the rear mirror at that time 😂,4,2024-12-28T07:35:28Z
@damdamcheh2053,Loud and clear🤭🤣🤣🤣,1,2025-02-22T04:07:55Z
@Ms_Thv,<b>Happy birthday to our relatable queen!!!</b> 🔥✨🌚,5,2024-12-22T08:13:42Z
@urbooktokbestie,IDK WHY BUT &quot;WAIT FOR IT&quot; JUST REMINDS ME OF BROOKE MONK 😭😭✋,57,2024-12-22T08:03:06Z
