Author,Comment,LikeCount,PublishedAt
@drewme2jesus0,LIKE this comment if you love JESUS ❤,7665,2024-04-28T05:18:45Z
@Peytonberryhill,Bigger lemon ❌️<br>Bigger cavity ✅️,7161,2024-05-05T21:07:00Z
@Janessajizel,"“Tiny lemons, I LOVE LEMONS” was so adorable",1072,2024-05-09T03:31:12Z
@PMisworsethanAM,Awww the first lil guy is adorable✨✨,141,2024-11-02T02:03:10Z
@Steve-pv3wm,Bro who breathing on the mic at the start 😂,1,2025-03-19T05:36:24Z
@Kizo_56,her: yummy<br>her braces: 💀💀💀💀💀💀,877,2024-05-01T01:53:06Z
@aleatheahenderson4205,"&quot;Tiny wemons,I love wemons&quot; is so adorable ❤",85,2025-01-01T06:15:30Z
@-Koshida_,Aweee “tiny lemon” was so cuteee 🥹🥹,27,2024-05-16T00:52:26Z
@AlyaN90,"“Tiny lemons,I LOVE LEMONS” was so cute and adorable",26,2024-10-06T15:25:23Z
@xXspringsXx,Usually I’d wouldn’t like something like this but sitting here eating sour gummy bears and making the same sounds has change my mind 😂,105,2024-05-10T03:08:54Z
@DerpBoi0,“Tiny wemon 🥺”<br><br>Edit: if anyone says anything bad in the replies I will report it<br>Edit 2: I started an argument in the chat 😳,1188,2024-04-30T05:55:34Z
@renusingg311,Bigger lemon ❌<br>Bigger cavity ❌<br>Bigger diabetes ✔️,1,2025-03-12T15:15:36Z
@Bluelock_templates,Bigger lemon❌️<br>Bigger diabetes✅️,28,2024-08-24T12:04:22Z
@Mr.Ducky_YT,The Tiny boy is so cute 😊😊😊,11,2024-05-23T16:57:36Z
@mhdalmiteiri3824,The fact that the girls are wearing green and the boys are wearing yellow is so cute ❤,61,2024-06-16T11:05:55Z
@juliuscabrera9497,i love jesus so much she is a god,2,2025-02-11T08:57:50Z
@JaniyaWarren-fb2wy,Drew was munching 😂😂😂,71,2024-05-06T23:11:27Z
@isabellaseruitanoa3712,Why do I keep watching this video over and over I just luv it😂🎉,12,2024-06-16T00:52:26Z
@fatimayahia6756,Aww the little one is so adorable and cute and sweet ❤❤❤❤,12,2024-08-09T21:08:02Z
@Greg-pv8qh,Big lemon:👎 big backs:👍,0,2024-11-17T21:32:23Z
@PatriciaMacrohon,I love your videoi❤❤❤❤❤ i go to your channel❤❤ my big fan ❤❤❤,13,2024-08-30T10:46:01Z
@MoonshineThequeen,"🤣🤣🤣🤣<br>Bro, you had a reaction",10,2024-07-30T18:13:37Z
@Oceansvid,911:whats ur emergency <br>Me:im dying of a cute kid❤❤,30,2024-05-02T17:24:16Z
@theeyesofry1948,&quot;I luv lemons&quot;WAS SO ADORABLE,0,2024-12-28T19:56:04Z
@beckyboulware2541,Hey I love you’re videos,34,2024-08-23T20:20:12Z
@sirvipawan9532,The last person say no reaction because these lemons are sweet😂,50,2024-05-12T13:37:25Z
@Itsjustspider2,Thought lil bro said <br>“Tiny women” and “I love women” 💀😭,17,2024-12-29T05:54:18Z
@yallgametv,The &quot;I wuv lemons&quot; was adorable,0,2025-02-05T17:06:16Z
@ohthatcutedogmilo4349,Y does that look so good😂❤,5,2024-05-09T06:24:47Z
@dalbertdalbert8094,It sounded like the kid said &quot;Tiny lemon...... i love women&quot;😭💀,34,2024-05-13T21:57:57Z
@MSMNez,Tiny lemon<br>Small lemon<br>Big lemon<br>Giant lemon,36,2024-05-01T13:01:56Z
@PicPeters,Dude inhaled that lemon,1,2025-02-13T03:11:38Z
@latashiacash4628,That is so cool I love it so much I can’t wait to see this 🎉,4,2024-07-01T04:42:50Z
@latashiacash4628,That is so cool I love it so much I can’t wait to see this,5,2024-07-01T04:42:02Z
@destonycartwright9571,I love your videos,7,2024-09-14T01:00:18Z
@MargotLibrado,I that the first litte boy sayd womens 😂 but he sayd lemens😂,1,2025-02-16T12:45:25Z
@dgenegriffin3891,i love gummys you guys are cooooooooooooollllllll<br>i am her 7 year old love ayanna,7,2024-06-12T19:34:34Z
@sophorssoun5852,Awe the first  one is so cute❤,5,2024-08-01T02:43:46Z
@ashleymercer7771,WOW COOL AND THE BABY IS CUTE,13,2024-04-28T06:39:41Z
@Dayzfwn555,I love lemons 💀 <br>What lemons boy,2,2024-11-19T19:41:11Z
@GulliGulli-hg4ew,Real lemon❌ jelly lemon✅,12,2024-08-27T12:34:35Z
@copedoge9752,The kid said I love women💀💀💀<br>edit: oh my god guys11 likes?  This is the best I ever had!<br>edit2: 21 likes I really appreciate!,40,2024-06-02T15:27:25Z
@DiegoangelRoquehonorato,Siento que si me muerde el hijo la hija o la mamá me arrancan un brazo 😅😅😂😂😂😂,5,2024-05-20T04:51:19Z
@HoloubekCzech,Lemon❌<br>Gummy Lemon✅,1,2024-11-02T11:07:28Z
@Charlotte-ts1ny,Video going smoothly: <br>Me: oh wow that’s satisfyi-<br>Dad: “no reaction”<br>Me: ….you just passed the line-,10,2024-08-06T21:10:48Z
@Hellokittypretty_89,People who love gummy lemons can like❤❤❤,18,2024-06-02T18:49:47Z
@Ramaalaakhaled,Free palisten 🇵🇸 فلسطين حرةةةةة,57,2024-06-12T16:10:20Z
@Cokki212-h7i,Dentist has leaved the chat ❤❤❤😂,1,2025-02-04T13:06:13Z
@Mary-mh2fv,Oh my goodness the little boy is just so cute I keep on just turning it started it over just so I can see his little cute face,4,2024-08-18T23:56:25Z
@KevinTeujillo,The baby said I love women instead of I love lemon 🤣,11,2024-05-06T20:51:35Z
