Author,Comment,LikeCount,PublishedAt
@tommynikon2283,INSANE ability and strength; kudos!,10592,2024-05-14T03:39:48Z
@Tanjiro_theonlykamado,The video:😃🤭<br>The title:💀,36690,2024-04-30T23:16:50Z
@cristianepaula9751,&quot;I DID IT!&quot;<br>&quot;i forgot the pen ☠️&quot;,26230,2024-05-03T23:51:10Z
@ВикторияБородинова-щ1ш,Это выглядит так легко и непринужденно. Сразу видно сколько сил было вложено в такое мастерство владения телом),44,2024-12-01T07:00:00Z
@smolll_beannn,I love how calm and controlled that flip was!!,1583,2024-05-04T14:50:55Z
@keithmcguire799,That finish was top notch!!!,884,2024-05-14T20:16:53Z
@jwvandegronden,What?! That seemed effortless but that takes a shitload of power to accomplish! Impressed!,1288,2024-05-06T19:00:20Z
@hoyts.119,Give her a spot in American Ninja warrior!!🤪❤️👍,1,2025-03-18T17:50:47Z
@Payton_living,"I remember watching you on Ninja Warrior, u go girl",8135,2024-05-01T09:58:43Z
@ART85713,"Gosh, you made that look effortless. You&#39;re amazing.",2150,2024-05-05T00:17:19Z
@AMaRaChung,The way she flips is so amazing..❤,586,2024-05-08T04:40:55Z
@Basketballgirl0430,You made that look so easy 😅,6515,2024-05-02T20:35:12Z
@khasidailyfact6371,That was smooth as hell!😮,508,2024-05-09T05:47:50Z
@dhimanthiherath,She makes it look so effortless!,279,2024-05-07T12:30:31Z
@natali9497,Пересмотрела несколько раз. Как легко и изящно она выполнила это. Сильная и красивая ❤,163,2024-10-16T11:58:01Z
@Lou-C,My toxic trait is thinking I could do this with ease.,2547,2024-07-25T19:31:08Z
@sidknee4975,She one of the best ninja warriors in the world.,527,2024-05-04T00:55:20Z
@Odurs,That was pure talent and skill in action. Incredible!,167,2024-07-31T22:53:24Z
@lovingmayberry307,Good job girl!!  👍😊,2,2025-02-07T02:10:48Z
@beccaselman555,People that do not have disabilities should cherish like this woman. I have multiple sclerosis. It&#39;s uncurable. Basically my immune system attacks my brain and spinal cord causing paralysis. It&#39;s getting harder to walk. I want to be like this person or just even be able to take a walk every day. Please cherish your body if you have no disabilities.,1732,2024-08-28T19:12:27Z
@BradyAntoinette,Your creativity is through the roof!,46,2024-05-18T16:34:29Z
@juchlu3081,"She not only beat the wall, but she looked great while doing it, almost effortless. And then, to top it off, the back flip at the end - amazing.",199,2024-05-13T20:34:39Z
@KoiD_Official,"I&#39;ll do that for you as many times as I want, Bro, that&#39;s super easy, plus I do calisthenics training, that&#39;s a piece of cake for me, it&#39;s a simple MuscleUp and that&#39;s it. 😂",1,2025-03-15T01:47:01Z
@LeSpatiocorne,"Bro&#39; she didn&#39;t beat the wall, she obliterated it.",536,2024-05-03T11:16:37Z
@melindarobino2930,That back flip pulling your full body weight was most amazing to me. Made it look easy.,101,2024-05-07T15:46:58Z
@mrmidnight32,Went from eh what ever to a fucking boss in 2 moves 🤣,147,2024-05-16T16:51:32Z
@JoaquinDawes,All the names on that board are bad ass for sure that rotation did it for me,2,2024-10-29T21:37:19Z
@doof-the-chonk,"I have so much raging jealousy for your shoulder mobility and strength 🥲 You go, girl!",15,2024-05-06T05:59:28Z
@ClareJulius-q6v,Can&#39;t get enough!! Never stop!,186,2024-05-12T09:31:15Z
@missylew910,The flip<br>The laugh<br>Priceless,25,2024-07-31T22:43:36Z
@Janette-q3h,Looks like soooo much fun!!!❤ congrats,0,2025-03-04T16:04:40Z
@AiresLamb,You have a natural charisma that draws people in.,30,2024-05-13T11:07:57Z
@genyrose.i,WOW. HOW on EARTH were you able to do that ALREADY INCREDIBLE body pull up on such a TINY ledge?! That is some CRAZY core strength!,421,2024-05-05T15:15:17Z
@HowardECowboyN,Your videos bring so much joy. Thank for being a wonderfully positive force in the world.,35,2024-05-09T14:34:33Z
@blakestinson9870,You have insane strength!😮❤,2,2024-11-03T14:11:12Z
@mia_mia.259,Bruh i thought it was just showing how talented she is and then i read the title💀,112,2024-05-04T05:38:33Z
@СветланаШкарапут,Фантастика! Как это она легко сделала!!! Просто великолепно! Молодец!,281,2024-05-09T18:02:18Z
@patvanquish4586,That is such an excellent technique.  Far better than a straight pull with a slight overhang.  So impressed.,7,2024-05-06T15:03:42Z
@Ittybittyguythesequel,"The video was awesome, it&#39;s just the title that concerns me💀",1,2024-11-03T14:39:30Z
@LolLol-xs5jb,Did that wall have a 50 year old on it? Cool,91,2024-05-01T21:34:36Z
@conniebonds4957,Awesome!! I couldn’t do that even in my wildest dreams. 😕,90,2024-04-30T19:15:26Z
@kennethadkins-pm5ud,That&#39;s<br>Crazy 😮 I&#39;m proud of you👏,13,2024-07-21T18:33:02Z
@jadenewton8303,You made that look effortless amazing,1,2024-11-03T21:52:55Z
@AnviBarai,The title💀,550,2024-05-02T11:24:14Z
@evettechauvineau6807,"I am a big fan, I watch you on ninja warrior",275,2024-04-30T09:21:31Z
@Deborah-pc4zy,"PHENOMENAL ACHIEVEMENT! U ROCK KEEP THE ENERGY, FLOWING!😂",32,2024-05-12T03:56:08Z
@idkkkkkkkkkkkkkkkkdddjjdhd,You made that look so easy!!! Good jobbb,1,2024-11-04T11:56:06Z
@gwoomiwbr,talent if I’ve ever seen it,8,2024-08-14T09:13:47Z
@Gaiety-q8p,I&#39;m so grateful to know that there are many people feeling this way,7,2024-05-17T08:07:13Z
@MontanaCowGirl,😂😂😂🔥🔥🔥 that&#39;s called doing it with style 👌,52,2024-05-07T22:11:41Z
