Author,Comment,LikeCount,PublishedAt
,"🍄‍🟫 ‼️ The mushroom I collected in the video, Caesar mushroom, is an edible mushroom that I have information about. Please do not consume mushrooms that you do not have information about for your health. ‼️<br><br>🍄‍🟫‼️Videoda topladığım mantar, Sezar mantarı, hakkında bilgi sahibi olduğum yenilebilir bir mantardır. Lütfen sağlığınız için bilgi sahibi olmadığınız mantarları yemeyiniz. ‼️<br><br>La seta que recogí en el vídeo, la seta César, es una seta comestible de la que tengo información. Por favor, no comas setas de las que no tengas información para tu salud.<br><br>O cogumelo que colhi no vídeo, o cogumelo Caesar, é um cogumelo comestível sobre o qual tenho informações. Por favor, não coma cogumelos sobre os quais não tenha informações para sua saúde.<br><br>Гриб, который я собрал в видео, цезарский гриб, - это съедобный гриб, о котором у меня есть информация. Пожалуйста, не ешьте грибы, о которых у вас нет информации, для вашего здоровья.<br><br>ビデオで私が採ったキノコ、シーザーマッシュルームは、私が情報を持っている食用キノコです。 くれぐれも情報のないキノコを健康のために食べないように。<br><br>영상에서 채취한 버섯인 시저버섯은 제가 정보를 가지고 있는 식용버섯입니다. 건강을 위해 모르는 버섯은 절대 먹지 마세요.<br><br>Il fungo che ho raccolto nel video, il fungo Caesar, è un fungo commestibile di cui ho informazioni. Vi prego di non mangiare funghi che non conoscete per la vostra salute.",4401,2024-10-19T09:42:40Z
@markgilder9990,"I couldn’t even cook that good in a kitchen, let alone outdoors 😂",4637,2024-10-18T16:12:07Z
@idoughnotknow,Collecting water from the waterfall was so cool already. But that footage of you foraging for the mushroom was <b>chefs kiss</b>,1605,2024-10-18T17:38:45Z
@AndrewCortesi,"I’ve seen others replicate the “cooking-outdoors content” but your videos are by far the best. It really feels like you have a true appreciation for nature and the food you make. Also, I love that you never show your face. There’s something peaceful about the anonymity of it all. And last thing, great editing. Others hold on shots for too long. Overall amazing stuff! Makes me want to cook more.",644,2024-10-21T03:53:43Z
@drnori9008,انا احب طريقة حياتك او الجانب الذي تظهره لنا من حياتك يشعرنى بالراحة في الوقت الذى اشعر به بالحزن والتعب من الحياة فعلا لقد عرفت كيف تختار طريقك الى الراحة أتمنى ان اعيش يوم واحد مثلك ❤,27,2024-11-06T16:11:44Z
@awobyaku-t4d,自然を見ながら食べるご飯は絶品中の絶品なんだろうなぁ,200,2024-10-23T06:07:04Z
@bulentsarikaya444,Müthiş ötesi gerçekten harika ellerine sağlık kardeşim 🇹🇷🧿,71,2024-10-18T19:12:29Z
@ufuk2452,Afiyet olsun kardeşim. Yine döktürmüşsün -),269,2024-10-18T16:04:04Z
@saneeaimran,Waiting behind the waterfall till your food bakes is just crazy!! You have a truly adventurous nature,69,2024-10-28T22:00:28Z
@H.MFlashTV,Türk&#39;üm ve videolarınızı çok beğeniyorum bu arada 11 milyon hayırlı olsun😊,17,2024-10-23T06:28:34Z
@ひさぴことり鉄道,まさに大自然の中で料理素晴らしい✨,4,2024-10-22T08:19:32Z
@yusiki-s3r,すごく美味しそう！自然の中で食べる料理は絶品なんだろうなぁ…,92,2024-10-18T16:07:32Z
@yossy-d2m,いつも素敵な動画をありがとう😊今回のもとても美味しそうでいい音👍,14,2024-10-19T23:20:51Z
@LindaWeisstag,"Ben 20 senedir vejetaryenim ama gercegi söyleyim, su an canim cekti. Herhalde önümde olsaydi yerdim ki karnim da tok.<br>Ellerine saglik",121,2024-10-18T16:06:04Z
@AkasyaAslan-s5r,Sucuk artık 1k arkadaşlar hayırlı uğurlu olsun 😊,1,2024-10-23T06:46:55Z
@umudayolculuk7233,Oruç lu olanlara bir dakikalık saygı duruşu,1,2025-03-18T11:58:01Z
@muratc19,Birgün ellerinden yemek yemek nasip olurmu reis bu işin hakkını fazlasıyla veriyorsun 👏👏,17,2024-10-18T16:12:29Z
@까칠한호떠기,진짜 너무 잘만든음식<br>소리까지 완벽해서 전에영상까지 다봤어요😊,112,2024-10-18T16:31:45Z
@rim5557,انت مبدع  وفنان ماهر  بفن الطهي  وخصوصا بأحضان الطبيعة واستخدام الادوات البسيطة مع الطبخ الصحي <br>انت تستحق العالمية اخي المحترف,26,2024-10-18T22:42:44Z
@anyaaa2801,Looks super delicious. Thank you for the recipe 💕.,2,2024-10-31T23:32:53Z
@playerx1400,"Assalamualaikum.<br>It&#39;s been a while. Great to see you back.  Mellow vibes, best food and beautiful surrounding.",124,2024-10-18T19:21:37Z
@SevdaUnal-uy1lf,Offf çok başarılı 😊elinize sağlık 🍀🍂🌸,11,2024-10-18T16:12:35Z
@竹さん,いつも投稿ありがとうございます。<br>水に打たれて待つシーンがシュールでGoodでした。<br>毎回料理、自然、愛犬の登場等など、楽しみにしています。<br>これからも投稿よろしくお願い致します。<br>日本より。,12,2024-10-18T22:38:25Z
@Refreshingwordtoday-tv2022,"Yeeeees. Thank you for sharing about the mushroom because I was like, is that safe and edible. Wonderful video. 💁🏻‍♀️☕️🍛🤗⛅️",1,2024-12-21T09:39:03Z
@wiyawn,abi seni daha bu kadar büyümeden önceden beri takip ediyodum bu kadar yükselmeni çok istiyordum sonuç çok başarılı umarım daha da büyürsün seviliyorsun,20,2024-10-19T11:56:11Z
@Royem_Zaza49,Tek kelime ile müthiş 😊😊<br>Allah bereket versin 🤲 <br>Güzel yüreğinize emeğinize ve ellerinize sağlık 🤌,6,2024-10-19T09:49:45Z
@MuattarEshonqulova-up3nx,Assalomu-aleykum! Iye aka bormisiz judayam chiroyli va mazzali taom gap yoq ajoyib🤗🤗🤗❤️❤️❤️✨✨✨🇺🇿🇺🇿🇺🇿,12,2024-10-18T16:41:39Z
@ashley-dantesalmon8175,"watching your videos of cooking outside always feels satisfying to my soul. especially when you do research on safe, edible wild foods you can find outside like the Caesar Mushroom you foraged. It is always pleasing to me, especially after a survival tip video",3,2024-11-08T05:41:08Z
@97_lover,Azerbaycandan izliyorum seni cok takdir ediyorum yemeklerin cok leziz gorunuyo canim cok cekti şu andada inwAllah verdigin emegin 1000 katini alirsinn seviliyosunn❤,1,2024-12-21T18:56:55Z
@Dreamy55,This guy makes food that ive never even seen 😅 Great job on these amazing videos!,11,2024-10-19T18:32:57Z
@VenkataraoKodi-c3j,omg such a beautiful cooking with a  positive vibe❤❤ lots of love from India❤keep moving forward,6,2024-10-19T16:36:06Z
@rsf15nb,"Parabéns😊.Uma forma diferente de fazer pizza e parece que ficou muito boa🤤🤤.E não tem como se cansar da natureza em volta, é muito lindo🤗🤗.",22,2024-10-18T16:04:36Z
